"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"1635.9999999999982","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","1638","0.0-0.0","umt3qb","Tue Feb 09 2021 10:02:55 GMT+0100 (CET)","2021","2","9","10","2","55","ib72","21","female","right","74","88","76","3","1","","","","","","","","",""
"8167.000000000004","","","survey-text","1","9827","0.0-1.0","umt3qb","Tue Feb 09 2021 10:02:55 GMT+0100 (CET)","2021","2","9","10","2","55","ib72","21","female","right","74","88","76","3","1","{""Q0"":""ib72""}","","","","","","","",""
"2775","","","survey-text","2","12606","0.0-2.0","umt3qb","Tue Feb 09 2021 10:02:55 GMT+0100 (CET)","2021","2","9","10","2","55","ib72","21","female","right","74","88","76","3","1","{""Q0"":""21""}","","","","","","","",""
"5154.999999999996","","","survey-multi-select","3","17763","0.0-3.0","umt3qb","Tue Feb 09 2021 10:02:55 GMT+0100 (CET)","2021","2","9","10","2","55","ib72","21","female","right","74","88","76","3","1","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"5839","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","23603","0.0-4.0","umt3qb","Tue Feb 09 2021 10:02:55 GMT+0100 (CET)","2021","2","9","10","2","55","ib72","21","female","right","74","88","76","3","1","","","50","74","","","","",""
"5912","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","29517","0.0-5.0","umt3qb","Tue Feb 09 2021 10:02:55 GMT+0100 (CET)","2021","2","9","10","2","55","ib72","21","female","right","74","88","76","3","1","","","50","88","","","","",""
"3879","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","33397","0.0-6.0","umt3qb","Tue Feb 09 2021 10:02:55 GMT+0100 (CET)","2021","2","9","10","2","55","ib72","21","female","right","74","88","76","3","1","","","50","76","","","","",""
"14716.999999999993","","","survey-multi-select","7","48125","0.0-7.0","umt3qb","Tue Feb 09 2021 10:02:55 GMT+0100 (CET)","2021","2","9","10","2","55","ib72","21","female","right","74","88","76","3","1","{""Sleep"":[""3""],""Eat"":[""1""]}","[0,1]","","","","","","",""
"30941","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","79067","0.0-8.0","umt3qb","Tue Feb 09 2021 10:02:55 GMT+0100 (CET)","2021","2","9","10","2","55","ib72","21","female","right","74","88","76","3","1","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","82321","0.0-9.0-0.0","umt3qb","Tue Feb 09 2021 10:02:55 GMT+0100 (CET)","2021","2","9","10","2","55","ib72","21","female","right","74","88","76","3","1","","","","","fixation","","","",""
