"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"12148.365000000922","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","12150","0.0-0.0","glzogz","Tue Feb 16 2021 23:37:56 GMT+0100 (Central European Standard Time)","2021","2","16","23","37","56","ii98","22","female","right","69","22","24","15","6","","","","","","","","",""
"7552.795000010519","","","survey-text","1","19710","0.0-1.0","glzogz","Tue Feb 16 2021 23:37:56 GMT+0100 (Central European Standard Time)","2021","2","16","23","37","56","ii98","22","female","right","69","22","24","15","6","{""Q0"":""ii98""}","","","","","","","",""
"4204.175000006217","","","survey-text","2","23919","0.0-2.0","glzogz","Tue Feb 16 2021 23:37:56 GMT+0100 (Central European Standard Time)","2021","2","16","23","37","56","ii98","22","female","right","69","22","24","15","6","{""Q0"":""22""}","","","","","","","",""
"2838.3750000066357","","","survey-multi-select","3","26765","0.0-3.0","glzogz","Tue Feb 16 2021 23:37:56 GMT+0100 (Central European Standard Time)","2021","2","16","23","37","56","ii98","22","female","right","69","22","24","15","6","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"4550.394999998389","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","31320","0.0-4.0","glzogz","Tue Feb 16 2021 23:37:56 GMT+0100 (Central European Standard Time)","2021","2","16","23","37","56","ii98","22","female","right","69","22","24","15","6","","","50","69","","","","",""
"4500.27499999851","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","35822","0.0-5.0","glzogz","Tue Feb 16 2021 23:37:56 GMT+0100 (Central European Standard Time)","2021","2","16","23","37","56","ii98","22","female","right","69","22","24","15","6","","","50","22","","","","",""
"15614.304999995511","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","51438","0.0-6.0","glzogz","Tue Feb 16 2021 23:37:56 GMT+0100 (Central European Standard Time)","2021","2","16","23","37","56","ii98","22","female","right","69","22","24","15","6","","","50","24","","","","",""
"34654.43999999843","","","survey-multi-select","7","86114","0.0-7.0","glzogz","Tue Feb 16 2021 23:37:56 GMT+0100 (Central European Standard Time)","2021","2","16","23","37","56","ii98","22","female","right","69","22","24","15","6","{""Sleep"":[""15""],""Eat"":[""6""]}","[0,1]","","","","","","",""
"4406.985000008717","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","90523","0.0-8.0","glzogz","Tue Feb 16 2021 23:37:56 GMT+0100 (Central European Standard Time)","2021","2","16","23","37","56","ii98","22","female","right","69","22","24","15","6","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","94283","0.0-9.0-0.0","glzogz","Tue Feb 16 2021 23:37:56 GMT+0100 (Central European Standard Time)","2021","2","16","23","37","56","ii98","22","female","right","69","22","24","15","6","","","","","fixation","","","",""
