"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"2491.5650000039022","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","2494","0.0-0.0","ywdy3o","Tue Feb 16 2021 16:10:04 GMT+0100 (Central European Standard Time)","2021","2","16","16","10","4","ii98","22","female","right","34","44","90","8","0","","","","","","","","",""
"41964.22000000166","","","survey-text","1","44465","0.0-1.0","ywdy3o","Tue Feb 16 2021 16:10:04 GMT+0100 (Central European Standard Time)","2021","2","16","16","10","4","ii98","22","female","right","34","44","90","8","0","{""Q0"":""ii98""}","","","","","","","",""
"3761.484999995446","","","survey-text","2","48231","0.0-2.0","ywdy3o","Tue Feb 16 2021 16:10:04 GMT+0100 (Central European Standard Time)","2021","2","16","16","10","4","ii98","22","female","right","34","44","90","8","0","{""Q0"":""22""}","","","","","","","",""
"3023.654999997234","","","survey-multi-select","3","51262","0.0-3.0","ywdy3o","Tue Feb 16 2021 16:10:04 GMT+0100 (Central European Standard Time)","2021","2","16","16","10","4","ii98","22","female","right","34","44","90","8","0","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"9059.409999994386","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","60325","0.0-4.0","ywdy3o","Tue Feb 16 2021 16:10:04 GMT+0100 (Central European Standard Time)","2021","2","16","16","10","4","ii98","22","female","right","34","44","90","8","0","","","50","34","","","","",""
"16686.789999999746","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","77014","0.0-5.0","ywdy3o","Tue Feb 16 2021 16:10:04 GMT+0100 (Central European Standard Time)","2021","2","16","16","10","4","ii98","22","female","right","34","44","90","8","0","","","50","44","","","","",""
"17058.649999999034","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","94075","0.0-6.0","ywdy3o","Tue Feb 16 2021 16:10:04 GMT+0100 (Central European Standard Time)","2021","2","16","16","10","4","ii98","22","female","right","34","44","90","8","0","","","50","90","","","","",""
"27819.510000001173","","","survey-multi-select","7","121918","0.0-7.0","ywdy3o","Tue Feb 16 2021 16:10:04 GMT+0100 (Central European Standard Time)","2021","2","16","16","10","4","ii98","22","female","right","34","44","90","8","0","{""Sleep"":[""8""],""Eat"":[""0""]}","[0,1]","","","","","","",""
"16999.205000000075","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","138920","0.0-8.0","ywdy3o","Tue Feb 16 2021 16:10:04 GMT+0100 (Central European Standard Time)","2021","2","16","16","10","4","ii98","22","female","right","34","44","90","8","0","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","141176","0.0-9.0-0.0","ywdy3o","Tue Feb 16 2021 16:10:04 GMT+0100 (Central European Standard Time)","2021","2","16","16","10","4","ii98","22","female","right","34","44","90","8","0","","","","","fixation","","","",""
"758.4449999994831","img/image_stim_h_stroop.png","72","image-keyboard-response","10","141949","0.0-9.0-1.0","ywdy3o","Tue Feb 16 2021 16:10:04 GMT+0100 (Central European Standard Time)","2021","2","16","16","10","4","ii98","22","female","right","34","44","90","8","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","142954","0.0-9.0-0.1","ywdy3o","Tue Feb 16 2021 16:10:04 GMT+0100 (Central European Standard Time)","2021","2","16","16","10","4","ii98","22","female","right","34","44","90","8","0","","","","","fixation","","","",""
"614.7500000006403","img/image_stim_f_stroop.png","70","image-keyboard-response","12","143571","0.0-9.0-1.1","ywdy3o","Tue Feb 16 2021 16:10:04 GMT+0100 (Central European Standard Time)","2021","2","16","16","10","4","ii98","22","female","right","34","44","90","8","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","145328","0.0-9.0-0.2","ywdy3o","Tue Feb 16 2021 16:10:04 GMT+0100 (Central European Standard Time)","2021","2","16","16","10","4","ii98","22","female","right","34","44","90","8","0","","","","","fixation","","","",""
"714.2099999982747","img/image_stim_f.png","70","image-keyboard-response","14","146044","0.0-9.0-1.2","ywdy3o","Tue Feb 16 2021 16:10:04 GMT+0100 (Central European Standard Time)","2021","2","16","16","10","4","ii98","22","female","right","34","44","90","8","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","147052","0.0-9.0-0.3","ywdy3o","Tue Feb 16 2021 16:10:04 GMT+0100 (Central European Standard Time)","2021","2","16","16","10","4","ii98","22","female","right","34","44","90","8","0","","","","","fixation","","","",""
"379.5749999990221","img/image_stim_h.png","72","image-keyboard-response","16","147434","0.0-9.0-1.3","ywdy3o","Tue Feb 16 2021 16:10:04 GMT+0100 (Central European Standard Time)","2021","2","16","16","10","4","ii98","22","female","right","34","44","90","8","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","148189","0.0-9.0-0.4","ywdy3o","Tue Feb 16 2021 16:10:04 GMT+0100 (Central European Standard Time)","2021","2","16","16","10","4","ii98","22","female","right","34","44","90","8","0","","","","","fixation","","","",""
"567.5600000031409","img/image_stim_f.png","70","image-keyboard-response","18","148759","0.0-9.0-1.4","ywdy3o","Tue Feb 16 2021 16:10:04 GMT+0100 (Central European Standard Time)","2021","2","16","16","10","4","ii98","22","female","right","34","44","90","8","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","150765","0.0-9.0-0.5","ywdy3o","Tue Feb 16 2021 16:10:04 GMT+0100 (Central European Standard Time)","2021","2","16","16","10","4","ii98","22","female","right","34","44","90","8","0","","","","","fixation","","","",""
"562.7349999995204","img/image_stim_f_stroop.png","70","image-keyboard-response","20","151331","0.0-9.0-1.5","ywdy3o","Tue Feb 16 2021 16:10:04 GMT+0100 (Central European Standard Time)","2021","2","16","16","10","4","ii98","22","female","right","34","44","90","8","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","153085","0.0-9.0-0.6","ywdy3o","Tue Feb 16 2021 16:10:04 GMT+0100 (Central European Standard Time)","2021","2","16","16","10","4","ii98","22","female","right","34","44","90","8","0","","","","","fixation","","","",""
"419.1149999969639","img/image_stim_h.png","72","image-keyboard-response","22","153508","0.0-9.0-1.6","ywdy3o","Tue Feb 16 2021 16:10:04 GMT+0100 (Central European Standard Time)","2021","2","16","16","10","4","ii98","22","female","right","34","44","90","8","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","153768","0.0-9.0-0.7","ywdy3o","Tue Feb 16 2021 16:10:04 GMT+0100 (Central European Standard Time)","2021","2","16","16","10","4","ii98","22","female","right","34","44","90","8","0","","","","","fixation","","","",""
"673.9600000000792","img/image_stim_h_stroop.png","72","image-keyboard-response","24","154444","0.0-9.0-1.7","ywdy3o","Tue Feb 16 2021 16:10:04 GMT+0100 (Central European Standard Time)","2021","2","16","16","10","4","ii98","22","female","right","34","44","90","8","0","","","","","test","happy","fear","h","true"
