"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"901.9049999988056","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","905","0.0-0.0","zt7vb0","Tue Feb 16 2021 16:13:54 GMT+0100 (Central European Standard Time)","2021","2","16","16","13","54","ii98","22","female","right","45","43","85","8","0","","","","","","","","",""
"7297.600000005332","","","survey-text","1","8207","0.0-1.0","zt7vb0","Tue Feb 16 2021 16:13:54 GMT+0100 (Central European Standard Time)","2021","2","16","16","13","54","ii98","22","female","right","45","43","85","8","0","{""Q0"":""ii98""}","","","","","","","",""
"1485.9549999964656","","","survey-text","2","9698","0.0-2.0","zt7vb0","Tue Feb 16 2021 16:13:54 GMT+0100 (Central European Standard Time)","2021","2","16","16","13","54","ii98","22","female","right","45","43","85","8","0","{""Q0"":""22""}","","","","","","","",""
"3094.490000003134","","","survey-multi-select","3","12799","0.0-3.0","zt7vb0","Tue Feb 16 2021 16:13:54 GMT+0100 (Central European Standard Time)","2021","2","16","16","13","54","ii98","22","female","right","45","43","85","8","0","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"2816.0900000002584","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","15619","0.0-4.0","zt7vb0","Tue Feb 16 2021 16:13:54 GMT+0100 (Central European Standard Time)","2021","2","16","16","13","54","ii98","22","female","right","45","43","85","8","0","","","50","45","","","","",""
"2060.939999995753","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","17682","0.0-5.0","zt7vb0","Tue Feb 16 2021 16:13:54 GMT+0100 (Central European Standard Time)","2021","2","16","16","13","54","ii98","22","female","right","45","43","85","8","0","","","50","43","","","","",""
"3191.224999995029","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","20875","0.0-6.0","zt7vb0","Tue Feb 16 2021 16:13:54 GMT+0100 (Central European Standard Time)","2021","2","16","16","13","54","ii98","22","female","right","45","43","85","8","0","","","50","85","","","","",""
"4178.334999996878","","","survey-multi-select","7","25076","0.0-7.0","zt7vb0","Tue Feb 16 2021 16:13:54 GMT+0100 (Central European Standard Time)","2021","2","16","16","13","54","ii98","22","female","right","45","43","85","8","0","{""Sleep"":[""8""],""Eat"":[""0""]}","[0,1]","","","","","","",""
"1711.1899999945308","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","26790","0.0-8.0","zt7vb0","Tue Feb 16 2021 16:13:54 GMT+0100 (Central European Standard Time)","2021","2","16","16","13","54","ii98","22","female","right","45","43","85","8","0","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","29797","0.0-9.0-0.0","zt7vb0","Tue Feb 16 2021 16:13:54 GMT+0100 (Central European Standard Time)","2021","2","16","16","13","54","ii98","22","female","right","45","43","85","8","0","","","","","fixation","","","",""
"483.074999996461","img/image_stim_f.png","70","image-keyboard-response","10","30285","0.0-9.0-1.0","zt7vb0","Tue Feb 16 2021 16:13:54 GMT+0100 (Central European Standard Time)","2021","2","16","16","13","54","ii98","22","female","right","45","43","85","8","0","","","","","test","fear","fear","f","true"
