"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"55502.00000000001","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","78","html-keyboard-response","0","55504","0.0-0.0","1jbs0s","Wed Feb 17 2021 07:16:16 GMT+0100 (CET)","2021","2","17","7","16","16","jl22","22","male","right","61","58","28","0","10","","","","","","","","",""
"26459.999999999993","","","survey-text","1","81976","0.0-1.0","1jbs0s","Wed Feb 17 2021 07:16:16 GMT+0100 (CET)","2021","2","17","7","16","16","jl22","22","male","right","61","58","28","0","10","{""Q0"":""jl22""}","","","","","","","",""
"3826","","","survey-text","2","85807","0.0-2.0","1jbs0s","Wed Feb 17 2021 07:16:16 GMT+0100 (CET)","2021","2","17","7","16","16","jl22","22","male","right","61","58","28","0","10","{""Q0"":""22""}","","","","","","","",""
"10456","","","survey-multi-select","3","96267","0.0-3.0","1jbs0s","Wed Feb 17 2021 07:16:16 GMT+0100 (CET)","2021","2","17","7","16","16","jl22","22","male","right","61","58","28","0","10","{""Gender"":[""male""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"7326","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","103597","0.0-4.0","1jbs0s","Wed Feb 17 2021 07:16:16 GMT+0100 (CET)","2021","2","17","7","16","16","jl22","22","male","right","61","58","28","0","10","","","50","61","","","","",""
"11064","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","114664","0.0-5.0","1jbs0s","Wed Feb 17 2021 07:16:16 GMT+0100 (CET)","2021","2","17","7","16","16","jl22","22","male","right","61","58","28","0","10","","","50","58","","","","",""
"4339","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","119006","0.0-6.0","1jbs0s","Wed Feb 17 2021 07:16:16 GMT+0100 (CET)","2021","2","17","7","16","16","jl22","22","male","right","61","58","28","0","10","","","50","28","","","","",""
"25586","","","survey-multi-select","7","144609","0.0-7.0","1jbs0s","Wed Feb 17 2021 07:16:16 GMT+0100 (CET)","2021","2","17","7","16","16","jl22","22","male","right","61","58","28","0","10","{""Sleep"":[""0""],""Eat"":[""10""]}","[0,1]","","","","","","",""
"42393","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","187004","0.0-8.0","1jbs0s","Wed Feb 17 2021 07:16:16 GMT+0100 (CET)","2021","2","17","7","16","16","jl22","22","male","right","61","58","28","0","10","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","189257","0.0-9.0-0.0","1jbs0s","Wed Feb 17 2021 07:16:16 GMT+0100 (CET)","2021","2","17","7","16","16","jl22","22","male","right","61","58","28","0","10","","","","","fixation","","","",""
"650.0000000000291","img/image_stim_f_stroop.png","72","image-keyboard-response","10","189910","0.0-9.0-1.0","1jbs0s","Wed Feb 17 2021 07:16:16 GMT+0100 (CET)","2021","2","17","7","16","16","jl22","22","male","right","61","58","28","0","10","","","","","test","fear","happy","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","190166","0.0-9.0-0.1","1jbs0s","Wed Feb 17 2021 07:16:16 GMT+0100 (CET)","2021","2","17","7","16","16","jl22","22","male","right","61","58","28","0","10","","","","","fixation","","","",""
"1420","img/image_stim_h_stroop.png","72","image-keyboard-response","12","191588","0.0-9.0-1.1","1jbs0s","Wed Feb 17 2021 07:16:16 GMT+0100 (CET)","2021","2","17","7","16","16","jl22","22","male","right","61","58","28","0","10","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","193341","0.0-9.0-0.2","1jbs0s","Wed Feb 17 2021 07:16:16 GMT+0100 (CET)","2021","2","17","7","16","16","jl22","22","male","right","61","58","28","0","10","","","","","fixation","","","",""
"571","img/image_stim_f.png","70","image-keyboard-response","14","193915","0.0-9.0-1.2","1jbs0s","Wed Feb 17 2021 07:16:16 GMT+0100 (CET)","2021","2","17","7","16","16","jl22","22","male","right","61","58","28","0","10","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","194418","0.0-9.0-0.3","1jbs0s","Wed Feb 17 2021 07:16:16 GMT+0100 (CET)","2021","2","17","7","16","16","jl22","22","male","right","61","58","28","0","10","","","","","fixation","","","",""
"670","img/image_stim_h.png","72","image-keyboard-response","16","195090","0.0-9.0-1.3","1jbs0s","Wed Feb 17 2021 07:16:16 GMT+0100 (CET)","2021","2","17","7","16","16","jl22","22","male","right","61","58","28","0","10","","","","","test","happy","happy","h","true"
