"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"17243","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","74","html-keyboard-response","0","17248","0.0-0.0","1ttd2a","Mon Feb 08 2021 10:21:34 GMT+0100 (Central European Standard Time)","2021","2","8","10","21","34","jo11","26","female","right","0","0","0","0","0","","","","","","","","",""
"7227","","","survey-text","1","24484","0.0-1.0","1ttd2a","Mon Feb 08 2021 10:21:34 GMT+0100 (Central European Standard Time)","2021","2","8","10","21","34","jo11","26","female","right","0","0","0","0","0","{""Q0"":""jo11""}","","","","","","","",""
"1988","","","survey-text","2","26475","0.0-2.0","1ttd2a","Mon Feb 08 2021 10:21:34 GMT+0100 (Central European Standard Time)","2021","2","8","10","21","34","jo11","26","female","right","0","0","0","0","0","{""Q0"":""26""}","","","","","","","",""
"3701","","","survey-multi-select","3","30181","0.0-3.0","1ttd2a","Mon Feb 08 2021 10:21:34 GMT+0100 (Central European Standard Time)","2021","2","8","10","21","34","jo11","26","female","right","0","0","0","0","0","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"3288","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","33473","0.0-4.0","1ttd2a","Mon Feb 08 2021 10:21:34 GMT+0100 (Central European Standard Time)","2021","2","8","10","21","34","jo11","26","female","right","0","0","0","0","0","","","50","0","","","","",""
"3544","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","37019","0.0-5.0","1ttd2a","Mon Feb 08 2021 10:21:34 GMT+0100 (Central European Standard Time)","2021","2","8","10","21","34","jo11","26","female","right","0","0","0","0","0","","","50","0","","","","",""
"1869","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","38890","0.0-6.0","1ttd2a","Mon Feb 08 2021 10:21:34 GMT+0100 (Central European Standard Time)","2021","2","8","10","21","34","jo11","26","female","right","0","0","0","0","0","","","50","0","","","","",""
"5822","","","survey-multi-select","7","44733","0.0-7.0","1ttd2a","Mon Feb 08 2021 10:21:34 GMT+0100 (Central European Standard Time)","2021","2","8","10","21","34","jo11","26","female","right","0","0","0","0","0","{""Sleep"":[""0""],""Eat"":[""0""]}","[0,1]","","","","","","",""
"17421","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","62156","0.0-8.0","1ttd2a","Mon Feb 08 2021 10:21:34 GMT+0100 (Central European Standard Time)","2021","2","8","10","21","34","jo11","26","female","right","0","0","0","0","0","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","65909","0.0-9.0-0.0","1ttd2a","Mon Feb 08 2021 10:21:34 GMT+0100 (Central European Standard Time)","2021","2","8","10","21","34","jo11","26","female","right","0","0","0","0","0","","","","","fixation","","","",""
"null","img/image_stim_f.png","null","image-keyboard-response","10","70918","0.0-9.0-1.0","1ttd2a","Mon Feb 08 2021 10:21:34 GMT+0100 (Central European Standard Time)","2021","2","8","10","21","34","jo11","26","female","right","0","0","0","0","0","","","","","test","fear","fear","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","71931","0.0-9.0-0.1","1ttd2a","Mon Feb 08 2021 10:21:34 GMT+0100 (Central European Standard Time)","2021","2","8","10","21","34","jo11","26","female","right","0","0","0","0","0","","","","","fixation","","","",""
"null","img/image_stim_h_stroop.png","null","image-keyboard-response","12","76936","0.0-9.0-1.1","1ttd2a","Mon Feb 08 2021 10:21:34 GMT+0100 (Central European Standard Time)","2021","2","8","10","21","34","jo11","26","female","right","0","0","0","0","0","","","","","test","happy","fear","h","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","77696","0.0-9.0-0.2","1ttd2a","Mon Feb 08 2021 10:21:34 GMT+0100 (Central European Standard Time)","2021","2","8","10","21","34","jo11","26","female","right","0","0","0","0","0","","","","","fixation","","","",""
"1295","img/image_stim_h.png","32","image-keyboard-response","14","78995","0.0-9.0-1.2","1ttd2a","Mon Feb 08 2021 10:21:34 GMT+0100 (Central European Standard Time)","2021","2","8","10","21","34","jo11","26","female","right","0","0","0","0","0","","","","","test","happy","happy","h","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","79253","0.0-9.0-0.3","1ttd2a","Mon Feb 08 2021 10:21:34 GMT+0100 (Central European Standard Time)","2021","2","8","10","21","34","jo11","26","female","right","0","0","0","0","0","","","","","fixation","","","",""
"816","img/image_stim_f_stroop.png","32","image-keyboard-response","16","80072","0.0-9.0-1.3","1ttd2a","Mon Feb 08 2021 10:21:34 GMT+0100 (Central European Standard Time)","2021","2","8","10","21","34","jo11","26","female","right","0","0","0","0","0","","","","","test","fear","happy","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","81080","0.0-9.0-0.4","1ttd2a","Mon Feb 08 2021 10:21:34 GMT+0100 (Central European Standard Time)","2021","2","8","10","21","34","jo11","26","female","right","0","0","0","0","0","","","","","fixation","","","",""
"659","img/image_stim_h.png","72","image-keyboard-response","18","81748","0.0-9.0-1.4","1ttd2a","Mon Feb 08 2021 10:21:34 GMT+0100 (Central European Standard Time)","2021","2","8","10","21","34","jo11","26","female","right","0","0","0","0","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","83506","0.0-9.0-0.5","1ttd2a","Mon Feb 08 2021 10:21:34 GMT+0100 (Central European Standard Time)","2021","2","8","10","21","34","jo11","26","female","right","0","0","0","0","0","","","","","fixation","","","",""
"806","img/image_stim_f_stroop.png","72","image-keyboard-response","20","84320","0.0-9.0-1.5","1ttd2a","Mon Feb 08 2021 10:21:34 GMT+0100 (Central European Standard Time)","2021","2","8","10","21","34","jo11","26","female","right","0","0","0","0","0","","","","","test","fear","happy","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","84827","0.0-9.0-0.6","1ttd2a","Mon Feb 08 2021 10:21:34 GMT+0100 (Central European Standard Time)","2021","2","8","10","21","34","jo11","26","female","right","0","0","0","0","0","","","","","fixation","","","",""
"598","img/image_stim_h_stroop.png","72","image-keyboard-response","22","85431","0.0-9.0-1.6","1ttd2a","Mon Feb 08 2021 10:21:34 GMT+0100 (Central European Standard Time)","2021","2","8","10","21","34","jo11","26","female","right","0","0","0","0","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","85937","0.0-9.0-0.7","1ttd2a","Mon Feb 08 2021 10:21:34 GMT+0100 (Central European Standard Time)","2021","2","8","10","21","34","jo11","26","female","right","0","0","0","0","0","","","","","fixation","","","",""
"1176","img/image_stim_f.png","70","image-keyboard-response","24","87121","0.0-9.0-1.7","1ttd2a","Mon Feb 08 2021 10:21:34 GMT+0100 (Central European Standard Time)","2021","2","8","10","21","34","jo11","26","female","right","0","0","0","0","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","87377","0.0-9.0-0.8","1ttd2a","Mon Feb 08 2021 10:21:34 GMT+0100 (Central European Standard Time)","2021","2","8","10","21","34","jo11","26","female","right","0","0","0","0","0","","","","","fixation","","","",""
