"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"14463.700000047684","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","14465","0.0-0.0","6bpblv","Wed Feb 09 2022 07:03:15 GMT+0100 (Centraleuropæisk normaltid)","2022","2","9","7","3","15","jt15","22","male","right","50","12","28","0","10","","","","","","","","",""
"4708.300000011921","","","survey-text","1","19179","0.0-1.0","6bpblv","Wed Feb 09 2022 07:03:15 GMT+0100 (Centraleuropæisk normaltid)","2022","2","9","7","3","15","jt15","22","male","right","50","12","28","0","10","{""Q0"":""jt15""}","","","","","","","",""
"4593.599999964237","","","survey-text","2","23775","0.0-2.0","6bpblv","Wed Feb 09 2022 07:03:15 GMT+0100 (Centraleuropæisk normaltid)","2022","2","9","7","3","15","jt15","22","male","right","50","12","28","0","10","{""Q0"":""22""}","","","","","","","",""
"7322.300000011921","","","survey-multi-select","3","31100","0.0-3.0","6bpblv","Wed Feb 09 2022 07:03:15 GMT+0100 (Centraleuropæisk normaltid)","2022","2","9","7","3","15","jt15","22","male","right","50","12","28","0","10","{""Gender"":[""male""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"5895.5","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","36997","0.0-4.0","6bpblv","Wed Feb 09 2022 07:03:15 GMT+0100 (Centraleuropæisk normaltid)","2022","2","9","7","3","15","jt15","22","male","right","50","12","28","0","10","","","50","50","","","","",""
"6802.399999976158","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","43800","0.0-5.0","6bpblv","Wed Feb 09 2022 07:03:15 GMT+0100 (Centraleuropæisk normaltid)","2022","2","9","7","3","15","jt15","22","male","right","50","12","28","0","10","","","50","12","","","","",""
"11130.300000011921","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","54931","0.0-6.0","6bpblv","Wed Feb 09 2022 07:03:15 GMT+0100 (Centraleuropæisk normaltid)","2022","2","9","7","3","15","jt15","22","male","right","50","12","28","0","10","","","50","28","","","","",""
"23685.80000001192","","","survey-multi-select","7","78665","0.0-7.0","6bpblv","Wed Feb 09 2022 07:03:15 GMT+0100 (Centraleuropæisk normaltid)","2022","2","9","7","3","15","jt15","22","male","right","50","12","28","0","10","{""Sleep"":[""0""],""Eat"":[""10""]}","[0,1]","","","","","","",""
"44704.80000001192","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","123373","0.0-8.0","6bpblv","Wed Feb 09 2022 07:03:15 GMT+0100 (Centraleuropæisk normaltid)","2022","2","9","7","3","15","jt15","22","male","right","50","12","28","0","10","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","125630","0.0-9.0-0.0","6bpblv","Wed Feb 09 2022 07:03:15 GMT+0100 (Centraleuropæisk normaltid)","2022","2","9","7","3","15","jt15","22","male","right","50","12","28","0","10","","","","","fixation","","","",""
"1875.5","img/image_stim_h_stroop.png","70","image-keyboard-response","10","127521","0.0-9.0-1.0","6bpblv","Wed Feb 09 2022 07:03:15 GMT+0100 (Centraleuropæisk normaltid)","2022","2","9","7","3","15","jt15","22","male","right","50","12","28","0","10","","","","","test","happy","fear","h","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","129028","0.0-9.0-0.1","6bpblv","Wed Feb 09 2022 07:03:15 GMT+0100 (Centraleuropæisk normaltid)","2022","2","9","7","3","15","jt15","22","male","right","50","12","28","0","10","","","","","fixation","","","",""
"2012","img/image_stim_f_stroop.png","72","image-keyboard-response","12","131041","0.0-9.0-1.1","6bpblv","Wed Feb 09 2022 07:03:15 GMT+0100 (Centraleuropæisk normaltid)","2022","2","9","7","3","15","jt15","22","male","right","50","12","28","0","10","","","","","test","fear","happy","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","131294","0.0-9.0-0.2","6bpblv","Wed Feb 09 2022 07:03:15 GMT+0100 (Centraleuropæisk normaltid)","2022","2","9","7","3","15","jt15","22","male","right","50","12","28","0","10","","","","","fixation","","","",""
"2403.800000011921","img/image_stim_f.png","70","image-keyboard-response","14","133699","0.0-9.0-1.2","6bpblv","Wed Feb 09 2022 07:03:15 GMT+0100 (Centraleuropæisk normaltid)","2022","2","9","7","3","15","jt15","22","male","right","50","12","28","0","10","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","135453","0.0-9.0-0.3","6bpblv","Wed Feb 09 2022 07:03:15 GMT+0100 (Centraleuropæisk normaltid)","2022","2","9","7","3","15","jt15","22","male","right","50","12","28","0","10","","","","","fixation","","","",""
"2909.2000000476837","img/image_stim_h.png","72","image-keyboard-response","16","138364","0.0-9.0-1.3","6bpblv","Wed Feb 09 2022 07:03:15 GMT+0100 (Centraleuropæisk normaltid)","2022","2","9","7","3","15","jt15","22","male","right","50","12","28","0","10","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","140120","0.0-9.0-0.4","6bpblv","Wed Feb 09 2022 07:03:15 GMT+0100 (Centraleuropæisk normaltid)","2022","2","9","7","3","15","jt15","22","male","right","50","12","28","0","10","","","","","fixation","","","",""
"1274","img/image_stim_h_stroop.png","72","image-keyboard-response","18","141395","0.0-9.0-1.4","6bpblv","Wed Feb 09 2022 07:03:15 GMT+0100 (Centraleuropæisk normaltid)","2022","2","9","7","3","15","jt15","22","male","right","50","12","28","0","10","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","142901","0.0-9.0-0.5","6bpblv","Wed Feb 09 2022 07:03:15 GMT+0100 (Centraleuropæisk normaltid)","2022","2","9","7","3","15","jt15","22","male","right","50","12","28","0","10","","","","","fixation","","","",""
"1171","img/image_stim_f_stroop.png","70","image-keyboard-response","20","144073","0.0-9.0-1.5","6bpblv","Wed Feb 09 2022 07:03:15 GMT+0100 (Centraleuropæisk normaltid)","2022","2","9","7","3","15","jt15","22","male","right","50","12","28","0","10","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","144577","0.0-9.0-0.6","6bpblv","Wed Feb 09 2022 07:03:15 GMT+0100 (Centraleuropæisk normaltid)","2022","2","9","7","3","15","jt15","22","male","right","50","12","28","0","10","","","","","fixation","","","",""
"1434.800000011921","img/image_stim_h.png","72","image-keyboard-response","22","146015","0.0-9.0-1.6","6bpblv","Wed Feb 09 2022 07:03:15 GMT+0100 (Centraleuropæisk normaltid)","2022","2","9","7","3","15","jt15","22","male","right","50","12","28","0","10","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","146271","0.0-9.0-0.7","6bpblv","Wed Feb 09 2022 07:03:15 GMT+0100 (Centraleuropæisk normaltid)","2022","2","9","7","3","15","jt15","22","male","right","50","12","28","0","10","","","","","fixation","","","",""
"1713.800000011921","img/image_stim_f.png","70","image-keyboard-response","24","147985","0.0-9.0-1.7","6bpblv","Wed Feb 09 2022 07:03:15 GMT+0100 (Centraleuropæisk normaltid)","2022","2","9","7","3","15","jt15","22","male","right","50","12","28","0","10","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","148488","0.0-9.0-0.8","6bpblv","Wed Feb 09 2022 07:03:15 GMT+0100 (Centraleuropæisk normaltid)","2022","2","9","7","3","15","jt15","22","male","right","50","12","28","0","10","","","","","fixation","","","",""
"830.6999999880791","img/image_stim_f.png","70","image-keyboard-response","26","149320","0.0-9.0-1.8","6bpblv","Wed Feb 09 2022 07:03:15 GMT+0100 (Centraleuropæisk normaltid)","2022","2","9","7","3","15","jt15","22","male","right","50","12","28","0","10","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","151076","0.0-9.0-0.9","6bpblv","Wed Feb 09 2022 07:03:15 GMT+0100 (Centraleuropæisk normaltid)","2022","2","9","7","3","15","jt15","22","male","right","50","12","28","0","10","","","","","fixation","","","",""
"1592.699999988079","img/image_stim_h_stroop.png","72","image-keyboard-response","28","152671","0.0-9.0-1.9","6bpblv","Wed Feb 09 2022 07:03:15 GMT+0100 (Centraleuropæisk normaltid)","2022","2","9","7","3","15","jt15","22","male","right","50","12","28","0","10","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","29","154428","0.0-9.0-0.10","6bpblv","Wed Feb 09 2022 07:03:15 GMT+0100 (Centraleuropæisk normaltid)","2022","2","9","7","3","15","jt15","22","male","right","50","12","28","0","10","","","","","fixation","","","",""
"1091.699999988079","img/image_stim_f_stroop.png","70","image-keyboard-response","30","155522","0.0-9.0-1.10","6bpblv","Wed Feb 09 2022 07:03:15 GMT+0100 (Centraleuropæisk normaltid)","2022","2","9","7","3","15","jt15","22","male","right","50","12","28","0","10","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","31","157027","0.0-9.0-0.11","6bpblv","Wed Feb 09 2022 07:03:15 GMT+0100 (Centraleuropæisk normaltid)","2022","2","9","7","3","15","jt15","22","male","right","50","12","28","0","10","","","","","fixation","","","",""
"1391.5","img/image_stim_h.png","72","image-keyboard-response","32","158419","0.0-9.0-1.11","6bpblv","Wed Feb 09 2022 07:03:15 GMT+0100 (Centraleuropæisk normaltid)","2022","2","9","7","3","15","jt15","22","male","right","50","12","28","0","10","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","33","159926","0.0-9.0-0.12","6bpblv","Wed Feb 09 2022 07:03:15 GMT+0100 (Centraleuropæisk normaltid)","2022","2","9","7","3","15","jt15","22","male","right","50","12","28","0","10","","","","","fixation","","","",""
"915.1999999880791","img/image_stim_f_stroop.png","70","image-keyboard-response","34","160843","0.0-9.0-1.12","6bpblv","Wed Feb 09 2022 07:03:15 GMT+0100 (Centraleuropæisk normaltid)","2022","2","9","7","3","15","jt15","22","male","right","50","12","28","0","10","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","35","162100","0.0-9.0-0.13","6bpblv","Wed Feb 09 2022 07:03:15 GMT+0100 (Centraleuropæisk normaltid)","2022","2","9","7","3","15","jt15","22","male","right","50","12","28","0","10","","","","","fixation","","","",""
"1274.699999988079","img/image_stim_h_stroop.png","72","image-keyboard-response","36","163376","0.0-9.0-1.13","6bpblv","Wed Feb 09 2022 07:03:15 GMT+0100 (Centraleuropæisk normaltid)","2022","2","9","7","3","15","jt15","22","male","right","50","12","28","0","10","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","37","164383","0.0-9.0-0.14","6bpblv","Wed Feb 09 2022 07:03:15 GMT+0100 (Centraleuropæisk normaltid)","2022","2","9","7","3","15","jt15","22","male","right","50","12","28","0","10","","","","","fixation","","","",""
"1374.199999988079","img/image_stim_f.png","70","image-keyboard-response","38","165759","0.0-9.0-1.14","6bpblv","Wed Feb 09 2022 07:03:15 GMT+0100 (Centraleuropæisk normaltid)","2022","2","9","7","3","15","jt15","22","male","right","50","12","28","0","10","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","39","167766","0.0-9.0-0.15","6bpblv","Wed Feb 09 2022 07:03:15 GMT+0100 (Centraleuropæisk normaltid)","2022","2","9","7","3","15","jt15","22","male","right","50","12","28","0","10","","","","","fixation","","","",""
