"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"1496.300000011921","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","1498","0.0-0.0","p7tle2","Thu Feb 10 2022 14:28:09 GMT+0100 (Centraleuropæisk normaltid)","2022","2","10","14","28","9","jt15","22","male","right","30","43","0","6","6","","","","","","","","",""
"12920","","","survey-text","1","14422","0.0-1.0","p7tle2","Thu Feb 10 2022 14:28:09 GMT+0100 (Centraleuropæisk normaltid)","2022","2","10","14","28","9","jt15","22","male","right","30","43","0","6","6","{""Q0"":""jt15""}","","","","","","","",""
"3026.699999988079","","","survey-text","2","17452","0.0-2.0","p7tle2","Thu Feb 10 2022 14:28:09 GMT+0100 (Centraleuropæisk normaltid)","2022","2","10","14","28","9","jt15","22","male","right","30","43","0","6","6","{""Q0"":""22""}","","","","","","","",""
"4771.300000011921","","","survey-multi-select","3","22230","0.0-3.0","p7tle2","Thu Feb 10 2022 14:28:09 GMT+0100 (Centraleuropæisk normaltid)","2022","2","10","14","28","9","jt15","22","male","right","30","43","0","6","6","{""Gender"":[""male""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"7820.199999988079","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","30054","0.0-4.0","p7tle2","Thu Feb 10 2022 14:28:09 GMT+0100 (Centraleuropæisk normaltid)","2022","2","10","14","28","9","jt15","22","male","right","30","43","0","6","6","","","50","30","","","","",""
"5195.799999952316","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","35252","0.0-5.0","p7tle2","Thu Feb 10 2022 14:28:09 GMT+0100 (Centraleuropæisk normaltid)","2022","2","10","14","28","9","jt15","22","male","right","30","43","0","6","6","","","50","43","","","","",""
"3296.5","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","38552","0.0-6.0","p7tle2","Thu Feb 10 2022 14:28:09 GMT+0100 (Centraleuropæisk normaltid)","2022","2","10","14","28","9","jt15","22","male","right","30","43","0","6","6","","","50","0","","","","",""
"12567.100000023842","","","survey-multi-select","7","51163","0.0-7.0","p7tle2","Thu Feb 10 2022 14:28:09 GMT+0100 (Centraleuropæisk normaltid)","2022","2","10","14","28","9","jt15","22","male","right","30","43","0","6","6","{""Sleep"":[""6""],""Eat"":[""6""]}","[0,1]","","","","","","",""
"3934.800000011921","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","55101","0.0-8.0","p7tle2","Thu Feb 10 2022 14:28:09 GMT+0100 (Centraleuropæisk normaltid)","2022","2","10","14","28","9","jt15","22","male","right","30","43","0","6","6","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","57608","0.0-9.0-0.0","p7tle2","Thu Feb 10 2022 14:28:09 GMT+0100 (Centraleuropæisk normaltid)","2022","2","10","14","28","9","jt15","22","male","right","30","43","0","6","6","","","","","fixation","","","",""
"790.6999999880791","img/image_stim_f_stroop.png","70","image-keyboard-response","10","58411","0.0-9.0-1.0","p7tle2","Thu Feb 10 2022 14:28:09 GMT+0100 (Centraleuropæisk normaltid)","2022","2","10","14","28","9","jt15","22","male","right","30","43","0","6","6","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","58670","0.0-9.0-0.1","p7tle2","Thu Feb 10 2022 14:28:09 GMT+0100 (Centraleuropæisk normaltid)","2022","2","10","14","28","9","jt15","22","male","right","30","43","0","6","6","","","","","fixation","","","",""
"666.4000000357628","img/image_stim_h.png","72","image-keyboard-response","12","59339","0.0-9.0-1.1","p7tle2","Thu Feb 10 2022 14:28:09 GMT+0100 (Centraleuropæisk normaltid)","2022","2","10","14","28","9","jt15","22","male","right","30","43","0","6","6","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","59843","0.0-9.0-0.2","p7tle2","Thu Feb 10 2022 14:28:09 GMT+0100 (Centraleuropæisk normaltid)","2022","2","10","14","28","9","jt15","22","male","right","30","43","0","6","6","","","","","fixation","","","",""
"544.1999999880791","img/image_stim_f.png","70","image-keyboard-response","14","60391","0.0-9.0-1.2","p7tle2","Thu Feb 10 2022 14:28:09 GMT+0100 (Centraleuropæisk normaltid)","2022","2","10","14","28","9","jt15","22","male","right","30","43","0","6","6","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","61648","0.0-9.0-0.3","p7tle2","Thu Feb 10 2022 14:28:09 GMT+0100 (Centraleuropæisk normaltid)","2022","2","10","14","28","9","jt15","22","male","right","30","43","0","6","6","","","","","fixation","","","",""
"561.6999999880791","img/image_stim_h_stroop.png","72","image-keyboard-response","16","62213","0.0-9.0-1.3","p7tle2","Thu Feb 10 2022 14:28:09 GMT+0100 (Centraleuropæisk normaltid)","2022","2","10","14","28","9","jt15","22","male","right","30","43","0","6","6","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","63220","0.0-9.0-0.4","p7tle2","Thu Feb 10 2022 14:28:09 GMT+0100 (Centraleuropæisk normaltid)","2022","2","10","14","28","9","jt15","22","male","right","30","43","0","6","6","","","","","fixation","","","",""
"640.1999999880791","img/image_stim_h_stroop.png","72","image-keyboard-response","18","63863","0.0-9.0-1.4","p7tle2","Thu Feb 10 2022 14:28:09 GMT+0100 (Centraleuropæisk normaltid)","2022","2","10","14","28","9","jt15","22","male","right","30","43","0","6","6","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","65371","0.0-9.0-0.5","p7tle2","Thu Feb 10 2022 14:28:09 GMT+0100 (Centraleuropæisk normaltid)","2022","2","10","14","28","9","jt15","22","male","right","30","43","0","6","6","","","","","fixation","","","",""
"537.7999999523163","img/image_stim_f.png","70","image-keyboard-response","20","65912","0.0-9.0-1.5","p7tle2","Thu Feb 10 2022 14:28:09 GMT+0100 (Centraleuropæisk normaltid)","2022","2","10","14","28","9","jt15","22","male","right","30","43","0","6","6","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","67669","0.0-9.0-0.6","p7tle2","Thu Feb 10 2022 14:28:09 GMT+0100 (Centraleuropæisk normaltid)","2022","2","10","14","28","9","jt15","22","male","right","30","43","0","6","6","","","","","fixation","","","",""
"438.39999997615814","img/image_stim_h.png","72","image-keyboard-response","22","68110","0.0-9.0-1.6","p7tle2","Thu Feb 10 2022 14:28:09 GMT+0100 (Centraleuropæisk normaltid)","2022","2","10","14","28","9","jt15","22","male","right","30","43","0","6","6","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","69369","0.0-9.0-0.7","p7tle2","Thu Feb 10 2022 14:28:09 GMT+0100 (Centraleuropæisk normaltid)","2022","2","10","14","28","9","jt15","22","male","right","30","43","0","6","6","","","","","fixation","","","",""
"739.5","img/image_stim_f_stroop.png","70","image-keyboard-response","24","70112","0.0-9.0-1.7","p7tle2","Thu Feb 10 2022 14:28:09 GMT+0100 (Centraleuropæisk normaltid)","2022","2","10","14","28","9","jt15","22","male","right","30","43","0","6","6","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","71119","0.0-9.0-0.8","p7tle2","Thu Feb 10 2022 14:28:09 GMT+0100 (Centraleuropæisk normaltid)","2022","2","10","14","28","9","jt15","22","male","right","30","43","0","6","6","","","","","fixation","","","",""
