"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"8659","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","8671","0.0-0.0","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","","","","",""
"8817","","","survey-text","1","17559","0.0-1.0","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","{""Q0"":""kn32""}","","","","","","","",""
"2855","","","survey-text","2","20424","0.0-2.0","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","{""Q0"":""20""}","","","","","","","",""
"4413","","","survey-multi-select","3","24844","0.0-3.0","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"10420","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","35269","0.0-4.0","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","50","53","","","","",""
"4962","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","40238","0.0-5.0","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","50","41","","","","",""
"3737.0000000000073","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","43977","0.0-6.0","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","50","74","","","","",""
"11861","","","survey-multi-select","7","55852","0.0-7.0","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","{""Sleep"":[""3""],""Eat"":[""0""]}","[0,1]","","","","","","",""
"10704","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","66558","0.0-8.0","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","69561","0.0-9.0-0.0","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","fixation","","","",""
"1312.0000000000146","img/image_stim_f.png","70","image-keyboard-response","10","70879","0.0-9.0-1.0","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","71885","0.0-9.0-0.1","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","fixation","","","",""
"598","img/image_stim_f_stroop.png","72","image-keyboard-response","12","72488","0.0-9.0-1.1","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","test","fear","happy","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","73492","0.0-9.0-0.2","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","fixation","","","",""
"575","img/image_stim_h_stroop.png","70","image-keyboard-response","14","74072","0.0-9.0-1.2","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","test","happy","fear","h","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","75076","0.0-9.0-0.3","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","fixation","","","",""
"423","img/image_stim_h.png","72","image-keyboard-response","16","75503","0.0-9.0-1.3","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","77007","0.0-9.0-0.4","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","fixation","","","",""
"583","img/image_stim_h.png","72","image-keyboard-response","18","77592","0.0-9.0-1.4","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","78096","0.0-9.0-0.5","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","fixation","","","",""
"556","img/image_stim_h_stroop.png","70","image-keyboard-response","20","78654","0.0-9.0-1.5","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","test","happy","fear","h","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","80408","0.0-9.0-0.6","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","fixation","","","",""
"603.0000000000146","img/image_stim_f_stroop.png","72","image-keyboard-response","22","81013","0.0-9.0-1.6","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","test","fear","happy","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","81267","0.0-9.0-0.7","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","fixation","","","",""
"804.9999999999854","img/image_stim_f.png","70","image-keyboard-response","24","82074","0.0-9.0-1.7","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","83328","0.0-9.0-0.8","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","fixation","","","",""
"548.0000000000146","img/image_stim_h.png","72","image-keyboard-response","26","83879","0.0-9.0-1.8","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","84882","0.0-9.0-0.9","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","fixation","","","",""
"506","img/image_stim_f.png","70","image-keyboard-response","28","85391","0.0-9.0-1.9","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","29","86896","0.0-9.0-0.10","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","fixation","","","",""
"629.9999999999854","img/image_stim_h_stroop.png","72","image-keyboard-response","30","87528","0.0-9.0-1.10","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","31","88034","0.0-9.0-0.11","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","fixation","","","",""
"1183","img/image_stim_f_stroop.png","70","image-keyboard-response","32","89220","0.0-9.0-1.11","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","33","90474","0.0-9.0-0.12","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","fixation","","","",""
"714","img/image_stim_h.png","72","image-keyboard-response","34","91190","0.0-9.0-1.12","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","35","91695","0.0-9.0-0.13","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","fixation","","","",""
"560","img/image_stim_h_stroop.png","72","image-keyboard-response","36","92256","0.0-9.0-1.13","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","37","93011","0.0-9.0-0.14","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","fixation","","","",""
"603","img/image_stim_f_stroop.png","70","image-keyboard-response","38","93615","0.0-9.0-1.14","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","39","95369","0.0-9.0-0.15","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","fixation","","","",""
"755","img/image_stim_f.png","70","image-keyboard-response","40","96126","0.0-9.0-1.15","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","41","97381","0.0-9.0-0.16","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","fixation","","","",""
"545.9999999999854","img/image_stim_f.png","70","image-keyboard-response","42","97928","0.0-9.0-1.16","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","43","98433","0.0-9.0-0.17","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","fixation","","","",""
"519","img/image_stim_h_stroop.png","72","image-keyboard-response","44","98954","0.0-9.0-1.17","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","45","100958","0.0-9.0-0.18","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","fixation","","","",""
"494","img/image_stim_h.png","72","image-keyboard-response","46","101454","0.0-9.0-1.18","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","47","101959","0.0-9.0-0.19","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","fixation","","","",""
"529","img/image_stim_f_stroop.png","70","image-keyboard-response","48","102490","0.0-9.0-1.19","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","49","102745","0.0-9.0-0.20","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","fixation","","","",""
"705","img/image_stim_f.png","70","image-keyboard-response","50","103453","0.0-9.0-1.20","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","51","105458","0.0-9.0-0.21","t722j1","Mon Feb 08 2021 12:50:33 GMT+0100 (CET)","2021","2","8","12","50","33","kn32","20","female","right","53","41","74","3","0","","","","","fixation","","","",""
