"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"18277.72499999992","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","18280","0.0-0.0","3u6seu","Tue Feb 16 2021 16:07:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","7","45","kv23","23","male","right","50","22","11","6","6","","","","","","","","",""
"13272.81000000221","","","survey-text","1","31559","0.0-1.0","3u6seu","Tue Feb 16 2021 16:07:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","7","45","kv23","23","male","right","50","22","11","6","6","{""Q0"":""kv23""}","","","","","","","",""
"1772.705000003043","","","survey-text","2","33334","0.0-2.0","3u6seu","Tue Feb 16 2021 16:07:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","7","45","kv23","23","male","right","50","22","11","6","6","{""Q0"":""23""}","","","","","","","",""
"2652.414999996836","","","survey-multi-select","3","35989","0.0-3.0","3u6seu","Tue Feb 16 2021 16:07:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","7","45","kv23","23","male","right","50","22","11","6","6","{""Gender"":[""male""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"3966.2249999964843","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","39958","0.0-4.0","3u6seu","Tue Feb 16 2021 16:07:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","7","45","kv23","23","male","right","50","22","11","6","6","","","50","50","","","","",""
"4420.460000001185","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","44380","0.0-5.0","3u6seu","Tue Feb 16 2021 16:07:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","7","45","kv23","23","male","right","50","22","11","6","6","","","50","22","","","","",""
"5710.630000001402","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","50092","0.0-6.0","3u6seu","Tue Feb 16 2021 16:07:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","7","45","kv23","23","male","right","50","22","11","6","6","","","50","11","","","","",""
"22643.739999999525","","","survey-multi-select","7","72753","0.0-7.0","3u6seu","Tue Feb 16 2021 16:07:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","7","45","kv23","23","male","right","50","22","11","6","6","{""Sleep"":[""6""],""Eat"":[""6""]}","[0,1]","","","","","","",""
"2716.1399999968125","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","75470","0.0-8.0","3u6seu","Tue Feb 16 2021 16:07:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","7","45","kv23","23","male","right","50","22","11","6","6","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","79223","0.0-9.0-0.0","3u6seu","Tue Feb 16 2021 16:07:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","7","45","kv23","23","male","right","50","22","11","6","6","","","","","fixation","","","",""
"987.345000001369","img/image_stim_f.png","70","image-keyboard-response","10","80226","0.0-9.0-1.0","3u6seu","Tue Feb 16 2021 16:07:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","7","45","kv23","23","male","right","50","22","11","6","6","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","80480","0.0-9.0-0.1","3u6seu","Tue Feb 16 2021 16:07:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","7","45","kv23","23","male","right","50","22","11","6","6","","","","","fixation","","","",""
"613.1700000041747","img/image_stim_h_stroop.png","72","image-keyboard-response","12","81095","0.0-9.0-1.1","3u6seu","Tue Feb 16 2021 16:07:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","7","45","kv23","23","male","right","50","22","11","6","6","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","81848","0.0-9.0-0.2","3u6seu","Tue Feb 16 2021 16:07:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","7","45","kv23","23","male","right","50","22","11","6","6","","","","","fixation","","","",""
"546.2350000016158","img/image_stim_h.png","72","image-keyboard-response","14","82396","0.0-9.0-1.2","3u6seu","Tue Feb 16 2021 16:07:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","7","45","kv23","23","male","right","50","22","11","6","6","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","83400","0.0-9.0-0.3","3u6seu","Tue Feb 16 2021 16:07:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","7","45","kv23","23","male","right","50","22","11","6","6","","","","","fixation","","","",""
"587.2199999939767","img/image_stim_f_stroop.png","70","image-keyboard-response","16","83989","0.0-9.0-1.3","3u6seu","Tue Feb 16 2021 16:07:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","7","45","kv23","23","male","right","50","22","11","6","6","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","84995","0.0-9.0-0.4","3u6seu","Tue Feb 16 2021 16:07:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","7","45","kv23","23","male","right","50","22","11","6","6","","","","","fixation","","","",""
"503.4749999977066","img/image_stim_h.png","72","image-keyboard-response","18","85500","0.0-9.0-1.4","3u6seu","Tue Feb 16 2021 16:07:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","7","45","kv23","23","male","right","50","22","11","6","6","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","86255","0.0-9.0-0.5","3u6seu","Tue Feb 16 2021 16:07:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","7","45","kv23","23","male","right","50","22","11","6","6","","","","","fixation","","","",""
"477.0300000018324","img/image_stim_f.png","70","image-keyboard-response","20","86734","0.0-9.0-1.5","3u6seu","Tue Feb 16 2021 16:07:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","7","45","kv23","23","male","right","50","22","11","6","6","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","88737","0.0-9.0-0.6","3u6seu","Tue Feb 16 2021 16:07:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","7","45","kv23","23","male","right","50","22","11","6","6","","","","","fixation","","","",""
"474.88999999768566","img/image_stim_f_stroop.png","72","image-keyboard-response","22","89214","0.0-9.0-1.6","3u6seu","Tue Feb 16 2021 16:07:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","7","45","kv23","23","male","right","50","22","11","6","6","","","","","test","fear","happy","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","89470","0.0-9.0-0.7","3u6seu","Tue Feb 16 2021 16:07:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","7","45","kv23","23","male","right","50","22","11","6","6","","","","","fixation","","","",""
"597.1900000004098","img/image_stim_h_stroop.png","72","image-keyboard-response","24","90069","0.0-9.0-1.7","3u6seu","Tue Feb 16 2021 16:07:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","7","45","kv23","23","male","right","50","22","11","6","6","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","91572","0.0-9.0-0.8","3u6seu","Tue Feb 16 2021 16:07:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","7","45","kv23","23","male","right","50","22","11","6","6","","","","","fixation","","","",""
"564.3049999998766","img/image_stim_f_stroop.png","70","image-keyboard-response","26","92139","0.0-9.0-1.8","3u6seu","Tue Feb 16 2021 16:07:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","7","45","kv23","23","male","right","50","22","11","6","6","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","94144","0.0-9.0-0.9","3u6seu","Tue Feb 16 2021 16:07:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","7","45","kv23","23","male","right","50","22","11","6","6","","","","","fixation","","","",""
"542.8749999991851","img/image_stim_h.png","72","image-keyboard-response","28","94689","0.0-9.0-1.9","3u6seu","Tue Feb 16 2021 16:07:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","7","45","kv23","23","male","right","50","22","11","6","6","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","29","94943","0.0-9.0-0.10","3u6seu","Tue Feb 16 2021 16:07:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","7","45","kv23","23","male","right","50","22","11","6","6","","","","","fixation","","","",""
"453.0349999986356","img/image_stim_f.png","70","image-keyboard-response","30","95397","0.0-9.0-1.10","3u6seu","Tue Feb 16 2021 16:07:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","7","45","kv23","23","male","right","50","22","11","6","6","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","31","96402","0.0-9.0-0.11","3u6seu","Tue Feb 16 2021 16:07:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","7","45","kv23","23","male","right","50","22","11","6","6","","","","","fixation","","","",""
"646.7850000044564","img/image_stim_h_stroop.png","72","image-keyboard-response","32","97050","0.0-9.0-1.11","3u6seu","Tue Feb 16 2021 16:07:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","7","45","kv23","23","male","right","50","22","11","6","6","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","33","99055","0.0-9.0-0.12","3u6seu","Tue Feb 16 2021 16:07:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","7","45","kv23","23","male","right","50","22","11","6","6","","","","","fixation","","","",""
"567.3800000004121","img/image_stim_h_stroop.png","72","image-keyboard-response","34","99624","0.0-9.0-1.12","3u6seu","Tue Feb 16 2021 16:07:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","7","45","kv23","23","male","right","50","22","11","6","6","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","35","101379","0.0-9.0-0.13","3u6seu","Tue Feb 16 2021 16:07:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","7","45","kv23","23","male","right","50","22","11","6","6","","","","","fixation","","","",""
