"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"26342.394999985117","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","26344","0.0-0.0","xkxfkx","Wed Feb 10 2021 10:00:51 GMT+0100 (Centraleuropæisk normaltid)","2021","2","10","10","0","51","kv23","23","male","right","50","33","57","2","1","","","","","","","","",""
"13054.974999977276","","","survey-text","1","39407","0.0-1.0","xkxfkx","Wed Feb 10 2021 10:00:51 GMT+0100 (Centraleuropæisk normaltid)","2021","2","10","10","0","51","kv23","23","male","right","50","33","57","2","1","{""Q0"":""kv23""}","","","","","","","",""
"5024.440000008326","","","survey-text","2","44435","0.0-2.0","xkxfkx","Wed Feb 10 2021 10:00:51 GMT+0100 (Centraleuropæisk normaltid)","2021","2","10","10","0","51","kv23","23","male","right","50","33","57","2","1","{""Q0"":""23""}","","","","","","","",""
"4552.055000036489","","","survey-multi-select","3","48994","0.0-3.0","xkxfkx","Wed Feb 10 2021 10:00:51 GMT+0100 (Centraleuropæisk normaltid)","2021","2","10","10","0","51","kv23","23","male","right","50","33","57","2","1","{""Gender"":[""male""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"5864.189999992959","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","54861","0.0-4.0","xkxfkx","Wed Feb 10 2021 10:00:51 GMT+0100 (Centraleuropæisk normaltid)","2021","2","10","10","0","51","kv23","23","male","right","50","33","57","2","1","","","50","50","","","","",""
"6301.124999998137","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","61164","0.0-5.0","xkxfkx","Wed Feb 10 2021 10:00:51 GMT+0100 (Centraleuropæisk normaltid)","2021","2","10","10","0","51","kv23","23","male","right","50","33","57","2","1","","","50","33","","","","",""
"7377.635000040755","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","68544","0.0-6.0","xkxfkx","Wed Feb 10 2021 10:00:51 GMT+0100 (Centraleuropæisk normaltid)","2021","2","10","10","0","51","kv23","23","male","right","50","33","57","2","1","","","50","57","","","","",""
"10444.65499999933","","","survey-multi-select","7","79010","0.0-7.0","xkxfkx","Wed Feb 10 2021 10:00:51 GMT+0100 (Centraleuropæisk normaltid)","2021","2","10","10","0","51","kv23","23","male","right","50","33","57","2","1","{""Sleep"":[""2""],""Eat"":[""1""]}","[0,1]","","","","","","",""
"29922.995000029914","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","108935","0.0-8.0","xkxfkx","Wed Feb 10 2021 10:00:51 GMT+0100 (Centraleuropæisk normaltid)","2021","2","10","10","0","51","kv23","23","male","right","50","33","57","2","1","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","112688","0.0-9.0-0.0","xkxfkx","Wed Feb 10 2021 10:00:51 GMT+0100 (Centraleuropæisk normaltid)","2021","2","10","10","0","51","kv23","23","male","right","50","33","57","2","1","","","","","fixation","","","",""
