"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"13032.619999998133","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","13","html-keyboard-response","0","13034","0.0-0.0","7mggoh","Tue Feb 16 2021 16:39:13 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","39","13","lb11","57","female","left","60","36","86","9","2","","","","","","","","",""
"2985.4450000057113","","","survey-text","1","16025","0.0-1.0","7mggoh","Tue Feb 16 2021 16:39:13 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","39","13","lb11","57","female","left","60","36","86","9","2","{""Q0"":""lb11""}","","","","","","","",""
"2926.870000002964","","","survey-text","2","18955","0.0-2.0","7mggoh","Tue Feb 16 2021 16:39:13 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","39","13","lb11","57","female","left","60","36","86","9","2","{""Q0"":""57""}","","","","","","","",""
"4887.145000000601","","","survey-multi-select","3","23845","0.0-3.0","7mggoh","Tue Feb 16 2021 16:39:13 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","39","13","lb11","57","female","left","60","36","86","9","2","{""Gender"":[""female""],""Hand"":[""left""]}","[0,1]","","","","","","",""
"45522.15499999875","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","69369","0.0-4.0","7mggoh","Tue Feb 16 2021 16:39:13 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","39","13","lb11","57","female","left","60","36","86","9","2","","","50","60","","","","",""
"11623.724999997648","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","80994","0.0-5.0","7mggoh","Tue Feb 16 2021 16:39:13 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","39","13","lb11","57","female","left","60","36","86","9","2","","","50","36","","","","",""
"8691.124999997555","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","89687","0.0-6.0","7mggoh","Tue Feb 16 2021 16:39:13 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","39","13","lb11","57","female","left","60","36","86","9","2","","","50","86","","","","",""
"35892.63500000379","","","survey-multi-select","7","125597","0.0-7.0","7mggoh","Tue Feb 16 2021 16:39:13 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","39","13","lb11","57","female","left","60","36","86","9","2","{""Sleep"":[""9""],""Eat"":[""2""]}","[0,1]","","","","","","",""
"26861.54499999975","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","70","html-keyboard-response","8","152460","0.0-8.0","7mggoh","Tue Feb 16 2021 16:39:13 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","39","13","lb11","57","female","left","60","36","86","9","2","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","155719","0.0-9.0-0.0","7mggoh","Tue Feb 16 2021 16:39:13 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","16","39","13","lb11","57","female","left","60","36","86","9","2","","","","","fixation","","","",""
