"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"50269154","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","78","html-keyboard-response","0","50255375","0.0-0.0","7dhw31","Sun Feb 07 2021 23:43:25 GMT+0200 (Eastern European Standard Time)","2021","2","7","23","43","25","lb78","27","male","left","81","66","92","2","1","","","","","","","","",""
"20435","","","survey-text","1","50275816","0.0-1.0","7dhw31","Sun Feb 07 2021 23:43:25 GMT+0200 (Eastern European Standard Time)","2021","2","7","23","43","25","lb78","27","male","left","81","66","92","2","1","{""Q0"":""lb78""}","","","","","","","",""
"5580","","","survey-text","2","50281398","0.0-2.0","7dhw31","Sun Feb 07 2021 23:43:25 GMT+0200 (Eastern European Standard Time)","2021","2","7","23","43","25","lb78","27","male","left","81","66","92","2","1","{""Q0"":""27""}","","","","","","","",""
"4078","","","survey-multi-select","3","50285480","0.0-3.0","7dhw31","Sun Feb 07 2021 23:43:25 GMT+0200 (Eastern European Standard Time)","2021","2","7","23","43","25","lb78","27","male","left","81","66","92","2","1","{""Gender"":[""male""],""Hand"":[""left""]}","[0,1]","","","","","","",""
"21671","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","50307156","0.0-4.0","7dhw31","Sun Feb 07 2021 23:43:25 GMT+0200 (Eastern European Standard Time)","2021","2","7","23","43","25","lb78","27","male","left","81","66","92","2","1","","","50","81","","","","",""
"20116","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","50327273","0.0-5.0","7dhw31","Sun Feb 07 2021 23:43:25 GMT+0200 (Eastern European Standard Time)","2021","2","7","23","43","25","lb78","27","male","left","81","66","92","2","1","","","50","66","","","","",""
"8356","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","50335631","0.0-6.0","7dhw31","Sun Feb 07 2021 23:43:25 GMT+0200 (Eastern European Standard Time)","2021","2","7","23","43","25","lb78","27","male","left","81","66","92","2","1","","","50","92","","","","",""
"27176","","","survey-multi-select","7","50362823","0.0-7.0","7dhw31","Sun Feb 07 2021 23:43:25 GMT+0200 (Eastern European Standard Time)","2021","2","7","23","43","25","lb78","27","male","left","81","66","92","2","1","{""Sleep"":[""2""],""Eat"":[""1""]}","[0,1]","","","","","","",""
"34930","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","50397756","0.0-8.0","7dhw31","Sun Feb 07 2021 23:43:25 GMT+0200 (Eastern European Standard Time)","2021","2","7","23","43","25","lb78","27","male","left","81","66","92","2","1","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","50401765","0.0-9.0-0.0","7dhw31","Sun Feb 07 2021 23:43:25 GMT+0200 (Eastern European Standard Time)","2021","2","7","23","43","25","lb78","27","male","left","81","66","92","2","1","","","","","fixation","","","",""
"null","img/image_stim_f.png","null","image-keyboard-response","10","50406805","0.0-9.0-1.0","7dhw31","Sun Feb 07 2021 23:43:25 GMT+0200 (Eastern European Standard Time)","2021","2","7","23","43","25","lb78","27","male","left","81","66","92","2","1","","","","","test","fear","fear","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","50408316","0.0-9.0-0.1","7dhw31","Sun Feb 07 2021 23:43:25 GMT+0200 (Eastern European Standard Time)","2021","2","7","23","43","25","lb78","27","male","left","81","66","92","2","1","","","","","fixation","","","",""
"null","img/image_stim_h.png","null","image-keyboard-response","12","50413328","0.0-9.0-1.1","7dhw31","Sun Feb 07 2021 23:43:25 GMT+0200 (Eastern European Standard Time)","2021","2","7","23","43","25","lb78","27","male","left","81","66","92","2","1","","","","","test","happy","happy","h","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","50414084","0.0-9.0-0.2","7dhw31","Sun Feb 07 2021 23:43:25 GMT+0200 (Eastern European Standard Time)","2021","2","7","23","43","25","lb78","27","male","left","81","66","92","2","1","","","","","fixation","","","",""
"null","img/image_stim_h_stroop.png","null","image-keyboard-response","14","50419088","0.0-9.0-1.2","7dhw31","Sun Feb 07 2021 23:43:25 GMT+0200 (Eastern European Standard Time)","2021","2","7","23","43","25","lb78","27","male","left","81","66","92","2","1","","","","","test","happy","fear","h","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","50420351","0.0-9.0-0.3","7dhw31","Sun Feb 07 2021 23:43:25 GMT+0200 (Eastern European Standard Time)","2021","2","7","23","43","25","lb78","27","male","left","81","66","92","2","1","","","","","fixation","","","",""
"null","img/image_stim_f_stroop.png","null","image-keyboard-response","16","50425366","0.0-9.0-1.3","7dhw31","Sun Feb 07 2021 23:43:25 GMT+0200 (Eastern European Standard Time)","2021","2","7","23","43","25","lb78","27","male","left","81","66","92","2","1","","","","","test","fear","happy","f","false"
