"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"45965","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","77","html-keyboard-response","0","45973","0.0-0.0","lj6asl","Tue Feb 16 2021 20:34:00 GMT+0200 (Eastern European Standard Time)","2021","2","16","20","34","0","lb78","27","male","left","90","46","0","0","6","","","","","","","","",""
"6680","","","survey-text","1","52676","0.0-1.0","lj6asl","Tue Feb 16 2021 20:34:00 GMT+0200 (Eastern European Standard Time)","2021","2","16","20","34","0","lb78","27","male","left","90","46","0","0","6","{""Q0"":""lb78""}","","","","","","","",""
"3160","","","survey-text","2","55849","0.0-2.0","lj6asl","Tue Feb 16 2021 20:34:00 GMT+0200 (Eastern European Standard Time)","2021","2","16","20","34","0","lb78","27","male","left","90","46","0","0","6","{""Q0"":""27""}","","","","","","","",""
"5370","","","survey-multi-select","3","61236","0.0-3.0","lj6asl","Tue Feb 16 2021 20:34:00 GMT+0200 (Eastern European Standard Time)","2021","2","16","20","34","0","lb78","27","male","left","90","46","0","0","6","{""Gender"":[""male""],""Hand"":[""left""]}","[0,1]","","","","","","",""
"7595","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","68848","0.0-4.0","lj6asl","Tue Feb 16 2021 20:34:00 GMT+0200 (Eastern European Standard Time)","2021","2","16","20","34","0","lb78","27","male","left","90","46","0","0","6","","","50","90","","","","",""
"8518","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","77379","0.0-5.0","lj6asl","Tue Feb 16 2021 20:34:00 GMT+0200 (Eastern European Standard Time)","2021","2","16","20","34","0","lb78","27","male","left","90","46","0","0","6","","","50","46","","","","",""
"6542","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","83931","0.0-6.0","lj6asl","Tue Feb 16 2021 20:34:00 GMT+0200 (Eastern European Standard Time)","2021","2","16","20","34","0","lb78","27","male","left","90","46","0","0","6","","","50","0","","","","",""
"42414","","","survey-multi-select","7","126422","0.0-7.0","lj6asl","Tue Feb 16 2021 20:34:00 GMT+0200 (Eastern European Standard Time)","2021","2","16","20","34","0","lb78","27","male","left","90","46","0","0","6","{""Sleep"":[""0""],""Eat"":[""6""]}","[0,1]","","","","","","",""
"4345","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","130776","0.0-8.0","lj6asl","Tue Feb 16 2021 20:34:00 GMT+0200 (Eastern European Standard Time)","2021","2","16","20","34","0","lb78","27","male","left","90","46","0","0","6","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","134806","0.0-9.0-0.0","lj6asl","Tue Feb 16 2021 20:34:00 GMT+0200 (Eastern European Standard Time)","2021","2","16","20","34","0","lb78","27","male","left","90","46","0","0","6","","","","","fixation","","","",""
