"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"3928","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","3931","0.0-0.0","mrt09o","Fri Feb 12 2021 01:34:03 GMT+0200 (Eastern European Standard Time)","2021","2","12","1","34","3","lb78","27","male","left","99","50","97","15","0","","","","","","","","",""
"5255","","","survey-text","1","9192","0.0-1.0","mrt09o","Fri Feb 12 2021 01:34:03 GMT+0200 (Eastern European Standard Time)","2021","2","12","1","34","3","lb78","27","male","left","99","50","97","15","0","{""Q0"":""lb78""}","","","","","","","",""
"2382","","","survey-text","2","11579","0.0-2.0","mrt09o","Fri Feb 12 2021 01:34:03 GMT+0200 (Eastern European Standard Time)","2021","2","12","1","34","3","lb78","27","male","left","99","50","97","15","0","{""Q0"":""27""}","","","","","","","",""
"5533","","","survey-multi-select","3","17118","0.0-3.0","mrt09o","Fri Feb 12 2021 01:34:03 GMT+0200 (Eastern European Standard Time)","2021","2","12","1","34","3","lb78","27","male","left","99","50","97","15","0","{""Gender"":[""male""],""Hand"":[""left""]}","[0,1]","","","","","","",""
"8405","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","25528","0.0-4.0","mrt09o","Fri Feb 12 2021 01:34:03 GMT+0200 (Eastern European Standard Time)","2021","2","12","1","34","3","lb78","27","male","left","99","50","97","15","0","","","50","99","","","","",""
"14308","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","39838","0.0-5.0","mrt09o","Fri Feb 12 2021 01:34:03 GMT+0200 (Eastern European Standard Time)","2021","2","12","1","34","3","lb78","27","male","left","99","50","97","15","0","","","50","50","","","","",""
"6020","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","45859","0.0-6.0","mrt09o","Fri Feb 12 2021 01:34:03 GMT+0200 (Eastern European Standard Time)","2021","2","12","1","34","3","lb78","27","male","left","99","50","97","15","0","","","50","97","","","","",""
"43580","","","survey-multi-select","7","89453","0.0-7.0","mrt09o","Fri Feb 12 2021 01:34:03 GMT+0200 (Eastern European Standard Time)","2021","2","12","1","34","3","lb78","27","male","left","99","50","97","15","0","{""Sleep"":[""15""],""Eat"":[""0""]}","[0,1]","","","","","","",""
"23515","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","72","html-keyboard-response","8","112970","0.0-8.0","mrt09o","Fri Feb 12 2021 01:34:03 GMT+0200 (Eastern European Standard Time)","2021","2","12","1","34","3","lb78","27","male","left","99","50","97","15","0","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","115738","0.0-9.0-0.0","mrt09o","Fri Feb 12 2021 01:34:03 GMT+0200 (Eastern European Standard Time)","2021","2","12","1","34","3","lb78","27","male","left","99","50","97","15","0","","","","","fixation","","","",""
"2015","img/image_stim_f_stroop.png","70","image-keyboard-response","10","117786","0.0-9.0-1.0","mrt09o","Fri Feb 12 2021 01:34:03 GMT+0200 (Eastern European Standard Time)","2021","2","12","1","34","3","lb78","27","male","left","99","50","97","15","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","119050","0.0-9.0-0.1","mrt09o","Fri Feb 12 2021 01:34:03 GMT+0200 (Eastern European Standard Time)","2021","2","12","1","34","3","lb78","27","male","left","99","50","97","15","0","","","","","fixation","","","",""
"877","img/image_stim_h_stroop.png","72","image-keyboard-response","12","119930","0.0-9.0-1.1","mrt09o","Fri Feb 12 2021 01:34:03 GMT+0200 (Eastern European Standard Time)","2021","2","12","1","34","3","lb78","27","male","left","99","50","97","15","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","120447","0.0-9.0-0.2","mrt09o","Fri Feb 12 2021 01:34:03 GMT+0200 (Eastern European Standard Time)","2021","2","12","1","34","3","lb78","27","male","left","99","50","97","15","0","","","","","fixation","","","",""
"632","img/image_stim_h.png","72","image-keyboard-response","14","121083","0.0-9.0-1.2","mrt09o","Fri Feb 12 2021 01:34:03 GMT+0200 (Eastern European Standard Time)","2021","2","12","1","34","3","lb78","27","male","left","99","50","97","15","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","121341","0.0-9.0-0.3","mrt09o","Fri Feb 12 2021 01:34:03 GMT+0200 (Eastern European Standard Time)","2021","2","12","1","34","3","lb78","27","male","left","99","50","97","15","0","","","","","fixation","","","",""
"985","img/image_stim_f.png","70","image-keyboard-response","16","122330","0.0-9.0-1.3","mrt09o","Fri Feb 12 2021 01:34:03 GMT+0200 (Eastern European Standard Time)","2021","2","12","1","34","3","lb78","27","male","left","99","50","97","15","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","124344","0.0-9.0-0.4","mrt09o","Fri Feb 12 2021 01:34:03 GMT+0200 (Eastern European Standard Time)","2021","2","12","1","34","3","lb78","27","male","left","99","50","97","15","0","","","","","fixation","","","",""
"880","img/image_stim_f_stroop.png","70","image-keyboard-response","18","125225","0.0-9.0-1.4","mrt09o","Fri Feb 12 2021 01:34:03 GMT+0200 (Eastern European Standard Time)","2021","2","12","1","34","3","lb78","27","male","left","99","50","97","15","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","125980","0.0-9.0-0.5","mrt09o","Fri Feb 12 2021 01:34:03 GMT+0200 (Eastern European Standard Time)","2021","2","12","1","34","3","lb78","27","male","left","99","50","97","15","0","","","","","fixation","","","",""
"621","img/image_stim_h_stroop.png","72","image-keyboard-response","20","126602","0.0-9.0-1.5","mrt09o","Fri Feb 12 2021 01:34:03 GMT+0200 (Eastern European Standard Time)","2021","2","12","1","34","3","lb78","27","male","left","99","50","97","15","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","127616","0.0-9.0-0.6","mrt09o","Fri Feb 12 2021 01:34:03 GMT+0200 (Eastern European Standard Time)","2021","2","12","1","34","3","lb78","27","male","left","99","50","97","15","0","","","","","fixation","","","",""
"520","img/image_stim_f.png","70","image-keyboard-response","22","128138","0.0-9.0-1.6","mrt09o","Fri Feb 12 2021 01:34:03 GMT+0200 (Eastern European Standard Time)","2021","2","12","1","34","3","lb78","27","male","left","99","50","97","15","0","","","","","test","fear","fear","f","true"
