"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"2139","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","2140","0.0-0.0","xfl6ym","Thu Feb 18 2021 20:32:25 GMT+0200 (Eastern European Standard Time)","2021","2","18","20","32","25","lb78","27","male","left","50","35","60","9","1","","","","","","","","",""
"2944","","","survey-text","1","5088","0.0-1.0","xfl6ym","Thu Feb 18 2021 20:32:25 GMT+0200 (Eastern European Standard Time)","2021","2","18","20","32","25","lb78","27","male","left","50","35","60","9","1","{""Q0"":""lb78""}","","","","","","","",""
"2908","","","survey-text","2","7999","0.0-2.0","xfl6ym","Thu Feb 18 2021 20:32:25 GMT+0200 (Eastern European Standard Time)","2021","2","18","20","32","25","lb78","27","male","left","50","35","60","9","1","{""Q0"":""27""}","","","","","","","",""
"4476","","","survey-multi-select","3","12481","0.0-3.0","xfl6ym","Thu Feb 18 2021 20:32:25 GMT+0200 (Eastern European Standard Time)","2021","2","18","20","32","25","lb78","27","male","left","50","35","60","9","1","{""Gender"":[""male""],""Hand"":[""left""]}","[0,1]","","","","","","",""
"5815","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","18299","0.0-4.0","xfl6ym","Thu Feb 18 2021 20:32:25 GMT+0200 (Eastern European Standard Time)","2021","2","18","20","32","25","lb78","27","male","left","50","35","60","9","1","","","50","50","","","","",""
"6908","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","25209","0.0-5.0","xfl6ym","Thu Feb 18 2021 20:32:25 GMT+0200 (Eastern European Standard Time)","2021","2","18","20","32","25","lb78","27","male","left","50","35","60","9","1","","","50","35","","","","",""
"9354","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","34565","0.0-6.0","xfl6ym","Thu Feb 18 2021 20:32:25 GMT+0200 (Eastern European Standard Time)","2021","2","18","20","32","25","lb78","27","male","left","50","35","60","9","1","","","50","60","","","","",""
"17660","","","survey-multi-select","7","52240","0.0-7.0","xfl6ym","Thu Feb 18 2021 20:32:25 GMT+0200 (Eastern European Standard Time)","2021","2","18","20","32","25","lb78","27","male","left","50","35","60","9","1","{""Sleep"":[""9""],""Eat"":[""1""]}","[0,1]","","","","","","",""
"4423","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","56665","0.0-8.0","xfl6ym","Thu Feb 18 2021 20:32:25 GMT+0200 (Eastern European Standard Time)","2021","2","18","20","32","25","lb78","27","male","left","50","35","60","9","1","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","60444","0.0-9.0-0.0","xfl6ym","Thu Feb 18 2021 20:32:25 GMT+0200 (Eastern European Standard Time)","2021","2","18","20","32","25","lb78","27","male","left","50","35","60","9","1","","","","","fixation","","","",""
