"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"1538","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","1539","0.0-0.0","lcyhsr","Sun Feb 07 2021 11:05:11 GMT+0100 (CET)","2021","2","7","11","5","11","mw73","47","male","right","71","64","3","1","","","","","","","","",""
"6035.000000000001","","","survey-text","1","7581","0.0-1.0","lcyhsr","Sun Feb 07 2021 11:05:11 GMT+0100 (CET)","2021","2","7","11","5","11","mw73","47","male","right","71","64","3","1","{""Q0"":""mw73""}","","","","","","","",""
"5710.000000000002","","","survey-text","2","13295","0.0-2.0","lcyhsr","Sun Feb 07 2021 11:05:11 GMT+0100 (CET)","2021","2","7","11","5","11","mw73","47","male","right","71","64","3","1","{""Q0"":""47""}","","","","","","","",""
"7190","","","survey-multi-select","3","20486","0.0-3.0","lcyhsr","Sun Feb 07 2021 11:05:11 GMT+0100 (CET)","2021","2","7","11","5","11","mw73","47","male","right","71","64","3","1","{""Gender"":[""male""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"2933.0000000000036","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","23420","0.0-4.0","lcyhsr","Sun Feb 07 2021 11:05:11 GMT+0100 (CET)","2021","2","7","11","5","11","mw73","47","male","right","71","64","3","1","","","50","71","","","","",""
"2959","<p>How Tired/Sleepy or Fresh/Awake are you right now?</p>","","html-slider-response","5","26381","0.0-5.0","lcyhsr","Sun Feb 07 2021 11:05:11 GMT+0100 (CET)","2021","2","7","11","5","11","mw73","47","male","right","71","64","3","1","","","50","64","","","","",""
"4701.999999999996","","","survey-multi-select","6","31093","0.0-6.0","lcyhsr","Sun Feb 07 2021 11:05:11 GMT+0100 (CET)","2021","2","7","11","5","11","mw73","47","male","right","71","64","3","1","{""Sleep"":[""3""],""Eat"":[""1""]}","[0,1]","","","","","","",""
"5624.000000000007","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p>Respond as fast as possible while being correct. <strong>Ignore</strong> the written words. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p></p><p>Press any key to begin.</p>","72","html-keyboard-response","7","36718","0.0-7.0","lcyhsr","Sun Feb 07 2021 11:05:11 GMT+0100 (CET)","2021","2","7","11","5","11","mw73","47","male","right","71","64","3","1","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","39474","0.0-8.0-0.0","lcyhsr","Sun Feb 07 2021 11:05:11 GMT+0100 (CET)","2021","2","7","11","5","11","mw73","47","male","right","71","64","3","1","","","","","fixation","","","",""
"1621","img/image_stim_h_stroop.png","72","image-keyboard-response","9","41098","0.0-8.0-1.0","lcyhsr","Sun Feb 07 2021 11:05:11 GMT+0100 (CET)","2021","2","7","11","5","11","mw73","47","male","right","71","64","3","1","","","","","test","happy","fear","h","true"
