"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"2540.390000000116","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","2544","0.0-0.0","o11wsq","Fri Feb 12 2021 12:22:11 GMT+0100 (Central European Standard Time)","2021","2","12","12","22","11","le37","34","other","left","80","15","31","5","4","","","","","","","","",""
"4143.575000000055","","","survey-text","1","6690","0.0-1.0","o11wsq","Fri Feb 12 2021 12:22:11 GMT+0100 (Central European Standard Time)","2021","2","12","12","22","11","le37","34","other","left","80","15","31","5","4","{""Q0"":""le37""}","","","","","","","",""
"1683.6100000000442","","","survey-text","2","8376","0.0-2.0","o11wsq","Fri Feb 12 2021 12:22:11 GMT+0100 (Central European Standard Time)","2021","2","12","12","22","11","le37","34","other","left","80","15","31","5","4","{""Q0"":""34""}","","","","","","","",""
"3191.675000000032","","","survey-multi-select","3","11571","0.0-3.0","o11wsq","Fri Feb 12 2021 12:22:11 GMT+0100 (Central European Standard Time)","2021","2","12","12","22","11","le37","34","other","left","80","15","31","5","4","{""Gender"":[""other""],""Hand"":[""left""]}","[0,1]","","","","","","",""
"3338.0749999996624","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","14910","0.0-4.0","o11wsq","Fri Feb 12 2021 12:22:11 GMT+0100 (Central European Standard Time)","2021","2","12","12","22","11","le37","34","other","left","80","15","31","5","4","","","50","80","","","","",""
"2681.1450000004697","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","17594","0.0-5.0","o11wsq","Fri Feb 12 2021 12:22:11 GMT+0100 (Central European Standard Time)","2021","2","12","12","22","11","le37","34","other","left","80","15","31","5","4","","","50","15","","","","",""
"2297.759999999471","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","19892","0.0-6.0","o11wsq","Fri Feb 12 2021 12:22:11 GMT+0100 (Central European Standard Time)","2021","2","12","12","22","11","le37","34","other","left","80","15","31","5","4","","","50","31","","","","",""
"3600.9800000010728","","","survey-multi-select","7","23506","0.0-7.0","o11wsq","Fri Feb 12 2021 12:22:11 GMT+0100 (Central European Standard Time)","2021","2","12","12","22","11","le37","34","other","left","80","15","31","5","4","{""Sleep"":[""5""],""Eat"":[""4""]}","[0,1]","","","","","","",""
"12046.94500000005","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","72","html-keyboard-response","8","35555","0.0-8.0","o11wsq","Fri Feb 12 2021 12:22:11 GMT+0100 (Central European Standard Time)","2021","2","12","12","22","11","le37","34","other","left","80","15","31","5","4","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","39557","0.0-9.0-0.0","o11wsq","Fri Feb 12 2021 12:22:11 GMT+0100 (Central European Standard Time)","2021","2","12","12","22","11","le37","34","other","left","80","15","31","5","4","","","","","fixation","","","",""
