"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"9579","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","9583","0.0-0.0","bxnukj","Fri Feb 11 2022 08:39:57 GMT+0100 (CET)","2022","2","11","8","39","57","lola","22","female","right","50","8","12","0","11","","","","","","","","",""
"4954","","","survey-text","1","14590","0.0-1.0","bxnukj","Fri Feb 11 2022 08:39:57 GMT+0100 (CET)","2022","2","11","8","39","57","lola","22","female","right","50","8","12","0","11","{""Q0"":""lola""}","","","","","","","",""
"5308.000000000004","","","survey-text","2","19907","0.0-2.0","bxnukj","Fri Feb 11 2022 08:39:57 GMT+0100 (CET)","2022","2","11","8","39","57","lola","22","female","right","50","8","12","0","11","{""Q0"":""22""}","","","","","","","",""
"5229.999999999996","","","survey-multi-select","3","25140","0.0-3.0","bxnukj","Fri Feb 11 2022 08:39:57 GMT+0100 (CET)","2022","2","11","8","39","57","lola","22","female","right","50","8","12","0","11","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"5107","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","30262","0.0-4.0","bxnukj","Fri Feb 11 2022 08:39:57 GMT+0100 (CET)","2022","2","11","8","39","57","lola","22","female","right","50","8","12","0","11","","","50","50","","","","",""
"6217.999999999996","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","36481","0.0-5.0","bxnukj","Fri Feb 11 2022 08:39:57 GMT+0100 (CET)","2022","2","11","8","39","57","lola","22","female","right","50","8","12","0","11","","","50","8","","","","",""
"4215","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","40698","0.0-6.0","bxnukj","Fri Feb 11 2022 08:39:57 GMT+0100 (CET)","2022","2","11","8","39","57","lola","22","female","right","50","8","12","0","11","","","50","12","","","","",""
"24399","","","survey-multi-select","7","65120","0.0-7.0","bxnukj","Fri Feb 11 2022 08:39:57 GMT+0100 (CET)","2022","2","11","8","39","57","lola","22","female","right","50","8","12","0","11","{""Sleep"":[""0""],""Eat"":[""11""]}","[0,1]","","","","","","",""
"21845","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","86970","0.0-8.0","bxnukj","Fri Feb 11 2022 08:39:57 GMT+0100 (CET)","2022","2","11","8","39","57","lola","22","female","right","50","8","12","0","11","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","90972","0.0-9.0-0.0","bxnukj","Fri Feb 11 2022 08:39:57 GMT+0100 (CET)","2022","2","11","8","39","57","lola","22","female","right","50","8","12","0","11","","","","","fixation","","","",""
"984","img/image_stim_h_stroop.png","72","image-keyboard-response","10","91979","0.0-9.0-1.0","bxnukj","Fri Feb 11 2022 08:39:57 GMT+0100 (CET)","2022","2","11","8","39","57","lola","22","female","right","50","8","12","0","11","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","92985","0.0-9.0-0.1","bxnukj","Fri Feb 11 2022 08:39:57 GMT+0100 (CET)","2022","2","11","8","39","57","lola","22","female","right","50","8","12","0","11","","","","","fixation","","","",""
"1237","img/image_stim_f_stroop.png","70","image-keyboard-response","12","94224","0.0-9.0-1.1","bxnukj","Fri Feb 11 2022 08:39:57 GMT+0100 (CET)","2022","2","11","8","39","57","lola","22","female","right","50","8","12","0","11","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","96229","0.0-9.0-0.2","bxnukj","Fri Feb 11 2022 08:39:57 GMT+0100 (CET)","2022","2","11","8","39","57","lola","22","female","right","50","8","12","0","11","","","","","fixation","","","",""
"521","img/image_stim_h.png","72","image-keyboard-response","14","96751","0.0-9.0-1.2","bxnukj","Fri Feb 11 2022 08:39:57 GMT+0100 (CET)","2022","2","11","8","39","57","lola","22","female","right","50","8","12","0","11","","","","","test","happy","happy","h","true"
