"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"12320.000000000002","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","12322","0.0-0.0","1sf4bk","Mon Feb 08 2021 12:10:21 GMT+0100 (CET)","2021","2","8","12","10","21","lp99","21","female","right","71","76","80","4","3","","","","","","","","",""
"16801","","","survey-text","1","29134","0.0-1.0","1sf4bk","Mon Feb 08 2021 12:10:21 GMT+0100 (CET)","2021","2","8","12","10","21","lp99","21","female","right","71","76","80","4","3","{""Q0"":""lp99""}","","","","","","","",""
"3648","","","survey-text","2","32788","0.0-2.0","1sf4bk","Mon Feb 08 2021 12:10:21 GMT+0100 (CET)","2021","2","8","12","10","21","lp99","21","female","right","71","76","80","4","3","{""Q0"":""21""}","","","","","","","",""
"4464","","","survey-multi-select","3","37256","0.0-3.0","1sf4bk","Mon Feb 08 2021 12:10:21 GMT+0100 (CET)","2021","2","8","12","10","21","lp99","21","female","right","71","76","80","4","3","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"7587","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","44845","0.0-4.0","1sf4bk","Mon Feb 08 2021 12:10:21 GMT+0100 (CET)","2021","2","8","12","10","21","lp99","21","female","right","71","76","80","4","3","","","50","71","","","","",""
"6121","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","50967","0.0-5.0","1sf4bk","Mon Feb 08 2021 12:10:21 GMT+0100 (CET)","2021","2","8","12","10","21","lp99","21","female","right","71","76","80","4","3","","","50","76","","","","",""
"4892","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","55860","0.0-6.0","1sf4bk","Mon Feb 08 2021 12:10:21 GMT+0100 (CET)","2021","2","8","12","10","21","lp99","21","female","right","71","76","80","4","3","","","50","80","","","","",""
"25102","","","survey-multi-select","7","80978","0.0-7.0","1sf4bk","Mon Feb 08 2021 12:10:21 GMT+0100 (CET)","2021","2","8","12","10","21","lp99","21","female","right","71","76","80","4","3","{""Sleep"":[""4""],""Eat"":[""3""]}","[0,1]","","","","","","",""
"33154","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","114136","0.0-8.0","1sf4bk","Mon Feb 08 2021 12:10:21 GMT+0100 (CET)","2021","2","8","12","10","21","lp99","21","female","right","71","76","80","4","3","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","117139","0.0-9.0-0.0","1sf4bk","Mon Feb 08 2021 12:10:21 GMT+0100 (CET)","2021","2","8","12","10","21","lp99","21","female","right","71","76","80","4","3","","","","","fixation","","","",""
"1579.9999999999854","img/image_stim_f.png","70","image-keyboard-response","10","118725","0.0-9.0-1.0","1sf4bk","Mon Feb 08 2021 12:10:21 GMT+0100 (CET)","2021","2","8","12","10","21","lp99","21","female","right","71","76","80","4","3","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","120480","0.0-9.0-0.1","1sf4bk","Mon Feb 08 2021 12:10:21 GMT+0100 (CET)","2021","2","8","12","10","21","lp99","21","female","right","71","76","80","4","3","","","","","fixation","","","",""
"850","img/image_stim_h.png","72","image-keyboard-response","12","121334","0.0-9.0-1.1","1sf4bk","Mon Feb 08 2021 12:10:21 GMT+0100 (CET)","2021","2","8","12","10","21","lp99","21","female","right","71","76","80","4","3","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","123088","0.0-9.0-0.2","1sf4bk","Mon Feb 08 2021 12:10:21 GMT+0100 (CET)","2021","2","8","12","10","21","lp99","21","female","right","71","76","80","4","3","","","","","fixation","","","",""
"1457","img/image_stim_h_stroop.png","72","image-keyboard-response","14","124548","0.0-9.0-1.2","1sf4bk","Mon Feb 08 2021 12:10:21 GMT+0100 (CET)","2021","2","8","12","10","21","lp99","21","female","right","71","76","80","4","3","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","126552","0.0-9.0-0.3","1sf4bk","Mon Feb 08 2021 12:10:21 GMT+0100 (CET)","2021","2","8","12","10","21","lp99","21","female","right","71","76","80","4","3","","","","","fixation","","","",""
"1415.999999999971","img/image_stim_f_stroop.png","70","image-keyboard-response","16","127971","0.0-9.0-1.3","1sf4bk","Mon Feb 08 2021 12:10:21 GMT+0100 (CET)","2021","2","8","12","10","21","lp99","21","female","right","71","76","80","4","3","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","128726","0.0-9.0-0.4","1sf4bk","Mon Feb 08 2021 12:10:21 GMT+0100 (CET)","2021","2","8","12","10","21","lp99","21","female","right","71","76","80","4","3","","","","","fixation","","","",""
"795.9999999999854","img/image_stim_h.png","72","image-keyboard-response","18","129524","0.0-9.0-1.4","1sf4bk","Mon Feb 08 2021 12:10:21 GMT+0100 (CET)","2021","2","8","12","10","21","lp99","21","female","right","71","76","80","4","3","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","131028","0.0-9.0-0.5","1sf4bk","Mon Feb 08 2021 12:10:21 GMT+0100 (CET)","2021","2","8","12","10","21","lp99","21","female","right","71","76","80","4","3","","","","","fixation","","","",""
"428","img/image_stim_f_stroop.png","70","image-keyboard-response","20","131460","0.0-9.0-1.5","1sf4bk","Mon Feb 08 2021 12:10:21 GMT+0100 (CET)","2021","2","8","12","10","21","lp99","21","female","right","71","76","80","4","3","","","","","test","fear","happy","f","true"
