"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"4486","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","4489","0.0-0.0","gfgb3s","Thu Feb 11 2021 22:46:52 GMT+0100 (CET)","2021","2","11","22","46","52","lp99","21","female","right","58","22","61","15","1","","","","","","","","",""
"3014","","","survey-text","1","7524","0.0-1.0","gfgb3s","Thu Feb 11 2021 22:46:52 GMT+0100 (CET)","2021","2","11","22","46","52","lp99","21","female","right","58","22","61","15","1","{""Q0"":""lp99""}","","","","","","","",""
"3014","","","survey-text","2","10546","0.0-2.0","gfgb3s","Thu Feb 11 2021 22:46:52 GMT+0100 (CET)","2021","2","11","22","46","52","lp99","21","female","right","58","22","61","15","1","{""Q0"":""21""}","","","","","","","",""
"5603","","","survey-multi-select","3","16153","0.0-3.0","gfgb3s","Thu Feb 11 2021 22:46:52 GMT+0100 (CET)","2021","2","11","22","46","52","lp99","21","female","right","58","22","61","15","1","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"3165","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","19320","0.0-4.0","gfgb3s","Thu Feb 11 2021 22:46:52 GMT+0100 (CET)","2021","2","11","22","46","52","lp99","21","female","right","58","22","61","15","1","","","50","58","","","","",""
"3440.9999999999964","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","22763","0.0-5.0","gfgb3s","Thu Feb 11 2021 22:46:52 GMT+0100 (CET)","2021","2","11","22","46","52","lp99","21","female","right","58","22","61","15","1","","","50","22","","","","",""
"4384","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","27149","0.0-6.0","gfgb3s","Thu Feb 11 2021 22:46:52 GMT+0100 (CET)","2021","2","11","22","46","52","lp99","21","female","right","58","22","61","15","1","","","50","61","","","","",""
"35779","","","survey-multi-select","7","62946","0.0-7.0","gfgb3s","Thu Feb 11 2021 22:46:52 GMT+0100 (CET)","2021","2","11","22","46","52","lp99","21","female","right","58","22","61","15","1","{""Sleep"":[""15""],""Eat"":[""1""]}","[0,1]","","","","","","",""
"5526","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","72","html-keyboard-response","8","68473","0.0-8.0","gfgb3s","Thu Feb 11 2021 22:46:52 GMT+0100 (CET)","2021","2","11","22","46","52","lp99","21","female","right","58","22","61","15","1","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","71726","0.0-9.0-0.0","gfgb3s","Thu Feb 11 2021 22:46:52 GMT+0100 (CET)","2021","2","11","22","46","52","lp99","21","female","right","58","22","61","15","1","","","","","fixation","","","",""
