"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"2701.0000000000005","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","72","html-keyboard-response","0","2703","0.0-0.0","xe0he7","Wed Feb 17 2021 08:22:59 GMT+0100 (CET)","2021","2","17","8","22","59","lp99","21","female","right","57","22","25","0","12","","","","","","","","",""
"3105","","","survey-text","1","5831","0.0-1.0","xe0he7","Wed Feb 17 2021 08:22:59 GMT+0100 (CET)","2021","2","17","8","22","59","lp99","21","female","right","57","22","25","0","12","{""Q0"":""lp99""}","","","","","","","",""
"2037","","","survey-text","2","7876","0.0-2.0","xe0he7","Wed Feb 17 2021 08:22:59 GMT+0100 (CET)","2021","2","17","8","22","59","lp99","21","female","right","57","22","25","0","12","{""Q0"":""21""}","","","","","","","",""
"4196","","","survey-multi-select","3","12076","0.0-3.0","xe0he7","Wed Feb 17 2021 08:22:59 GMT+0100 (CET)","2021","2","17","8","22","59","lp99","21","female","right","57","22","25","0","12","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"6508.999999999998","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","18588","0.0-4.0","xe0he7","Wed Feb 17 2021 08:22:59 GMT+0100 (CET)","2021","2","17","8","22","59","lp99","21","female","right","57","22","25","0","12","","","50","57","","","","",""
"3678","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","22266","0.0-5.0","xe0he7","Wed Feb 17 2021 08:22:59 GMT+0100 (CET)","2021","2","17","8","22","59","lp99","21","female","right","57","22","25","0","12","","","50","22","","","","",""
"3421.0000000000036","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","25688","0.0-6.0","xe0he7","Wed Feb 17 2021 08:22:59 GMT+0100 (CET)","2021","2","17","8","22","59","lp99","21","female","right","57","22","25","0","12","","","50","25","","","","",""
"29831","","","survey-multi-select","7","55532","0.0-7.0","xe0he7","Wed Feb 17 2021 08:22:59 GMT+0100 (CET)","2021","2","17","8","22","59","lp99","21","female","right","57","22","25","0","12","{""Sleep"":[""0""],""Eat"":[""12""]}","[0,1]","","","","","","",""
"7100","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","72","html-keyboard-response","8","62634","0.0-8.0","xe0he7","Wed Feb 17 2021 08:22:59 GMT+0100 (CET)","2021","2","17","8","22","59","lp99","21","female","right","57","22","25","0","12","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","65887","0.0-9.0-0.0","xe0he7","Wed Feb 17 2021 08:22:59 GMT+0100 (CET)","2021","2","17","8","22","59","lp99","21","female","right","57","22","25","0","12","","","","","fixation","","","",""
"1638.9999999999854","img/image_stim_f.png","70","image-keyboard-response","10","67536","0.0-9.0-1.0","xe0he7","Wed Feb 17 2021 08:22:59 GMT+0100 (CET)","2021","2","17","8","22","59","lp99","21","female","right","57","22","25","0","12","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","68043","0.0-9.0-0.1","xe0he7","Wed Feb 17 2021 08:22:59 GMT+0100 (CET)","2021","2","17","8","22","59","lp99","21","female","right","57","22","25","0","12","","","","","fixation","","","",""
