"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"420352.2349999985","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","420357","0.0-0.0","ok7hcf","Mon Feb 08 2021 14:31:56 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","14","31","56","lwp1234","22","female","right","90","73","96","8","1","","","","","","","","",""
"479958.3050000365","","","survey-text","1","900321","0.0-1.0","ok7hcf","Mon Feb 08 2021 14:31:56 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","14","31","56","lwp1234","22","female","right","90","73","96","8","1","{""Q0"":""lwp1234""}","","","","","","","",""
"3455.39000001736","","","survey-text","2","903779","0.0-2.0","ok7hcf","Mon Feb 08 2021 14:31:56 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","14","31","56","lwp1234","22","female","right","90","73","96","8","1","{""Q0"":""22""}","","","","","","","",""
"4248.474999971222","","","survey-multi-select","3","908030","0.0-3.0","ok7hcf","Mon Feb 08 2021 14:31:56 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","14","31","56","lwp1234","22","female","right","90","73","96","8","1","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"5958.444999996573","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","913990","0.0-4.0","ok7hcf","Mon Feb 08 2021 14:31:56 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","14","31","56","lwp1234","22","female","right","90","73","96","8","1","","","50","90","","","","",""
"6698.414999991655","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","920689","0.0-5.0","ok7hcf","Mon Feb 08 2021 14:31:56 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","14","31","56","lwp1234","22","female","right","90","73","96","8","1","","","50","73","","","","",""
"31096.189999952912","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","951787","0.0-6.0","ok7hcf","Mon Feb 08 2021 14:31:56 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","14","31","56","lwp1234","22","female","right","90","73","96","8","1","","","50","96","","","","",""
"10516.044999996666","","","survey-multi-select","7","962317","0.0-7.0","ok7hcf","Mon Feb 08 2021 14:31:56 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","14","31","56","lwp1234","22","female","right","90","73","96","8","1","{""Sleep"":[""8""],""Eat"":[""1""]}","[0,1]","","","","","","",""
"69964.38999997918","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","1032283","0.0-8.0","ok7hcf","Mon Feb 08 2021 14:31:56 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","14","31","56","lwp1234","22","female","right","90","73","96","8","1","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","1034790","0.0-9.0-0.0","ok7hcf","Mon Feb 08 2021 14:31:56 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","14","31","56","lwp1234","22","female","right","90","73","96","8","1","","","","","fixation","","","",""
"null","img/image_stim_h_stroop.png","null","image-keyboard-response","10","1039795","0.0-9.0-1.0","ok7hcf","Mon Feb 08 2021 14:31:56 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","14","31","56","lwp1234","22","female","right","90","73","96","8","1","","","","","test","happy","fear","h","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","1041050","0.0-9.0-0.1","ok7hcf","Mon Feb 08 2021 14:31:56 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","14","31","56","lwp1234","22","female","right","90","73","96","8","1","","","","","fixation","","","",""
"null","img/image_stim_f_stroop.png","null","image-keyboard-response","12","1046054","0.0-9.0-1.1","ok7hcf","Mon Feb 08 2021 14:31:56 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","14","31","56","lwp1234","22","female","right","90","73","96","8","1","","","","","test","fear","happy","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","1046307","0.0-9.0-0.2","ok7hcf","Mon Feb 08 2021 14:31:56 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","14","31","56","lwp1234","22","female","right","90","73","96","8","1","","","","","fixation","","","",""
"null","img/image_stim_f.png","null","image-keyboard-response","14","1051310","0.0-9.0-1.2","ok7hcf","Mon Feb 08 2021 14:31:56 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","14","31","56","lwp1234","22","female","right","90","73","96","8","1","","","","","test","fear","fear","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","1051562","0.0-9.0-0.3","ok7hcf","Mon Feb 08 2021 14:31:56 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","14","31","56","lwp1234","22","female","right","90","73","96","8","1","","","","","fixation","","","",""
"821.8350000097416","img/image_stim_h.png","72","image-keyboard-response","16","1052385","0.0-9.0-1.3","ok7hcf","Mon Feb 08 2021 14:31:56 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","14","31","56","lwp1234","22","female","right","90","73","96","8","1","","","","","test","happy","happy","h","true"
