"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"16399","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","16402","0.0-0.0","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","","","","",""
"24741","","","survey-text","1","41158","0.0-1.0","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","{""Q0"":""mf13""}","","","","","","","",""
"2337","","","survey-text","2","43501","0.0-2.0","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","{""Q0"":""22""}","","","","","","","",""
"3342","","","survey-multi-select","3","46848","0.0-3.0","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"3478.9999999999927","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","50329","0.0-4.0","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","50","41","","","","",""
"2787","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","53118","0.0-5.0","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","50","17","","","","",""
"3773","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","56892","0.0-6.0","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","50","44","","","","",""
"10148","","","survey-multi-select","7","67057","0.0-7.0","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","{""Sleep"":[""8""],""Eat"":[""0""]}","[0,1]","","","","","","",""
"23294","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","90355","0.0-8.0","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","93359","0.0-9.0-0.0","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","fixation","","","",""
"1379","img/image_stim_h_stroop.png","70","image-keyboard-response","10","94742","0.0-9.0-1.0","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","test","happy","fear","h","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","95498","0.0-9.0-0.1","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","fixation","","","",""
"757","img/image_stim_f.png","70","image-keyboard-response","12","96258","0.0-9.0-1.1","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","97763","0.0-9.0-0.2","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","fixation","","","",""
"569","img/image_stim_h.png","72","image-keyboard-response","14","98334","0.0-9.0-1.2","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","98838","0.0-9.0-0.3","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","fixation","","","",""
"785","img/image_stim_f_stroop.png","70","image-keyboard-response","16","99626","0.0-9.0-1.3","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","101631","0.0-9.0-0.4","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","fixation","","","",""
"474","img/image_stim_f.png","70","image-keyboard-response","18","102107","0.0-9.0-1.4","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","103612","0.0-9.0-0.5","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","fixation","","","",""
"389","img/image_stim_f_stroop.png","70","image-keyboard-response","20","104003","0.0-9.0-1.5","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","105008","0.0-9.0-0.6","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","fixation","","","",""
"435","img/image_stim_h.png","72","image-keyboard-response","22","105445","0.0-9.0-1.6","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","106199","0.0-9.0-0.7","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","fixation","","","",""
"423","img/image_stim_h_stroop.png","72","image-keyboard-response","24","106624","0.0-9.0-1.7","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","107629","0.0-9.0-0.8","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","fixation","","","",""
"525","img/image_stim_f_stroop.png","70","image-keyboard-response","26","108157","0.0-9.0-1.8","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","108411","0.0-9.0-0.9","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","fixation","","","",""
"500","img/image_stim_f.png","70","image-keyboard-response","28","108913","0.0-9.0-1.9","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","29","110168","0.0-9.0-0.10","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","fixation","","","",""
"520.0000000000146","img/image_stim_h.png","72","image-keyboard-response","30","110690","0.0-9.0-1.10","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","31","110945","0.0-9.0-0.11","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","fixation","","","",""
"434","img/image_stim_h_stroop.png","72","image-keyboard-response","32","111381","0.0-9.0-1.11","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","33","113386","0.0-9.0-0.12","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","fixation","","","",""
"515","img/image_stim_f_stroop.png","70","image-keyboard-response","34","113903","0.0-9.0-1.12","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","35","115408","0.0-9.0-0.13","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","fixation","","","",""
"630","img/image_stim_f.png","70","image-keyboard-response","36","116040","0.0-9.0-1.13","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","37","116794","0.0-9.0-0.14","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","fixation","","","",""
"429","img/image_stim_h_stroop.png","72","image-keyboard-response","38","117225","0.0-9.0-1.14","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","39","117730","0.0-9.0-0.15","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","fixation","","","",""
"437.99999999998545","img/image_stim_h.png","72","image-keyboard-response","40","118170","0.0-9.0-1.15","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","41","119925","0.0-9.0-0.16","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","fixation","","","",""
"477","img/image_stim_f_stroop.png","70","image-keyboard-response","42","120404","0.0-9.0-1.16","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","43","122159","0.0-9.0-0.17","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","fixation","","","",""
"449.00000000001455","img/image_stim_h.png","72","image-keyboard-response","44","122610","0.0-9.0-1.17","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","45","123865","0.0-9.0-0.18","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","fixation","","","",""
"423","img/image_stim_f.png","70","image-keyboard-response","46","124291","0.0-9.0-1.18","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","47","125294","0.0-9.0-0.19","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","fixation","","","",""
"441","img/image_stim_h_stroop.png","72","image-keyboard-response","48","125737","0.0-9.0-1.19","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","49","127242","0.0-9.0-0.20","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","fixation","","","",""
"393.00000000001455","img/image_stim_h_stroop.png","72","image-keyboard-response","50","127637","0.0-9.0-1.20","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","51","129393","0.0-9.0-0.21","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","fixation","","","",""
"429.00000000001455","img/image_stim_f_stroop.png","70","image-keyboard-response","52","129824","0.0-9.0-1.21","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","53","131330","0.0-9.0-0.22","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","fixation","","","",""
"485","img/image_stim_h.png","72","image-keyboard-response","54","131816","0.0-9.0-1.22","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","55","133322","0.0-9.0-0.23","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","fixation","","","",""
"434","img/image_stim_f.png","70","image-keyboard-response","56","133758","0.0-9.0-1.23","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","57","134013","0.0-9.0-0.24","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","fixation","","","",""
"595","img/image_stim_f.png","70","image-keyboard-response","58","134610","0.0-9.0-1.24","eyjuzb","Mon Feb 15 2021 16:01:14 GMT+0100 (CET)","2021","2","15","16","1","14","mf13","22","female","right","41","17","44","8","0","","","","","test","fear","fear","f","true"
