"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"2933","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","2936","0.0-0.0","spujhu","Tue Feb 16 2021 08:57:44 GMT+0100 (CET)","2021","2","16","8","57","44","mf13","22","female","right","55","11","6","0","11","","","","","","","","",""
"7409","","","survey-text","1","10378","0.0-1.0","spujhu","Tue Feb 16 2021 08:57:44 GMT+0100 (CET)","2021","2","16","8","57","44","mf13","22","female","right","55","11","6","0","11","{""Q0"":""mf13""}","","","","","","","",""
"3788.000000000002","","","survey-text","2","14172","0.0-2.0","spujhu","Tue Feb 16 2021 08:57:44 GMT+0100 (CET)","2021","2","16","8","57","44","mf13","22","female","right","55","11","6","0","11","{""Q0"":""22""}","","","","","","","",""
"3805","","","survey-multi-select","3","17982","0.0-3.0","spujhu","Tue Feb 16 2021 08:57:44 GMT+0100 (CET)","2021","2","16","8","57","44","mf13","22","female","right","55","11","6","0","11","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"3760","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","21744","0.0-4.0","spujhu","Tue Feb 16 2021 08:57:44 GMT+0100 (CET)","2021","2","16","8","57","44","mf13","22","female","right","55","11","6","0","11","","","50","55","","","","",""
"3612","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","25358","0.0-5.0","spujhu","Tue Feb 16 2021 08:57:44 GMT+0100 (CET)","2021","2","16","8","57","44","mf13","22","female","right","55","11","6","0","11","","","50","11","","","","",""
"4080","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","29440","0.0-6.0","spujhu","Tue Feb 16 2021 08:57:44 GMT+0100 (CET)","2021","2","16","8","57","44","mf13","22","female","right","55","11","6","0","11","","","50","6","","","","",""
"16540","","","survey-multi-select","7","45995","0.0-7.0","spujhu","Tue Feb 16 2021 08:57:44 GMT+0100 (CET)","2021","2","16","8","57","44","mf13","22","female","right","55","11","6","0","11","{""Sleep"":[""0""],""Eat"":[""11""]}","[0,1]","","","","","","",""
"13904","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","59901","0.0-8.0","spujhu","Tue Feb 16 2021 08:57:44 GMT+0100 (CET)","2021","2","16","8","57","44","mf13","22","female","right","55","11","6","0","11","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","62404","0.0-9.0-0.0","spujhu","Tue Feb 16 2021 08:57:44 GMT+0100 (CET)","2021","2","16","8","57","44","mf13","22","female","right","55","11","6","0","11","","","","","fixation","","","",""
