"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"2157","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","2161","0.0-0.0","k6rag2","Thu Feb 10 2022 22:55:43 GMT+0100 (CET)","2022","2","10","22","55","43","mf21","21","female","right","15","7","6","12","5","","","","","","","","",""
"3185.000000000001","","","survey-text","1","5375","0.0-1.0","k6rag2","Thu Feb 10 2022 22:55:43 GMT+0100 (CET)","2022","2","10","22","55","43","mf21","21","female","right","15","7","6","12","5","{""Q0"":""mf21""}","","","","","","","",""
"1258.000000000001","","","survey-text","2","6638","0.0-2.0","k6rag2","Thu Feb 10 2022 22:55:43 GMT+0100 (CET)","2022","2","10","22","55","43","mf21","21","female","right","15","7","6","12","5","{""Q0"":""21""}","","","","","","","",""
"5004.999999999999","","","survey-multi-select","3","11651","0.0-3.0","k6rag2","Thu Feb 10 2022 22:55:43 GMT+0100 (CET)","2022","2","10","22","55","43","mf21","21","female","right","15","7","6","12","5","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"5178","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","16832","0.0-4.0","k6rag2","Thu Feb 10 2022 22:55:43 GMT+0100 (CET)","2022","2","10","22","55","43","mf21","21","female","right","15","7","6","12","5","","","50","15","","","","",""
"5247","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","22081","0.0-5.0","k6rag2","Thu Feb 10 2022 22:55:43 GMT+0100 (CET)","2022","2","10","22","55","43","mf21","21","female","right","15","7","6","12","5","","","50","7","","","","",""
"2948","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","25038","0.0-6.0","k6rag2","Thu Feb 10 2022 22:55:43 GMT+0100 (CET)","2022","2","10","22","55","43","mf21","21","female","right","15","7","6","12","5","","","50","6","","","","",""
"12854.999999999996","","","survey-multi-select","7","37905","0.0-7.0","k6rag2","Thu Feb 10 2022 22:55:43 GMT+0100 (CET)","2022","2","10","22","55","43","mf21","21","female","right","15","7","6","12","5","{""Sleep"":[""12""],""Eat"":[""5""]}","[0,1]","","","","","","",""
"2862.0000000000073","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","40770","0.0-8.0","k6rag2","Thu Feb 10 2022 22:55:43 GMT+0100 (CET)","2022","2","10","22","55","43","mf21","21","female","right","15","7","6","12","5","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","43775","0.0-9.0-0.0","k6rag2","Thu Feb 10 2022 22:55:43 GMT+0100 (CET)","2022","2","10","22","55","43","mf21","21","female","right","15","7","6","12","5","","","","","fixation","","","",""
"519","img/image_stim_h_stroop.png","72","image-keyboard-response","10","44306","0.0-9.0-1.0","k6rag2","Thu Feb 10 2022 22:55:43 GMT+0100 (CET)","2022","2","10","22","55","43","mf21","21","female","right","15","7","6","12","5","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","45815","0.0-9.0-0.1","k6rag2","Thu Feb 10 2022 22:55:43 GMT+0100 (CET)","2022","2","10","22","55","43","mf21","21","female","right","15","7","6","12","5","","","","","fixation","","","",""
"450.0000000000073","img/image_stim_f_stroop.png","70","image-keyboard-response","12","46273","0.0-9.0-1.1","k6rag2","Thu Feb 10 2022 22:55:43 GMT+0100 (CET)","2022","2","10","22","55","43","mf21","21","female","right","15","7","6","12","5","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","46778","0.0-9.0-0.2","k6rag2","Thu Feb 10 2022 22:55:43 GMT+0100 (CET)","2022","2","10","22","55","43","mf21","21","female","right","15","7","6","12","5","","","","","fixation","","","",""
"427","img/image_stim_h.png","72","image-keyboard-response","14","47213","0.0-9.0-1.2","k6rag2","Thu Feb 10 2022 22:55:43 GMT+0100 (CET)","2022","2","10","22","55","43","mf21","21","female","right","15","7","6","12","5","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","47470","0.0-9.0-0.3","k6rag2","Thu Feb 10 2022 22:55:43 GMT+0100 (CET)","2022","2","10","22","55","43","mf21","21","female","right","15","7","6","12","5","","","","","fixation","","","",""
"469","img/image_stim_f.png","70","image-keyboard-response","16","47945","0.0-9.0-1.3","k6rag2","Thu Feb 10 2022 22:55:43 GMT+0100 (CET)","2022","2","10","22","55","43","mf21","21","female","right","15","7","6","12","5","","","","","test","fear","fear","f","true"
