"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"31862.08499999975","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","13","html-keyboard-response","0","31866","0.0-0.0","h4myoc","Tue Feb 16 2021 09:12:28 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","9","12","28","mg65","55","male","right","87","88","97","1","0","","","","","","","","",""
"6473.71000000021","","","survey-text","1","38343","0.0-1.0","h4myoc","Tue Feb 16 2021 09:12:28 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","9","12","28","mg65","55","male","right","87","88","97","1","0","{""Q0"":""mg65""}","","","","","","","",""
"5147.265000000516","","","survey-text","2","43495","0.0-2.0","h4myoc","Tue Feb 16 2021 09:12:28 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","9","12","28","mg65","55","male","right","87","88","97","1","0","{""Q0"":""55""}","","","","","","","",""
"5236.1149999997","","","survey-multi-select","3","48735","0.0-3.0","h4myoc","Tue Feb 16 2021 09:12:28 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","9","12","28","mg65","55","male","right","87","88","97","1","0","{""Gender"":[""male""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"5413.514999999279","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","54151","0.0-4.0","h4myoc","Tue Feb 16 2021 09:12:28 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","9","12","28","mg65","55","male","right","87","88","97","1","0","","","50","87","","","","",""
"5581.4650000002075","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","59734","0.0-5.0","h4myoc","Tue Feb 16 2021 09:12:28 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","9","12","28","mg65","55","male","right","87","88","97","1","0","","","50","88","","","","",""
"4926.6850000003615","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","64662","0.0-6.0","h4myoc","Tue Feb 16 2021 09:12:28 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","9","12","28","mg65","55","male","right","87","88","97","1","0","","","50","97","","","","",""
"14003.635000000024","","","survey-multi-select","7","78680","0.0-7.0","h4myoc","Tue Feb 16 2021 09:12:28 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","9","12","28","mg65","55","male","right","87","88","97","1","0","{""Sleep"":[""1""],""Eat"":[""0""]}","[0,1]","","","","","","",""
"43832.014999999956","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","13","html-keyboard-response","8","122513","0.0-8.0","h4myoc","Tue Feb 16 2021 09:12:28 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","9","12","28","mg65","55","male","right","87","88","97","1","0","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","126518","0.0-9.0-0.0","h4myoc","Tue Feb 16 2021 09:12:28 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","9","12","28","mg65","55","male","right","87","88","97","1","0","","","","","fixation","","","",""
