"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"17029.58499999977","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","17033","0.0-0.0","huh45o","Mon Feb 08 2021 09:46:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","46","45","mi99","21","female","right","50","34","43","3","2","","","","","","","","",""
"13044.324999999844","","","survey-text","1","30086","0.0-1.0","huh45o","Mon Feb 08 2021 09:46:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","46","45","mi99","21","female","right","50","34","43","3","2","{""Q0"":""mi99""}","","","","","","","",""
"5625.320000000098","","","survey-text","2","35715","0.0-2.0","huh45o","Mon Feb 08 2021 09:46:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","46","45","mi99","21","female","right","50","34","43","3","2","{""Q0"":""21""}","","","","","","","",""
"3429.289999999586","","","survey-multi-select","3","39149","0.0-3.0","huh45o","Mon Feb 08 2021 09:46:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","46","45","mi99","21","female","right","50","34","43","3","2","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"10740.319999999876","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","49893","0.0-4.0","huh45o","Mon Feb 08 2021 09:46:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","46","45","mi99","21","female","right","50","34","43","3","2","","","50","50","","","","",""
"7807.589999999887","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","57702","0.0-5.0","huh45o","Mon Feb 08 2021 09:46:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","46","45","mi99","21","female","right","50","34","43","3","2","","","50","34","","","","",""
"13317.185000000347","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","71021","0.0-6.0","huh45o","Mon Feb 08 2021 09:46:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","46","45","mi99","21","female","right","50","34","43","3","2","","","50","43","","","","",""
"14719.240000000354","","","survey-multi-select","7","85759","0.0-7.0","huh45o","Mon Feb 08 2021 09:46:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","46","45","mi99","21","female","right","50","34","43","3","2","{""Sleep"":[""3""],""Eat"":[""2""]}","[0,1]","","","","","","",""
"23469.729999999792","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","109231","0.0-8.0","huh45o","Mon Feb 08 2021 09:46:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","46","45","mi99","21","female","right","50","34","43","3","2","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","111493","0.0-9.0-0.0","huh45o","Mon Feb 08 2021 09:46:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","46","45","mi99","21","female","right","50","34","43","3","2","","","","","fixation","","","",""
"4439.304999999877","img/image_stim_f.png","32","image-keyboard-response","10","115939","0.0-9.0-1.0","huh45o","Mon Feb 08 2021 09:46:45 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","46","45","mi99","21","female","right","50","34","43","3","2","","","","","test","fear","fear","f","false"
