"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"2062.4400000087917","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","2069","0.0-0.0","xjedd7","Thu Feb 18 2021 15:21:13 GMT+0100 (Centraleuropæisk normaltid)","2021","2","18","15","21","13","mk97","24","male","left","58","55","50","7","0","","","","","","","","",""
"2474.079999985406","","","survey-text","1","4558","0.0-1.0","xjedd7","Thu Feb 18 2021 15:21:13 GMT+0100 (Centraleuropæisk normaltid)","2021","2","18","15","21","13","mk97","24","male","left","58","55","50","7","0","{""Q0"":""mk97""}","","","","","","","",""
"1207.6800000213552","","","survey-text","2","5783","0.0-2.0","xjedd7","Thu Feb 18 2021 15:21:13 GMT+0100 (Centraleuropæisk normaltid)","2021","2","18","15","21","13","mk97","24","male","left","58","55","50","7","0","{""Q0"":""24""}","","","","","","","",""
"4495.819999981904","","","survey-multi-select","3","10288","0.0-3.0","xjedd7","Thu Feb 18 2021 15:21:13 GMT+0100 (Centraleuropæisk normaltid)","2021","2","18","15","21","13","mk97","24","male","left","58","55","50","7","0","{""Gender"":[""male""],""Hand"":[""left""]}","[0,1]","","","","","","",""
"6842.199999984587","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","17137","0.0-4.0","xjedd7","Thu Feb 18 2021 15:21:13 GMT+0100 (Centraleuropæisk normaltid)","2021","2","18","15","21","13","mk97","24","male","left","58","55","50","7","0","","","50","58","","","","",""
"5115.140000008978","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","22257","0.0-5.0","xjedd7","Thu Feb 18 2021 15:21:13 GMT+0100 (Centraleuropæisk normaltid)","2021","2","18","15","21","13","mk97","24","male","left","58","55","50","7","0","","","50","55","","","","",""
"429.39999999362044","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","22691","0.0-6.0","xjedd7","Thu Feb 18 2021 15:21:13 GMT+0100 (Centraleuropæisk normaltid)","2021","2","18","15","21","13","mk97","24","male","left","58","55","50","7","0","","","50","50","","","","",""
"5567.4399999843445","","","survey-multi-select","7","28315","0.0-7.0","xjedd7","Thu Feb 18 2021 15:21:13 GMT+0100 (Centraleuropæisk normaltid)","2021","2","18","15","21","13","mk97","24","male","left","58","55","50","7","0","{""Sleep"":[""7""],""Eat"":[""0""]}","[0,1]","","","","","","",""
"1404.9999999988358","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","29725","0.0-8.0","xjedd7","Thu Feb 18 2021 15:21:13 GMT+0100 (Centraleuropæisk normaltid)","2021","2","18","15","21","13","mk97","24","male","left","58","55","50","7","0","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","33736","0.0-9.0-0.0","xjedd7","Thu Feb 18 2021 15:21:13 GMT+0100 (Centraleuropæisk normaltid)","2021","2","18","15","21","13","mk97","24","male","left","58","55","50","7","0","","","","","fixation","","","",""
"591.004999994766","img/image_stim_f.png","70","image-keyboard-response","10","34365","0.0-9.0-1.0","xjedd7","Thu Feb 18 2021 15:21:13 GMT+0100 (Centraleuropæisk normaltid)","2021","2","18","15","21","13","mk97","24","male","left","58","55","50","7","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","35625","0.0-9.0-0.1","xjedd7","Thu Feb 18 2021 15:21:13 GMT+0100 (Centraleuropæisk normaltid)","2021","2","18","15","21","13","mk97","24","male","left","58","55","50","7","0","","","","","fixation","","","",""
"779.8349999939092","img/image_stim_f_stroop.png","70","image-keyboard-response","12","36412","0.0-9.0-1.1","xjedd7","Thu Feb 18 2021 15:21:13 GMT+0100 (Centraleuropæisk normaltid)","2021","2","18","15","21","13","mk97","24","male","left","58","55","50","7","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","37669","0.0-9.0-0.2","xjedd7","Thu Feb 18 2021 15:21:13 GMT+0100 (Centraleuropæisk normaltid)","2021","2","18","15","21","13","mk97","24","male","left","58","55","50","7","0","","","","","fixation","","","",""
"489.594999991823","img/image_stim_h_stroop.png","72","image-keyboard-response","14","38164","0.0-9.0-1.2","xjedd7","Thu Feb 18 2021 15:21:13 GMT+0100 (Centraleuropæisk normaltid)","2021","2","18","15","21","13","mk97","24","male","left","58","55","50","7","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","39172","0.0-9.0-0.3","xjedd7","Thu Feb 18 2021 15:21:13 GMT+0100 (Centraleuropæisk normaltid)","2021","2","18","15","21","13","mk97","24","male","left","58","55","50","7","0","","","","","fixation","","","",""
"451.2350000150036","img/image_stim_h.png","72","image-keyboard-response","16","39632","0.0-9.0-1.3","xjedd7","Thu Feb 18 2021 15:21:13 GMT+0100 (Centraleuropæisk normaltid)","2021","2","18","15","21","13","mk97","24","male","left","58","55","50","7","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","39896","0.0-9.0-0.4","xjedd7","Thu Feb 18 2021 15:21:13 GMT+0100 (Centraleuropæisk normaltid)","2021","2","18","15","21","13","mk97","24","male","left","58","55","50","7","0","","","","","fixation","","","",""
"636.8549999897368","img/image_stim_h_stroop.png","72","image-keyboard-response","18","40543","0.0-9.0-1.4","xjedd7","Thu Feb 18 2021 15:21:13 GMT+0100 (Centraleuropæisk normaltid)","2021","2","18","15","21","13","mk97","24","male","left","58","55","50","7","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","40803","0.0-9.0-0.5","xjedd7","Thu Feb 18 2021 15:21:13 GMT+0100 (Centraleuropæisk normaltid)","2021","2","18","15","21","13","mk97","24","male","left","58","55","50","7","0","","","","","fixation","","","",""
"629.2599999869708","img/image_stim_f.png","70","image-keyboard-response","20","41440","0.0-9.0-1.5","xjedd7","Thu Feb 18 2021 15:21:13 GMT+0100 (Centraleuropæisk normaltid)","2021","2","18","15","21","13","mk97","24","male","left","58","55","50","7","0","","","","","test","fear","fear","f","true"
