"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"1570.2600000076927","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","1573","0.0-0.0","kyes5o","Tue Feb 16 2021 08:20:55 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","8","20","55","mo51","51","female","right","50","37","50","1","10","","","","","","","","",""
"26221.004999999423","","","survey-text","1","27798","0.0-1.0","kyes5o","Tue Feb 16 2021 08:20:55 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","8","20","55","mo51","51","female","right","50","37","50","1","10","{""Q0"":""mo51""}","","","","","","","",""
"2869.1699999617413","","","survey-text","2","30670","0.0-2.0","kyes5o","Tue Feb 16 2021 08:20:55 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","8","20","55","mo51","51","female","right","50","37","50","1","10","{""Q0"":""51""}","","","","","","","",""
"5621.189999976195","","","survey-multi-select","3","36296","0.0-3.0","kyes5o","Tue Feb 16 2021 08:20:55 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","8","20","55","mo51","51","female","right","50","37","50","1","10","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"6990.8050000085495","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","43289","0.0-4.0","kyes5o","Tue Feb 16 2021 08:20:55 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","8","20","55","mo51","51","female","right","50","37","50","1","10","","","50","50","","","","",""
"5000.270000018645","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","48291","0.0-5.0","kyes5o","Tue Feb 16 2021 08:20:55 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","8","20","55","mo51","51","female","right","50","37","50","1","10","","","50","37","","","","",""
"3242.564999964088","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","51535","0.0-6.0","kyes5o","Tue Feb 16 2021 08:20:55 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","8","20","55","mo51","51","female","right","50","37","50","1","10","","","50","50","","","","",""
"13366.169999993872","","","survey-multi-select","7","64923","0.0-7.0","kyes5o","Tue Feb 16 2021 08:20:55 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","8","20","55","mo51","51","female","right","50","37","50","1","10","{""Sleep"":[""1""],""Eat"":[""10""]}","[0,1]","","","","","","",""
"34650.48999997089","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","99575","0.0-8.0","kyes5o","Tue Feb 16 2021 08:20:55 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","8","20","55","mo51","51","female","right","50","37","50","1","10","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","102606","0.0-9.0-0.0","kyes5o","Tue Feb 16 2021 08:20:55 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","8","20","55","mo51","51","female","right","50","37","50","1","10","","","","","fixation","","","",""
"1693.0900000152178","img/image_stim_f.png","70","image-keyboard-response","10","104311","0.0-9.0-1.0","kyes5o","Tue Feb 16 2021 08:20:55 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","8","20","55","mo51","51","female","right","50","37","50","1","10","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","104581","0.0-9.0-0.1","kyes5o","Tue Feb 16 2021 08:20:55 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","8","20","55","mo51","51","female","right","50","37","50","1","10","","","","","fixation","","","",""
"957.9599999706261","img/image_stim_f_stroop.png","72","image-keyboard-response","12","105542","0.0-9.0-1.1","kyes5o","Tue Feb 16 2021 08:20:55 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","8","20","55","mo51","51","female","right","50","37","50","1","10","","","","","test","fear","happy","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","107561","0.0-9.0-0.2","kyes5o","Tue Feb 16 2021 08:20:55 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","8","20","55","mo51","51","female","right","50","37","50","1","10","","","","","fixation","","","",""
"1571.315000008326","img/image_stim_h_stroop.png","70","image-keyboard-response","14","109136","0.0-9.0-1.2","kyes5o","Tue Feb 16 2021 08:20:55 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","8","20","55","mo51","51","female","right","50","37","50","1","10","","","","","test","happy","fear","h","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","109401","0.0-9.0-0.3","kyes5o","Tue Feb 16 2021 08:20:55 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","8","20","55","mo51","51","female","right","50","37","50","1","10","","","","","fixation","","","",""
"2561.2100000143982","img/image_stim_h.png","72","image-keyboard-response","16","111966","0.0-9.0-1.3","kyes5o","Tue Feb 16 2021 08:20:55 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","8","20","55","mo51","51","female","right","50","37","50","1","10","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","113487","0.0-9.0-0.4","kyes5o","Tue Feb 16 2021 08:20:55 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","8","20","55","mo51","51","female","right","50","37","50","1","10","","","","","fixation","","","",""
"1697.649999987334","img/image_stim_f.png","70","image-keyboard-response","18","115188","0.0-9.0-1.4","kyes5o","Tue Feb 16 2021 08:20:55 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","8","20","55","mo51","51","female","right","50","37","50","1","10","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","116693","0.0-9.0-0.5","kyes5o","Tue Feb 16 2021 08:20:55 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","8","20","55","mo51","51","female","right","50","37","50","1","10","","","","","fixation","","","",""
"1596.480000007432","img/image_stim_h_stroop.png","72","image-keyboard-response","20","118294","0.0-9.0-1.5","kyes5o","Tue Feb 16 2021 08:20:55 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","8","20","55","mo51","51","female","right","50","37","50","1","10","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","118813","0.0-9.0-0.6","kyes5o","Tue Feb 16 2021 08:20:55 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","8","20","55","mo51","51","female","right","50","37","50","1","10","","","","","fixation","","","",""
"1437.8499999875203","img/image_stim_f_stroop.png","70","image-keyboard-response","22","120254","0.0-9.0-1.6","kyes5o","Tue Feb 16 2021 08:20:55 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","8","20","55","mo51","51","female","right","50","37","50","1","10","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","121516","0.0-9.0-0.7","kyes5o","Tue Feb 16 2021 08:20:55 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","8","20","55","mo51","51","female","right","50","37","50","1","10","","","","","fixation","","","",""
"1343.315000005532","img/image_stim_h.png","72","image-keyboard-response","24","122862","0.0-9.0-1.7","kyes5o","Tue Feb 16 2021 08:20:55 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","8","20","55","mo51","51","female","right","50","37","50","1","10","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","123124","0.0-9.0-0.8","kyes5o","Tue Feb 16 2021 08:20:55 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","8","20","55","mo51","51","female","right","50","37","50","1","10","","","","","fixation","","","",""
"1375.3700000233948","img/image_stim_h_stroop.png","72","image-keyboard-response","26","124503","0.0-9.0-1.8","kyes5o","Tue Feb 16 2021 08:20:55 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","8","20","55","mo51","51","female","right","50","37","50","1","10","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","125261","0.0-9.0-0.9","kyes5o","Tue Feb 16 2021 08:20:55 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","8","20","55","mo51","51","female","right","50","37","50","1","10","","","","","fixation","","","",""
"837.2600000002421","img/image_stim_f.png","70","image-keyboard-response","28","126102","0.0-9.0-1.9","kyes5o","Tue Feb 16 2021 08:20:55 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","8","20","55","mo51","51","female","right","50","37","50","1","10","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","29","127609","0.0-9.0-0.10","kyes5o","Tue Feb 16 2021 08:20:55 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","8","20","55","mo51","51","female","right","50","37","50","1","10","","","","","fixation","","","",""
"753.8800000329502","img/image_stim_h.png","72","image-keyboard-response","30","128367","0.0-9.0-1.10","kyes5o","Tue Feb 16 2021 08:20:55 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","8","20","55","mo51","51","female","right","50","37","50","1","10","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","31","129885","0.0-9.0-0.11","kyes5o","Tue Feb 16 2021 08:20:55 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","8","20","55","mo51","51","female","right","50","37","50","1","10","","","","","fixation","","","",""
