"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"28163","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","28167","0.0-0.0","9epbp6","Wed Feb 17 2021 13:50:07 GMT+0100 (CET)","2021","2","17","13","50","7","ms72","21","female","right","50","20","10","8","7","","","","","","","","",""
"111777","","","survey-text","1","139966","0.0-1.0","9epbp6","Wed Feb 17 2021 13:50:07 GMT+0100 (CET)","2021","2","17","13","50","7","ms72","21","female","right","50","20","10","8","7","{""Q0"":""ms72""}","","","","","","","",""
"3834","","","survey-text","2","143806","0.0-2.0","9epbp6","Wed Feb 17 2021 13:50:07 GMT+0100 (CET)","2021","2","17","13","50","7","ms72","21","female","right","50","20","10","8","7","{""Q0"":""21""}","","","","","","","",""
"6003.999999999971","","","survey-multi-select","3","149813","0.0-3.0","9epbp6","Wed Feb 17 2021 13:50:07 GMT+0100 (CET)","2021","2","17","13","50","7","ms72","21","female","right","50","20","10","8","7","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"11321.99999999997","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","161137","0.0-4.0","9epbp6","Wed Feb 17 2021 13:50:07 GMT+0100 (CET)","2021","2","17","13","50","7","ms72","21","female","right","50","20","10","8","7","","","50","50","","","","",""
"6823","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","167961","0.0-5.0","9epbp6","Wed Feb 17 2021 13:50:07 GMT+0100 (CET)","2021","2","17","13","50","7","ms72","21","female","right","50","20","10","8","7","","","50","20","","","","",""
"7082","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","175044","0.0-6.0","9epbp6","Wed Feb 17 2021 13:50:07 GMT+0100 (CET)","2021","2","17","13","50","7","ms72","21","female","right","50","20","10","8","7","","","50","10","","","","",""
"31420.00000000003","","","survey-multi-select","7","206476","0.0-7.0","9epbp6","Wed Feb 17 2021 13:50:07 GMT+0100 (CET)","2021","2","17","13","50","7","ms72","21","female","right","50","20","10","8","7","{""Sleep"":[""8""],""Eat"":[""7""]}","[0,1]","","","","","","",""
"26019","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","232498","0.0-8.0","9epbp6","Wed Feb 17 2021 13:50:07 GMT+0100 (CET)","2021","2","17","13","50","7","ms72","21","female","right","50","20","10","8","7","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","236250","0.0-9.0-0.0","9epbp6","Wed Feb 17 2021 13:50:07 GMT+0100 (CET)","2021","2","17","13","50","7","ms72","21","female","right","50","20","10","8","7","","","","","fixation","","","",""
"2244","img/image_stim_h_stroop.png","70","image-keyboard-response","10","238508","0.0-9.0-1.0","9epbp6","Wed Feb 17 2021 13:50:07 GMT+0100 (CET)","2021","2","17","13","50","7","ms72","21","female","right","50","20","10","8","7","","","","","test","happy","fear","h","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","239264","0.0-9.0-0.1","9epbp6","Wed Feb 17 2021 13:50:07 GMT+0100 (CET)","2021","2","17","13","50","7","ms72","21","female","right","50","20","10","8","7","","","","","fixation","","","",""
"1589","img/image_stim_h.png","70","image-keyboard-response","12","240856","0.0-9.0-1.1","9epbp6","Wed Feb 17 2021 13:50:07 GMT+0100 (CET)","2021","2","17","13","50","7","ms72","21","female","right","50","20","10","8","7","","","","","test","happy","happy","h","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","242358","0.0-9.0-0.2","9epbp6","Wed Feb 17 2021 13:50:07 GMT+0100 (CET)","2021","2","17","13","50","7","ms72","21","female","right","50","20","10","8","7","","","","","fixation","","","",""
"1291","img/image_stim_f.png","70","image-keyboard-response","14","243652","0.0-9.0-1.2","9epbp6","Wed Feb 17 2021 13:50:07 GMT+0100 (CET)","2021","2","17","13","50","7","ms72","21","female","right","50","20","10","8","7","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","245404","0.0-9.0-0.3","9epbp6","Wed Feb 17 2021 13:50:07 GMT+0100 (CET)","2021","2","17","13","50","7","ms72","21","female","right","50","20","10","8","7","","","","","fixation","","","",""
