"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"3249.484999978449","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","3250","0.0-0.0","2b28rt","Sun Feb 07 2021 12:51:06 GMT+0100 (Central European Standard Time)","2021","2","7","12","51","6","mw73","47","male","right","70","59","69","4","1","","","","","","","","",""
"4703.169999993406","","","survey-text","1","7955","0.0-1.0","2b28rt","Sun Feb 07 2021 12:51:06 GMT+0100 (Central European Standard Time)","2021","2","7","12","51","6","mw73","47","male","right","70","59","69","4","1","{""Q0"":""mw73""}","","","","","","","",""
"2781.810000014957","","","survey-text","2","10739","0.0-2.0","2b28rt","Sun Feb 07 2021 12:51:06 GMT+0100 (Central European Standard Time)","2021","2","7","12","51","6","mw73","47","male","right","70","59","69","4","1","{""Q0"":""47""}","","","","","","","",""
"3317.179999954533","","","survey-multi-select","3","14059","0.0-3.0","2b28rt","Sun Feb 07 2021 12:51:06 GMT+0100 (Central European Standard Time)","2021","2","7","12","51","6","mw73","47","male","right","70","59","69","4","1","{""Gender"":[""male""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"4498.504999966826","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","18559","0.0-4.0","2b28rt","Sun Feb 07 2021 12:51:06 GMT+0100 (Central European Standard Time)","2021","2","7","12","51","6","mw73","47","male","right","70","59","69","4","1","","","50","70","","","","",""
"3342.75999997044","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","21903","0.0-5.0","2b28rt","Sun Feb 07 2021 12:51:06 GMT+0100 (Central European Standard Time)","2021","2","7","12","51","6","mw73","47","male","right","70","59","69","4","1","","","50","59","","","","",""
"3124.520000012126","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","25028","0.0-6.0","2b28rt","Sun Feb 07 2021 12:51:06 GMT+0100 (Central European Standard Time)","2021","2","7","12","51","6","mw73","47","male","right","70","59","69","4","1","","","50","69","","","","",""
"8750.51500002155","","","survey-multi-select","7","33792","0.0-7.0","2b28rt","Sun Feb 07 2021 12:51:06 GMT+0100 (Central European Standard Time)","2021","2","7","12","51","6","mw73","47","male","right","70","59","69","4","1","{""Sleep"":[""4""],""Eat"":[""1""]}","[0,1]","","","","","","",""
"2798.2199999969453","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","36591","0.0-8.0","2b28rt","Sun Feb 07 2021 12:51:06 GMT+0100 (Central European Standard Time)","2021","2","7","12","51","6","mw73","47","male","right","70","59","69","4","1","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","39848","0.0-9.0-0.0","2b28rt","Sun Feb 07 2021 12:51:06 GMT+0100 (Central European Standard Time)","2021","2","7","12","51","6","mw73","47","male","right","70","59","69","4","1","","","","","fixation","","","",""
