"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"5508","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","5510","0.0-0.0","3odt0h","Thu Feb 10 2022 00:12:41 GMT+0100 (CET)","2022","2","10","0","12","41","mw73","48","male","right","78","75","76","15","1","","","","","","","","",""
"6911.000000000002","","","survey-text","1","12448","0.0-1.0","3odt0h","Thu Feb 10 2022 00:12:41 GMT+0100 (CET)","2022","2","10","0","12","41","mw73","48","male","right","78","75","76","15","1","{""Q0"":""mw73""}","","","","","","","",""
"4801.000000000004","","","survey-text","2","17254","0.0-2.0","3odt0h","Thu Feb 10 2022 00:12:41 GMT+0100 (CET)","2022","2","10","0","12","41","mw73","48","male","right","78","75","76","15","1","{""Q0"":""48""}","","","","","","","",""
"6373.000000000004","","","survey-multi-select","3","23629","0.0-3.0","3odt0h","Thu Feb 10 2022 00:12:41 GMT+0100 (CET)","2022","2","10","0","12","41","mw73","48","male","right","78","75","76","15","1","{""Gender"":[""male""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"4675","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","28305","0.0-4.0","3odt0h","Thu Feb 10 2022 00:12:41 GMT+0100 (CET)","2022","2","10","0","12","41","mw73","48","male","right","78","75","76","15","1","","","50","78","","","","",""
"6034","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","34339","0.0-5.0","3odt0h","Thu Feb 10 2022 00:12:41 GMT+0100 (CET)","2022","2","10","0","12","41","mw73","48","male","right","78","75","76","15","1","","","50","75","","","","",""
"8359","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","42698","0.0-6.0","3odt0h","Thu Feb 10 2022 00:12:41 GMT+0100 (CET)","2022","2","10","0","12","41","mw73","48","male","right","78","75","76","15","1","","","50","76","","","","",""
"57784.000000000015","","","survey-multi-select","7","100492","0.0-7.0","3odt0h","Thu Feb 10 2022 00:12:41 GMT+0100 (CET)","2022","2","10","0","12","41","mw73","48","male","right","78","75","76","15","1","{""Sleep"":[""15""],""Eat"":[""1""]}","[0,1]","","","","","","",""
"17236","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","117729","0.0-8.0","3odt0h","Thu Feb 10 2022 00:12:41 GMT+0100 (CET)","2022","2","10","0","12","41","mw73","48","male","right","78","75","76","15","1","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","120231","0.0-9.0-0.0","3odt0h","Thu Feb 10 2022 00:12:41 GMT+0100 (CET)","2022","2","10","0","12","41","mw73","48","male","right","78","75","76","15","1","","","","","fixation","","","",""
"882.0000000000146","img/image_stim_f.png","70","image-keyboard-response","10","121117","0.0-9.0-1.0","3odt0h","Thu Feb 10 2022 00:12:41 GMT+0100 (CET)","2022","2","10","0","12","41","mw73","48","male","right","78","75","76","15","1","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","123120","0.0-9.0-0.1","3odt0h","Thu Feb 10 2022 00:12:41 GMT+0100 (CET)","2022","2","10","0","12","41","mw73","48","male","right","78","75","76","15","1","","","","","fixation","","","",""
"649","img/image_stim_h_stroop.png","72","image-keyboard-response","12","123773","0.0-9.0-1.1","3odt0h","Thu Feb 10 2022 00:12:41 GMT+0100 (CET)","2022","2","10","0","12","41","mw73","48","male","right","78","75","76","15","1","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","125526","0.0-9.0-0.2","3odt0h","Thu Feb 10 2022 00:12:41 GMT+0100 (CET)","2022","2","10","0","12","41","mw73","48","male","right","78","75","76","15","1","","","","","fixation","","","",""
"685","img/image_stim_h.png","72","image-keyboard-response","14","126216","0.0-9.0-1.2","3odt0h","Thu Feb 10 2022 00:12:41 GMT+0100 (CET)","2022","2","10","0","12","41","mw73","48","male","right","78","75","76","15","1","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","126719","0.0-9.0-0.3","3odt0h","Thu Feb 10 2022 00:12:41 GMT+0100 (CET)","2022","2","10","0","12","41","mw73","48","male","right","78","75","76","15","1","","","","","fixation","","","",""
"854.9999999999854","img/image_stim_f_stroop.png","70","image-keyboard-response","16","127579","0.0-9.0-1.3","3odt0h","Thu Feb 10 2022 00:12:41 GMT+0100 (CET)","2022","2","10","0","12","41","mw73","48","male","right","78","75","76","15","1","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","128831","0.0-9.0-0.4","3odt0h","Thu Feb 10 2022 00:12:41 GMT+0100 (CET)","2022","2","10","0","12","41","mw73","48","male","right","78","75","76","15","1","","","","","fixation","","","",""
"738.9999999999854","img/image_stim_f_stroop.png","70","image-keyboard-response","18","129571","0.0-9.0-1.4","3odt0h","Thu Feb 10 2022 00:12:41 GMT+0100 (CET)","2022","2","10","0","12","41","mw73","48","male","right","78","75","76","15","1","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","130324","0.0-9.0-0.5","3odt0h","Thu Feb 10 2022 00:12:41 GMT+0100 (CET)","2022","2","10","0","12","41","mw73","48","male","right","78","75","76","15","1","","","","","fixation","","","",""
"697","img/image_stim_h_stroop.png","72","image-keyboard-response","20","131021","0.0-9.0-1.5","3odt0h","Thu Feb 10 2022 00:12:41 GMT+0100 (CET)","2022","2","10","0","12","41","mw73","48","male","right","78","75","76","15","1","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","132024","0.0-9.0-0.6","3odt0h","Thu Feb 10 2022 00:12:41 GMT+0100 (CET)","2022","2","10","0","12","41","mw73","48","male","right","78","75","76","15","1","","","","","fixation","","","",""
"684","img/image_stim_f.png","70","image-keyboard-response","22","132708","0.0-9.0-1.6","3odt0h","Thu Feb 10 2022 00:12:41 GMT+0100 (CET)","2022","2","10","0","12","41","mw73","48","male","right","78","75","76","15","1","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","134211","0.0-9.0-0.7","3odt0h","Thu Feb 10 2022 00:12:41 GMT+0100 (CET)","2022","2","10","0","12","41","mw73","48","male","right","78","75","76","15","1","","","","","fixation","","","",""
