"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"28340","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","28343","0.0-0.0","6023qy","Fri Feb 11 2022 12:35:52 GMT+0100 (CET)","2022","2","11","12","35","52","mw73","48","male","right","83","91","5","6","5","","","","","","","","",""
"7153.999999999996","","","survey-text","1","35537","0.0-1.0","6023qy","Fri Feb 11 2022 12:35:52 GMT+0100 (CET)","2022","2","11","12","35","52","mw73","48","male","right","83","91","5","6","5","{""Q0"":""mw73""}","","","","","","","",""
"4002","","","survey-text","2","39545","0.0-2.0","6023qy","Fri Feb 11 2022 12:35:52 GMT+0100 (CET)","2022","2","11","12","35","52","mw73","48","male","right","83","91","5","6","5","{""Q0"":""48""}","","","","","","","",""
"4246","","","survey-multi-select","3","43793","0.0-3.0","6023qy","Fri Feb 11 2022 12:35:52 GMT+0100 (CET)","2022","2","11","12","35","52","mw73","48","male","right","83","91","5","6","5","{""Gender"":[""male""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"15625","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","59425","0.0-4.0","6023qy","Fri Feb 11 2022 12:35:52 GMT+0100 (CET)","2022","2","11","12","35","52","mw73","48","male","right","83","91","5","6","5","","","50","83","","","","",""
"5205","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","64631","0.0-5.0","6023qy","Fri Feb 11 2022 12:35:52 GMT+0100 (CET)","2022","2","11","12","35","52","mw73","48","male","right","83","91","5","6","5","","","50","91","","","","",""
"5034.999999999993","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","69668","0.0-6.0","6023qy","Fri Feb 11 2022 12:35:52 GMT+0100 (CET)","2022","2","11","12","35","52","mw73","48","male","right","83","91","5","6","5","","","50","5","","","","",""
"45859","","","survey-multi-select","7","115538","0.0-7.0","6023qy","Fri Feb 11 2022 12:35:52 GMT+0100 (CET)","2022","2","11","12","35","52","mw73","48","male","right","83","91","5","6","5","{""Sleep"":[""6""],""Eat"":[""5""]}","[0,1]","","","","","","",""
"29785","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","145326","0.0-8.0","6023qy","Fri Feb 11 2022 12:35:52 GMT+0100 (CET)","2022","2","11","12","35","52","mw73","48","male","right","83","91","5","6","5","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","149078","0.0-9.0-0.0","6023qy","Fri Feb 11 2022 12:35:52 GMT+0100 (CET)","2022","2","11","12","35","52","mw73","48","male","right","83","91","5","6","5","","","","","fixation","","","",""
"701","img/image_stim_h_stroop.png","72","image-keyboard-response","10","149782","0.0-9.0-1.0","6023qy","Fri Feb 11 2022 12:35:52 GMT+0100 (CET)","2022","2","11","12","35","52","mw73","48","male","right","83","91","5","6","5","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","150035","0.0-9.0-0.1","6023qy","Fri Feb 11 2022 12:35:52 GMT+0100 (CET)","2022","2","11","12","35","52","mw73","48","male","right","83","91","5","6","5","","","","","fixation","","","",""
"646","img/image_stim_f_stroop.png","70","image-keyboard-response","12","150685","0.0-9.0-1.1","6023qy","Fri Feb 11 2022 12:35:52 GMT+0100 (CET)","2022","2","11","12","35","52","mw73","48","male","right","83","91","5","6","5","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","152187","0.0-9.0-0.2","6023qy","Fri Feb 11 2022 12:35:52 GMT+0100 (CET)","2022","2","11","12","35","52","mw73","48","male","right","83","91","5","6","5","","","","","fixation","","","",""
"850.0000000000291","img/image_stim_f.png","70","image-keyboard-response","14","153042","0.0-9.0-1.2","6023qy","Fri Feb 11 2022 12:35:52 GMT+0100 (CET)","2022","2","11","12","35","52","mw73","48","male","right","83","91","5","6","5","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","153794","0.0-9.0-0.3","6023qy","Fri Feb 11 2022 12:35:52 GMT+0100 (CET)","2022","2","11","12","35","52","mw73","48","male","right","83","91","5","6","5","","","","","fixation","","","",""
"783.9999999999709","img/image_stim_h.png","72","image-keyboard-response","16","154581","0.0-9.0-1.3","6023qy","Fri Feb 11 2022 12:35:52 GMT+0100 (CET)","2022","2","11","12","35","52","mw73","48","male","right","83","91","5","6","5","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","155585","0.0-9.0-0.4","6023qy","Fri Feb 11 2022 12:35:52 GMT+0100 (CET)","2022","2","11","12","35","52","mw73","48","male","right","83","91","5","6","5","","","","","fixation","","","",""
"660","img/image_stim_f.png","70","image-keyboard-response","18","156246","0.0-9.0-1.4","6023qy","Fri Feb 11 2022 12:35:52 GMT+0100 (CET)","2022","2","11","12","35","52","mw73","48","male","right","83","91","5","6","5","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","157498","0.0-9.0-0.5","6023qy","Fri Feb 11 2022 12:35:52 GMT+0100 (CET)","2022","2","11","12","35","52","mw73","48","male","right","83","91","5","6","5","","","","","fixation","","","",""
"771","img/image_stim_h.png","72","image-keyboard-response","20","158269","0.0-9.0-1.5","6023qy","Fri Feb 11 2022 12:35:52 GMT+0100 (CET)","2022","2","11","12","35","52","mw73","48","male","right","83","91","5","6","5","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","158772","0.0-9.0-0.6","6023qy","Fri Feb 11 2022 12:35:52 GMT+0100 (CET)","2022","2","11","12","35","52","mw73","48","male","right","83","91","5","6","5","","","","","fixation","","","",""
"792","img/image_stim_h_stroop.png","72","image-keyboard-response","22","159564","0.0-9.0-1.6","6023qy","Fri Feb 11 2022 12:35:52 GMT+0100 (CET)","2022","2","11","12","35","52","mw73","48","male","right","83","91","5","6","5","","","","","test","happy","fear","h","true"
