"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"4097298","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","4097259","0.0-0.0","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","","","","","","","","",""
"5968","","","survey-text","1","4103242","0.0-1.0","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","{""Q0"":""mw73""}","","","","","","","",""
"16579.999999999534","","","survey-text","2","4119826","0.0-2.0","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","{""Q0"":""48""}","","","","","","","",""
"5111.000000000931","","","survey-multi-select","3","4124939","0.0-3.0","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","{""Gender"":[""male""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"8143","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","4133083","0.0-4.0","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","","","50","74","","","","",""
"7819.000000000466","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","4140903","0.0-5.0","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","","","50","84","","","","",""
"6310.000000000466","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","4147214","0.0-6.0","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","","","50","61","","","","",""
"17516.999999999534","","","survey-multi-select","7","4164742","0.0-7.0","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","{""Sleep"":[""3""],""Eat"":[""2""]}","[0,1]","","","","","","",""
"36404.000000000466","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","4201147","0.0-8.0","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","4203401","0.0-9.0-0.0","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","","","","","fixation","","","",""
"1768","img/image_stim_f_stroop.png","70","image-keyboard-response","10","4205174","0.0-9.0-1.0","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","4206178","0.0-9.0-0.1","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","","","","","fixation","","","",""
"864","img/image_stim_f.png","70","image-keyboard-response","12","4207047","0.0-9.0-1.1","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","4208800","0.0-9.0-0.2","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","","","","","fixation","","","",""
"639","img/image_stim_h_stroop.png","72","image-keyboard-response","14","4209443","0.0-9.0-1.2","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","4210696","0.0-9.0-0.3","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","","","","","fixation","","","",""
"715","img/image_stim_h.png","72","image-keyboard-response","16","4211415","0.0-9.0-1.3","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","4212167","0.0-9.0-0.4","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","","","","","fixation","","","",""
"692","img/image_stim_h.png","72","image-keyboard-response","18","4212861","0.0-9.0-1.4","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","4213114","0.0-9.0-0.5","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","","","","","fixation","","","",""
"584","img/image_stim_h_stroop.png","72","image-keyboard-response","20","4213699","0.0-9.0-1.5","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","4214452","0.0-9.0-0.6","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","","","","","fixation","","","",""
"628","img/image_stim_f.png","70","image-keyboard-response","22","4215081","0.0-9.0-1.6","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","4215833","0.0-9.0-0.7","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","","","","","fixation","","","",""
"519","img/image_stim_f_stroop.png","70","image-keyboard-response","24","4216354","0.0-9.0-1.7","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","4218107","0.0-9.0-0.8","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","","","","","fixation","","","",""
"657.0000000009313","img/image_stim_f.png","70","image-keyboard-response","26","4218765","0.0-9.0-1.8","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","4219518","0.0-9.0-0.9","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","","","","","fixation","","","",""
"802","img/image_stim_h.png","72","image-keyboard-response","28","4220321","0.0-9.0-1.9","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","29","4220573","0.0-9.0-0.10","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","","","","","fixation","","","",""
"793","img/image_stim_h_stroop.png","72","image-keyboard-response","30","4221366","0.0-9.0-1.10","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","31","4222370","0.0-9.0-0.11","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","","","","","fixation","","","",""
"1124","img/image_stim_f_stroop.png","70","image-keyboard-response","32","4223494","0.0-9.0-1.11","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","33","4225248","0.0-9.0-0.12","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","","","","","fixation","","","",""
"884","img/image_stim_h.png","72","image-keyboard-response","34","4226132","0.0-9.0-1.12","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","35","4227886","0.0-9.0-0.13","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","","","","","fixation","","","",""
"700","img/image_stim_h_stroop.png","72","image-keyboard-response","36","4228586","0.0-9.0-1.13","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","37","4229339","0.0-9.0-0.14","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","","","","","fixation","","","",""
"778","img/image_stim_f_stroop.png","70","image-keyboard-response","38","4230117","0.0-9.0-1.14","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","39","4231621","0.0-9.0-0.15","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","","","","","fixation","","","",""
"1027.9999999990687","img/image_stim_f.png","70","image-keyboard-response","40","4232649","0.0-9.0-1.15","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","41","4233403","0.0-9.0-0.16","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","","","","","fixation","","","",""
"749","img/image_stim_h_stroop.png","72","image-keyboard-response","42","4234153","0.0-9.0-1.16","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","43","4235406","0.0-9.0-0.17","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","","","","","fixation","","","",""
"1011","img/image_stim_f.png","70","image-keyboard-response","44","4236418","0.0-9.0-1.17","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","45","4236672","0.0-9.0-0.18","6qb78h","Wed Feb 09 2022 09:59:14 GMT+0100 (CET)","2022","2","9","9","59","14","mw73","48","male","right","74","84","61","3","2","","","","","fixation","","","",""
