"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"2052.8599999961443","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","2054","0.0-0.0","lpqavz","Tue Feb 09 2021 01:35:53 GMT+0100 (Central European Standard Time)","2021","2","9","1","35","53","mw73","47","male","right","69","16","56","19","4","","","","","","","","",""
"5887.635000050068","","","survey-text","1","7944","0.0-1.0","lpqavz","Tue Feb 09 2021 01:35:53 GMT+0100 (Central European Standard Time)","2021","2","9","1","35","53","mw73","47","male","right","69","16","56","19","4","{""Q0"":""mw73""}","","","","","","","",""
"3055.1400000113063","","","survey-text","2","11000","0.0-2.0","lpqavz","Tue Feb 09 2021 01:35:53 GMT+0100 (Central European Standard Time)","2021","2","9","1","35","53","mw73","47","male","right","69","16","56","19","4","{""Q0"":""47""}","","","","","","","",""
"3314.5800000056624","","","survey-multi-select","3","14318","0.0-3.0","lpqavz","Tue Feb 09 2021 01:35:53 GMT+0100 (Central European Standard Time)","2021","2","9","1","35","53","mw73","47","male","right","69","16","56","19","4","{""Gender"":[""male""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"4270.550000015646","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","18590","0.0-4.0","lpqavz","Tue Feb 09 2021 01:35:53 GMT+0100 (Central European Standard Time)","2021","2","9","1","35","53","mw73","47","male","right","69","16","56","19","4","","","50","69","","","","",""
"4346.499999985099","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","22937","0.0-5.0","lpqavz","Tue Feb 09 2021 01:35:53 GMT+0100 (Central European Standard Time)","2021","2","9","1","35","53","mw73","47","male","right","69","16","56","19","4","","","50","16","","","","",""
"4720.499999995809","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","27658","0.0-6.0","lpqavz","Tue Feb 09 2021 01:35:53 GMT+0100 (Central European Standard Time)","2021","2","9","1","35","53","mw73","47","male","right","69","16","56","19","4","","","50","56","","","","",""
"12319.075000006706","","","survey-multi-select","7","39990","0.0-7.0","lpqavz","Tue Feb 09 2021 01:35:53 GMT+0100 (Central European Standard Time)","2021","2","9","1","35","53","mw73","47","male","right","69","16","56","19","4","{""Sleep"":[""19""],""Eat"":[""4""]}","[0,1]","","","","","","",""
"1987.4050000216812","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","41979","0.0-8.0","lpqavz","Tue Feb 09 2021 01:35:53 GMT+0100 (Central European Standard Time)","2021","2","9","1","35","53","mw73","47","male","right","69","16","56","19","4","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","45987","0.0-9.0-0.0","lpqavz","Tue Feb 09 2021 01:35:53 GMT+0100 (Central European Standard Time)","2021","2","9","1","35","53","mw73","47","male","right","69","16","56","19","4","","","","","fixation","","","",""
