"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"5691","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","5693","0.0-0.0","mqt038","Wed Feb 16 2022 21:21:13 GMT+0100 (CET)","2022","2","16","21","21","13","mw73","48","male","right","81","76","70","14","2","","","","","","","","",""
"5443.999999999999","","","survey-text","1","11162","0.0-1.0","mqt038","Wed Feb 16 2022 21:21:13 GMT+0100 (CET)","2022","2","16","21","21","13","mw73","48","male","right","81","76","70","14","2","{""Q0"":""mw73""}","","","","","","","",""
"3472","","","survey-text","2","14638","0.0-2.0","mqt038","Wed Feb 16 2022 21:21:13 GMT+0100 (CET)","2022","2","16","21","21","13","mw73","48","male","right","81","76","70","14","2","{""Q0"":""48""}","","","","","","","",""
"4741","","","survey-multi-select","3","19381","0.0-3.0","mqt038","Wed Feb 16 2022 21:21:13 GMT+0100 (CET)","2022","2","16","21","21","13","mw73","48","male","right","81","76","70","14","2","{""Gender"":[""male""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"6087","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","25471","0.0-4.0","mqt038","Wed Feb 16 2022 21:21:13 GMT+0100 (CET)","2022","2","16","21","21","13","mw73","48","male","right","81","76","70","14","2","","","50","81","","","","",""
"5223","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","30694","0.0-5.0","mqt038","Wed Feb 16 2022 21:21:13 GMT+0100 (CET)","2022","2","16","21","21","13","mw73","48","male","right","81","76","70","14","2","","","50","76","","","","",""
"5934","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","36629","0.0-6.0","mqt038","Wed Feb 16 2022 21:21:13 GMT+0100 (CET)","2022","2","16","21","21","13","mw73","48","male","right","81","76","70","14","2","","","50","70","","","","",""
"60329.000000000015","","","survey-multi-select","7","96967","0.0-7.0","mqt038","Wed Feb 16 2022 21:21:13 GMT+0100 (CET)","2022","2","16","21","21","13","mw73","48","male","right","81","76","70","14","2","{""Sleep"":[""14""],""Eat"":[""2""]}","[0,1]","","","","","","",""
"14107","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","111075","0.0-8.0","mqt038","Wed Feb 16 2022 21:21:13 GMT+0100 (CET)","2022","2","16","21","21","13","mw73","48","male","right","81","76","70","14","2","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","113577","0.0-9.0-0.0","mqt038","Wed Feb 16 2022 21:21:13 GMT+0100 (CET)","2022","2","16","21","21","13","mw73","48","male","right","81","76","70","14","2","","","","","fixation","","","",""
"771.9999999999854","img/image_stim_h.png","72","image-keyboard-response","10","114355","0.0-9.0-1.0","mqt038","Wed Feb 16 2022 21:21:13 GMT+0100 (CET)","2022","2","16","21","21","13","mw73","48","male","right","81","76","70","14","2","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","115359","0.0-9.0-0.1","mqt038","Wed Feb 16 2022 21:21:13 GMT+0100 (CET)","2022","2","16","21","21","13","mw73","48","male","right","81","76","70","14","2","","","","","fixation","","","",""
