"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"3414","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","3416","0.0-0.0","mu2rx4","Wed Feb 16 2022 08:34:43 GMT+0100 (CET)","2022","2","16","8","34","43","mw73","48","male","right","50","90","93","1","0","","","","","","","","",""
"6576","","","survey-text","1","10026","0.0-1.0","mu2rx4","Wed Feb 16 2022 08:34:43 GMT+0100 (CET)","2022","2","16","8","34","43","mw73","48","male","right","50","90","93","1","0","{""Q0"":""mw73""}","","","","","","","",""
"122908","","","survey-text","2","132943","0.0-2.0","mu2rx4","Wed Feb 16 2022 08:34:43 GMT+0100 (CET)","2022","2","16","8","34","43","mw73","48","male","right","50","90","93","1","0","{""Q0"":""48""}","","","","","","","",""
"4899","","","survey-multi-select","3","137847","0.0-3.0","mu2rx4","Wed Feb 16 2022 08:34:43 GMT+0100 (CET)","2022","2","16","8","34","43","mw73","48","male","right","50","90","93","1","0","{""Gender"":[""male""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"9317.00000000003","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","147167","0.0-4.0","mu2rx4","Wed Feb 16 2022 08:34:43 GMT+0100 (CET)","2022","2","16","8","34","43","mw73","48","male","right","50","90","93","1","0","","","50","50","","","","",""
"5342","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","152509","0.0-5.0","mu2rx4","Wed Feb 16 2022 08:34:43 GMT+0100 (CET)","2022","2","16","8","34","43","mw73","48","male","right","50","90","93","1","0","","","50","90","","","","",""
"6126","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","158635","0.0-6.0","mu2rx4","Wed Feb 16 2022 08:34:43 GMT+0100 (CET)","2022","2","16","8","34","43","mw73","48","male","right","50","90","93","1","0","","","50","93","","","","",""
"16777","","","survey-multi-select","7","175423","0.0-7.0","mu2rx4","Wed Feb 16 2022 08:34:43 GMT+0100 (CET)","2022","2","16","8","34","43","mw73","48","male","right","50","90","93","1","0","{""Sleep"":[""1""],""Eat"":[""0""]}","[0,1]","","","","","","",""
"7734","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","183158","0.0-8.0","mu2rx4","Wed Feb 16 2022 08:34:43 GMT+0100 (CET)","2022","2","16","8","34","43","mw73","48","male","right","50","90","93","1","0","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","186910","0.0-9.0-0.0","mu2rx4","Wed Feb 16 2022 08:34:43 GMT+0100 (CET)","2022","2","16","8","34","43","mw73","48","male","right","50","90","93","1","0","","","","","fixation","","","",""
"843","img/image_stim_f.png","70","image-keyboard-response","10","187759","0.0-9.0-1.0","mu2rx4","Wed Feb 16 2022 08:34:43 GMT+0100 (CET)","2022","2","16","8","34","43","mw73","48","male","right","50","90","93","1","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","188763","0.0-9.0-0.1","mu2rx4","Wed Feb 16 2022 08:34:43 GMT+0100 (CET)","2022","2","16","8","34","43","mw73","48","male","right","50","90","93","1","0","","","","","fixation","","","",""
"738","img/image_stim_f_stroop.png","70","image-keyboard-response","12","189505","0.0-9.0-1.1","mu2rx4","Wed Feb 16 2022 08:34:43 GMT+0100 (CET)","2022","2","16","8","34","43","mw73","48","male","right","50","90","93","1","0","","","","","test","fear","happy","f","true"
