"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"5798.310000041965","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","5800","0.0-0.0","tu178m","Tue Feb 09 2021 02:32:44 GMT+0100 (Central European Standard Time)","2021","2","9","2","32","44","mw73","47","male","right","68","15","56","20","5","","","","","","","","",""
"6712.669999978971","","","survey-text","1","12517","0.0-1.0","tu178m","Tue Feb 09 2021 02:32:44 GMT+0100 (Central European Standard Time)","2021","2","9","2","32","44","mw73","47","male","right","68","15","56","20","5","{""Q0"":""mw73""}","","","","","","","",""
"3181.6450000042096","","","survey-text","2","15701","0.0-2.0","tu178m","Tue Feb 09 2021 02:32:44 GMT+0100 (Central European Standard Time)","2021","2","9","2","32","44","mw73","47","male","right","68","15","56","20","5","{""Q0"":""47""}","","","","","","","",""
"5329.529999988154","","","survey-multi-select","3","21033","0.0-3.0","tu178m","Tue Feb 09 2021 02:32:44 GMT+0100 (Central European Standard Time)","2021","2","9","2","32","44","mw73","47","male","right","68","15","56","20","5","{""Gender"":[""male""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"4831.01500000339","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","25866","0.0-4.0","tu178m","Tue Feb 09 2021 02:32:44 GMT+0100 (Central European Standard Time)","2021","2","9","2","32","44","mw73","47","male","right","68","15","56","20","5","","","50","68","","","","",""
"3422.5250000017695","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","29290","0.0-5.0","tu178m","Tue Feb 09 2021 02:32:44 GMT+0100 (Central European Standard Time)","2021","2","9","2","32","44","mw73","47","male","right","68","15","56","20","5","","","50","15","","","","",""
"3287.92999999132","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","32579","0.0-6.0","tu178m","Tue Feb 09 2021 02:32:44 GMT+0100 (Central European Standard Time)","2021","2","9","2","32","44","mw73","47","male","right","68","15","56","20","5","","","50","56","","","","",""
"7680.19500002265","","","survey-multi-select","7","40272","0.0-7.0","tu178m","Tue Feb 09 2021 02:32:44 GMT+0100 (Central European Standard Time)","2021","2","9","2","32","44","mw73","47","male","right","68","15","56","20","5","{""Sleep"":[""20""],""Eat"":[""5""]}","[0,1]","","","","","","",""
"2770.5600000335835","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","43044","0.0-8.0","tu178m","Tue Feb 09 2021 02:32:44 GMT+0100 (Central European Standard Time)","2021","2","9","2","32","44","mw73","47","male","right","68","15","56","20","5","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","46298","0.0-9.0-0.0","tu178m","Tue Feb 09 2021 02:32:44 GMT+0100 (Central European Standard Time)","2021","2","9","2","32","44","mw73","47","male","right","68","15","56","20","5","","","","","fixation","","","",""
