"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"4756.715000024997","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","4760","0.0-0.0","a0gh2p","Thu Feb 18 2021 07:39:51 GMT+0100 (Central European Standard Time)","2021","2","18","7","39","51","nn96","24","male","left","40","24","44","0","12","","","","","","","","",""
"4780.764999915846","","","survey-text","1","9547","0.0-1.0","a0gh2p","Thu Feb 18 2021 07:39:51 GMT+0100 (Central European Standard Time)","2021","2","18","7","39","51","nn96","24","male","left","40","24","44","0","12","{""Q0"":""nn96""}","","","","","","","",""
"3414.64500001166","","","survey-text","2","12964","0.0-2.0","a0gh2p","Thu Feb 18 2021 07:39:51 GMT+0100 (Central European Standard Time)","2021","2","18","7","39","51","nn96","24","male","left","40","24","44","0","12","{""Q0"":""24""}","","","","","","","",""
"3791.8749999953434","","","survey-multi-select","3","16760","0.0-3.0","a0gh2p","Thu Feb 18 2021 07:39:51 GMT+0100 (Central European Standard Time)","2021","2","18","7","39","51","nn96","24","male","left","40","24","44","0","12","{""Gender"":[""male""],""Hand"":[""left""]}","[0,1]","","","","","","",""
"6138.819999992847","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","22901","0.0-4.0","a0gh2p","Thu Feb 18 2021 07:39:51 GMT+0100 (Central European Standard Time)","2021","2","18","7","39","51","nn96","24","male","left","40","24","44","0","12","","","50","40","","","","",""
"4965.7850000076","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","27868","0.0-5.0","a0gh2p","Thu Feb 18 2021 07:39:51 GMT+0100 (Central European Standard Time)","2021","2","18","7","39","51","nn96","24","male","left","40","24","44","0","12","","","50","24","","","","",""
"4305.264999973588","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","32175","0.0-6.0","a0gh2p","Thu Feb 18 2021 07:39:51 GMT+0100 (Central European Standard Time)","2021","2","18","7","39","51","nn96","24","male","left","40","24","44","0","12","","","50","44","","","","",""
"23313.309999997728","","","survey-multi-select","7","55506","0.0-7.0","a0gh2p","Thu Feb 18 2021 07:39:51 GMT+0100 (Central European Standard Time)","2021","2","18","7","39","51","nn96","24","male","left","40","24","44","0","12","{""Sleep"":[""0""],""Eat"":[""12""]}","[0,1]","","","","","","",""
"6064.435000065714","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","61572","0.0-8.0","a0gh2p","Thu Feb 18 2021 07:39:51 GMT+0100 (Central European Standard Time)","2021","2","18","7","39","51","nn96","24","male","left","40","24","44","0","12","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","65076","0.0-9.0-0.0","a0gh2p","Thu Feb 18 2021 07:39:51 GMT+0100 (Central European Standard Time)","2021","2","18","7","39","51","nn96","24","male","left","40","24","44","0","12","","","","","fixation","","","",""
