"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"16904.029999976046","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","16906","0.0-0.0","b06zwm","Wed Feb 17 2021 13:57:06 GMT+0100 (Central European Standard Time)","2021","2","17","13","57","6","nn96","24","male","left","59","56","23","7","6","","","","","","","","",""
"25589.11000005901","","","survey-text","1","42500","0.0-1.0","b06zwm","Wed Feb 17 2021 13:57:06 GMT+0100 (Central European Standard Time)","2021","2","17","13","57","6","nn96","24","male","left","59","56","23","7","6","{""Q0"":""nn96""}","","","","","","","",""
"4297.610000008717","","","survey-text","2","46799","0.0-2.0","b06zwm","Wed Feb 17 2021 13:57:06 GMT+0100 (Central European Standard Time)","2021","2","17","13","57","6","nn96","24","male","left","59","56","23","7","6","{""Q0"":""24""}","","","","","","","",""
"3906.194999930449","","","survey-multi-select","3","50710","0.0-3.0","b06zwm","Wed Feb 17 2021 13:57:06 GMT+0100 (Central European Standard Time)","2021","2","17","13","57","6","nn96","24","male","left","59","56","23","7","6","{""Gender"":[""male""],""Hand"":[""left""]}","[0,1]","","","","","","",""
"6244.799999985844","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","56958","0.0-4.0","b06zwm","Wed Feb 17 2021 13:57:06 GMT+0100 (Central European Standard Time)","2021","2","17","13","57","6","nn96","24","male","left","59","56","23","7","6","","","50","59","","","","",""
"5866.2400000030175","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","62825","0.0-5.0","b06zwm","Wed Feb 17 2021 13:57:06 GMT+0100 (Central European Standard Time)","2021","2","17","13","57","6","nn96","24","male","left","59","56","23","7","6","","","50","56","","","","",""
"8820.625000051223","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","71647","0.0-6.0","b06zwm","Wed Feb 17 2021 13:57:06 GMT+0100 (Central European Standard Time)","2021","2","17","13","57","6","nn96","24","male","left","59","56","23","7","6","","","50","23","","","","",""
"13918.145000003278","","","survey-multi-select","7","85585","0.0-7.0","b06zwm","Wed Feb 17 2021 13:57:06 GMT+0100 (Central European Standard Time)","2021","2","17","13","57","6","nn96","24","male","left","59","56","23","7","6","{""Sleep"":[""7""],""Eat"":[""6""]}","[0,1]","","","","","","",""
"27043.885000050068","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","112630","0.0-8.0","b06zwm","Wed Feb 17 2021 13:57:06 GMT+0100 (Central European Standard Time)","2021","2","17","13","57","6","nn96","24","male","left","59","56","23","7","6","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","114884","0.0-9.0-0.0","b06zwm","Wed Feb 17 2021 13:57:06 GMT+0100 (Central European Standard Time)","2021","2","17","13","57","6","nn96","24","male","left","59","56","23","7","6","","","","","fixation","","","",""
"1237.680000020191","img/image_stim_h_stroop.png","72","image-keyboard-response","10","116133","0.0-9.0-1.0","b06zwm","Wed Feb 17 2021 13:57:06 GMT+0100 (Central European Standard Time)","2021","2","17","13","57","6","nn96","24","male","left","59","56","23","7","6","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","116897","0.0-9.0-0.1","b06zwm","Wed Feb 17 2021 13:57:06 GMT+0100 (Central European Standard Time)","2021","2","17","13","57","6","nn96","24","male","left","59","56","23","7","6","","","","","fixation","","","",""
"673.9600000437349","img/image_stim_f_stroop.png","70","image-keyboard-response","12","117573","0.0-9.0-1.1","b06zwm","Wed Feb 17 2021 13:57:06 GMT+0100 (Central European Standard Time)","2021","2","17","13","57","6","nn96","24","male","left","59","56","23","7","6","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","119577","0.0-9.0-0.2","b06zwm","Wed Feb 17 2021 13:57:06 GMT+0100 (Central European Standard Time)","2021","2","17","13","57","6","nn96","24","male","left","59","56","23","7","6","","","","","fixation","","","",""
"538.2150000659749","img/image_stim_h.png","72","image-keyboard-response","14","120117","0.0-9.0-1.2","b06zwm","Wed Feb 17 2021 13:57:06 GMT+0100 (Central European Standard Time)","2021","2","17","13","57","6","nn96","24","male","left","59","56","23","7","6","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","121121","0.0-9.0-0.3","b06zwm","Wed Feb 17 2021 13:57:06 GMT+0100 (Central European Standard Time)","2021","2","17","13","57","6","nn96","24","male","left","59","56","23","7","6","","","","","fixation","","","",""
"466.10999992117286","img/image_stim_f.png","70","image-keyboard-response","16","121589","0.0-9.0-1.3","b06zwm","Wed Feb 17 2021 13:57:06 GMT+0100 (Central European Standard Time)","2021","2","17","13","57","6","nn96","24","male","left","59","56","23","7","6","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","123342","0.0-9.0-0.4","b06zwm","Wed Feb 17 2021 13:57:06 GMT+0100 (Central European Standard Time)","2021","2","17","13","57","6","nn96","24","male","left","59","56","23","7","6","","","","","fixation","","","",""
"503.8199999835342","img/image_stim_f.png","70","image-keyboard-response","18","123848","0.0-9.0-1.4","b06zwm","Wed Feb 17 2021 13:57:06 GMT+0100 (Central European Standard Time)","2021","2","17","13","57","6","nn96","24","male","left","59","56","23","7","6","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","125351","0.0-9.0-0.5","b06zwm","Wed Feb 17 2021 13:57:06 GMT+0100 (Central European Standard Time)","2021","2","17","13","57","6","nn96","24","male","left","59","56","23","7","6","","","","","fixation","","","",""
"475.90499999932945","img/image_stim_h.png","72","image-keyboard-response","20","125828","0.0-9.0-1.5","b06zwm","Wed Feb 17 2021 13:57:06 GMT+0100 (Central European Standard Time)","2021","2","17","13","57","6","nn96","24","male","left","59","56","23","7","6","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","127082","0.0-9.0-0.6","b06zwm","Wed Feb 17 2021 13:57:06 GMT+0100 (Central European Standard Time)","2021","2","17","13","57","6","nn96","24","male","left","59","56","23","7","6","","","","","fixation","","","",""
"608.6649999488145","img/image_stim_h_stroop.png","70","image-keyboard-response","22","127692","0.0-9.0-1.6","b06zwm","Wed Feb 17 2021 13:57:06 GMT+0100 (Central European Standard Time)","2021","2","17","13","57","6","nn96","24","male","left","59","56","23","7","6","","","","","test","happy","fear","h","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","129698","0.0-9.0-0.7","b06zwm","Wed Feb 17 2021 13:57:06 GMT+0100 (Central European Standard Time)","2021","2","17","13","57","6","nn96","24","male","left","59","56","23","7","6","","","","","fixation","","","",""
