"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"8465","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","8472","0.0-0.0","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","","","","",""
"5946","","","survey-text","1","14437","0.0-1.0","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","{""Q0"":""nutella""}","","","","","","","",""
"2910","","","survey-text","2","17352","0.0-2.0","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","{""Q0"":""20""}","","","","","","","",""
"3395","","","survey-multi-select","3","20749","0.0-3.0","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"3921","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","24673","0.0-4.0","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","50","76","","","","",""
"4131","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","28805","0.0-5.0","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","50","37","","","","",""
"4241.999999999996","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","33048","0.0-6.0","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","50","59","","","","",""
"11172","","","survey-multi-select","7","44235","0.0-7.0","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","{""Sleep"":[""3""],""Eat"":[""0""]}","[0,1]","","","","","","",""
"16763.000000000007","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","61001","0.0-8.0","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","64255","0.0-9.0-0.0","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","fixation","","","",""
"997","img/image_stim_h.png","72","image-keyboard-response","10","65256","0.0-9.0-1.0","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","66262","0.0-9.0-0.1","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","fixation","","","",""
"572.0000000000146","img/image_stim_h_stroop.png","72","image-keyboard-response","12","66835","0.0-9.0-1.1","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","67839","0.0-9.0-0.2","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","fixation","","","",""
"538.9999999999854","img/image_stim_f_stroop.png","70","image-keyboard-response","14","68383","0.0-9.0-1.2","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","69137","0.0-9.0-0.3","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","fixation","","","",""
"421","img/image_stim_f.png","70","image-keyboard-response","16","69559","0.0-9.0-1.3","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","71564","0.0-9.0-0.4","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","fixation","","","",""
"657.0000000000146","img/image_stim_f.png","70","image-keyboard-response","18","72221","0.0-9.0-1.4","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","72473","0.0-9.0-0.5","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","fixation","","","",""
"560.9999999999854","img/image_stim_h.png","72","image-keyboard-response","20","73036","0.0-9.0-1.5","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","74788","0.0-9.0-0.6","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","fixation","","","",""
"804","img/image_stim_h_stroop.png","72","image-keyboard-response","22","75593","0.0-9.0-1.6","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","77096","0.0-9.0-0.7","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","fixation","","","",""
"420","img/image_stim_f_stroop.png","70","image-keyboard-response","24","77518","0.0-9.0-1.7","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","79270","0.0-9.0-0.8","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","fixation","","","",""
"668","img/image_stim_h_stroop.png","72","image-keyboard-response","26","79940","0.0-9.0-1.8","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","81443","0.0-9.0-0.9","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","fixation","","","",""
"522","img/image_stim_f_stroop.png","70","image-keyboard-response","28","81969","0.0-9.0-1.9","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","29","83228","0.0-9.0-0.10","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","fixation","","","",""
"455","img/image_stim_h.png","72","image-keyboard-response","30","83684","0.0-9.0-1.10","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","31","85438","0.0-9.0-0.11","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","fixation","","","",""
"747","img/image_stim_f.png","72","image-keyboard-response","32","86187","0.0-9.0-1.11","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","test","fear","fear","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","33","88204","0.0-9.0-0.12","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","fixation","","","",""
"589","img/image_stim_h.png","72","image-keyboard-response","34","88800","0.0-9.0-1.12","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","35","90054","0.0-9.0-0.13","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","fixation","","","",""
"549","img/image_stim_f_stroop.png","70","image-keyboard-response","36","90605","0.0-9.0-1.13","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","37","92357","0.0-9.0-0.14","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","fixation","","","",""
"564","img/image_stim_f.png","70","image-keyboard-response","38","92923","0.0-9.0-1.14","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","39","94676","0.0-9.0-0.15","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","fixation","","","",""
"521","img/image_stim_h_stroop.png","72","image-keyboard-response","40","95200","0.0-9.0-1.15","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","41","96202","0.0-9.0-0.16","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","fixation","","","",""
"534.0000000000146","img/image_stim_h.png","72","image-keyboard-response","42","96738","0.0-9.0-1.16","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","43","97494","0.0-9.0-0.17","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","fixation","","","",""
"686","img/image_stim_f_stroop.png","70","image-keyboard-response","44","98181","0.0-9.0-1.17","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","45","99183","0.0-9.0-0.18","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","fixation","","","",""
"669.0000000000146","img/image_stim_f.png","70","image-keyboard-response","46","99854","0.0-9.0-1.18","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","47","101607","0.0-9.0-0.19","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","fixation","","","",""
"543","img/image_stim_h_stroop.png","72","image-keyboard-response","48","102151","0.0-9.0-1.19","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","49","103153","0.0-9.0-0.20","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","fixation","","","",""
"878","img/image_stim_h.png","72","image-keyboard-response","50","104033","0.0-9.0-1.20","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","51","105035","0.0-9.0-0.21","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","fixation","","","",""
"657","img/image_stim_f.png","70","image-keyboard-response","52","105694","0.0-9.0-1.21","vdxobc","Fri Feb 19 2021 10:42:49 GMT+0100 (CET)","2021","2","19","10","42","49","nutella","20","female","right","76","37","59","3","0","","","","","test","fear","fear","f","true"
