"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"22517.510000034235","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","22520","0.0-0.0","eupwp2","Wed Feb 17 2021 19:53:09 GMT+0100 (Central European Standard Time)","2021","2","17","19","53","9","ol73","24","female","right","72","39","69","10","1","","","","","","","","",""
"11754.400000092573","","","survey-text","1","34279","0.0-1.0","eupwp2","Wed Feb 17 2021 19:53:09 GMT+0100 (Central European Standard Time)","2021","2","17","19","53","9","ol73","24","female","right","72","39","69","10","1","{""Q0"":""ol73""}","","","","","","","",""
"22997.22500005737","","","survey-text","2","57279","0.0-2.0","eupwp2","Wed Feb 17 2021 19:53:09 GMT+0100 (Central European Standard Time)","2021","2","17","19","53","9","ol73","24","female","right","72","39","69","10","1","{""Q0"":""24""}","","","","","","","",""
"12398.399999947287","","","survey-multi-select","3","69681","0.0-3.0","eupwp2","Wed Feb 17 2021 19:53:09 GMT+0100 (Central European Standard Time)","2021","2","17","19","53","9","ol73","24","female","right","72","39","69","10","1","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"22962.84499997273","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","92646","0.0-4.0","eupwp2","Wed Feb 17 2021 19:53:09 GMT+0100 (Central European Standard Time)","2021","2","17","19","53","9","ol73","24","female","right","72","39","69","10","1","","","50","72","","","","",""
"34480.05499993451","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","127126","0.0-5.0","eupwp2","Wed Feb 17 2021 19:53:09 GMT+0100 (Central European Standard Time)","2021","2","17","19","53","9","ol73","24","female","right","72","39","69","10","1","","","50","39","","","","",""
"10658.739999984391","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","137786","0.0-6.0","eupwp2","Wed Feb 17 2021 19:53:09 GMT+0100 (Central European Standard Time)","2021","2","17","19","53","9","ol73","24","female","right","72","39","69","10","1","","","50","69","","","","",""
"144820.3349999385","","","survey-multi-select","7","282622","0.0-7.0","eupwp2","Wed Feb 17 2021 19:53:09 GMT+0100 (Central European Standard Time)","2021","2","17","19","53","9","ol73","24","female","right","72","39","69","10","1","{""Sleep"":[""10""],""Eat"":[""1""]}","[0,1]","","","","","","",""
"14864.45500003174","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","13","html-keyboard-response","8","297488","0.0-8.0","eupwp2","Wed Feb 17 2021 19:53:09 GMT+0100 (Central European Standard Time)","2021","2","17","19","53","9","ol73","24","female","right","72","39","69","10","1","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","300748","0.0-9.0-0.0","eupwp2","Wed Feb 17 2021 19:53:09 GMT+0100 (Central European Standard Time)","2021","2","17","19","53","9","ol73","24","female","right","72","39","69","10","1","","","","","fixation","","","",""
"1297.344999969937","img/image_stim_h.png","72","image-keyboard-response","10","302055","0.0-9.0-1.0","eupwp2","Wed Feb 17 2021 19:53:09 GMT+0100 (Central European Standard Time)","2021","2","17","19","53","9","ol73","24","female","right","72","39","69","10","1","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","304060","0.0-9.0-0.1","eupwp2","Wed Feb 17 2021 19:53:09 GMT+0100 (Central European Standard Time)","2021","2","17","19","53","9","ol73","24","female","right","72","39","69","10","1","","","","","fixation","","","",""
"673.3649999368936","img/image_stim_f.png","70","image-keyboard-response","12","304735","0.0-9.0-1.1","eupwp2","Wed Feb 17 2021 19:53:09 GMT+0100 (Central European Standard Time)","2021","2","17","19","53","9","ol73","24","female","right","72","39","69","10","1","","","","","test","fear","fear","f","true"
