"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"3991.4249998982996","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","3993","0.0-0.0","hvjqaa","Wed Feb 17 2021 10:23:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","17","10","23","44","ol73","24","female","right","66","18","7","1","14","","","","","","","","",""
"18597.24000003189","","","survey-text","1","22596","0.0-1.0","hvjqaa","Wed Feb 17 2021 10:23:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","17","10","23","44","ol73","24","female","right","66","18","7","1","14","{""Q0"":""ol73""}","","","","","","","",""
"7824.594999896362","","","survey-text","2","30424","0.0-2.0","hvjqaa","Wed Feb 17 2021 10:23:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","17","10","23","44","ol73","24","female","right","66","18","7","1","14","{""Q0"":""24""}","","","","","","","",""
"39923.43500000425","","","survey-multi-select","3","70353","0.0-3.0","hvjqaa","Wed Feb 17 2021 10:23:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","17","10","23","44","ol73","24","female","right","66","18","7","1","14","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"9489.340000087395","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","79849","0.0-4.0","hvjqaa","Wed Feb 17 2021 10:23:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","17","10","23","44","ol73","24","female","right","66","18","7","1","14","","","50","66","","","","",""
"7512.014999985695","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","87363","0.0-5.0","hvjqaa","Wed Feb 17 2021 10:23:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","17","10","23","44","ol73","24","female","right","66","18","7","1","14","","","50","18","","","","",""
"8200.295000104234","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","95565","0.0-6.0","hvjqaa","Wed Feb 17 2021 10:23:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","17","10","23","44","ol73","24","female","right","66","18","7","1","14","","","50","7","","","","",""
"26859.980000182986","","","survey-multi-select","7","122440","0.0-7.0","hvjqaa","Wed Feb 17 2021 10:23:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","17","10","23","44","ol73","24","female","right","66","18","7","1","14","{""Sleep"":[""1""],""Eat"":[""14""]}","[0,1]","","","","","","",""
"39840.564999962226","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","13","html-keyboard-response","8","162284","0.0-8.0","hvjqaa","Wed Feb 17 2021 10:23:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","17","10","23","44","ol73","24","female","right","66","18","7","1","14","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","165042","0.0-9.0-0.0","hvjqaa","Wed Feb 17 2021 10:23:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","17","10","23","44","ol73","24","female","right","66","18","7","1","14","","","","","fixation","","","",""
"956.389999948442","img/image_stim_h.png","72","image-keyboard-response","10","166035","0.0-9.0-1.0","hvjqaa","Wed Feb 17 2021 10:23:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","17","10","23","44","ol73","24","female","right","66","18","7","1","14","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","167043","0.0-9.0-0.1","hvjqaa","Wed Feb 17 2021 10:23:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","17","10","23","44","ol73","24","female","right","66","18","7","1","14","","","","","fixation","","","",""
"1135.8349998481572","img/image_stim_h_stroop.png","70","image-keyboard-response","12","168181","0.0-9.0-1.1","hvjqaa","Wed Feb 17 2021 10:23:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","17","10","23","44","ol73","24","female","right","66","18","7","1","14","","","","","test","happy","fear","h","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","168937","0.0-9.0-0.2","hvjqaa","Wed Feb 17 2021 10:23:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","17","10","23","44","ol73","24","female","right","66","18","7","1","14","","","","","fixation","","","",""
"1690.6099999323487","img/image_stim_f.png","70","image-keyboard-response","14","170629","0.0-9.0-1.2","hvjqaa","Wed Feb 17 2021 10:23:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","17","10","23","44","ol73","24","female","right","66","18","7","1","14","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","171883","0.0-9.0-0.3","hvjqaa","Wed Feb 17 2021 10:23:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","17","10","23","44","ol73","24","female","right","66","18","7","1","14","","","","","fixation","","","",""
"884.1150000225753","img/image_stim_f_stroop.png","70","image-keyboard-response","16","172769","0.0-9.0-1.3","hvjqaa","Wed Feb 17 2021 10:23:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","17","10","23","44","ol73","24","female","right","66","18","7","1","14","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","174528","0.0-9.0-0.4","hvjqaa","Wed Feb 17 2021 10:23:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","17","10","23","44","ol73","24","female","right","66","18","7","1","14","","","","","fixation","","","",""
"1185.109999962151","img/image_stim_h_stroop.png","72","image-keyboard-response","18","175715","0.0-9.0-1.4","hvjqaa","Wed Feb 17 2021 10:23:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","17","10","23","44","ol73","24","female","right","66","18","7","1","14","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","177719","0.0-9.0-0.5","hvjqaa","Wed Feb 17 2021 10:23:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","17","10","23","44","ol73","24","female","right","66","18","7","1","14","","","","","fixation","","","",""
"951.2050000485033","img/image_stim_f.png","70","image-keyboard-response","20","178672","0.0-9.0-1.5","hvjqaa","Wed Feb 17 2021 10:23:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","17","10","23","44","ol73","24","female","right","66","18","7","1","14","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","179678","0.0-9.0-0.6","hvjqaa","Wed Feb 17 2021 10:23:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","17","10","23","44","ol73","24","female","right","66","18","7","1","14","","","","","fixation","","","",""
"843.1049999780953","img/image_stim_h.png","72","image-keyboard-response","22","180523","0.0-9.0-1.6","hvjqaa","Wed Feb 17 2021 10:23:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","17","10","23","44","ol73","24","female","right","66","18","7","1","14","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","182534","0.0-9.0-0.7","hvjqaa","Wed Feb 17 2021 10:23:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","17","10","23","44","ol73","24","female","right","66","18","7","1","14","","","","","fixation","","","",""
"825.8899999782443","img/image_stim_f_stroop.png","70","image-keyboard-response","24","183362","0.0-9.0-1.7","hvjqaa","Wed Feb 17 2021 10:23:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","17","10","23","44","ol73","24","female","right","66","18","7","1","14","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","184616","0.0-9.0-0.8","hvjqaa","Wed Feb 17 2021 10:23:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","17","10","23","44","ol73","24","female","right","66","18","7","1","14","","","","","fixation","","","",""
"1101.7700000666082","img/image_stim_h_stroop.png","72","image-keyboard-response","26","185720","0.0-9.0-1.8","hvjqaa","Wed Feb 17 2021 10:23:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","17","10","23","44","ol73","24","female","right","66","18","7","1","14","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","187227","0.0-9.0-0.9","hvjqaa","Wed Feb 17 2021 10:23:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","17","10","23","44","ol73","24","female","right","66","18","7","1","14","","","","","fixation","","","",""
"929.8200001940131","img/image_stim_f_stroop.png","70","image-keyboard-response","28","188159","0.0-9.0-1.9","hvjqaa","Wed Feb 17 2021 10:23:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","17","10","23","44","ol73","24","female","right","66","18","7","1","14","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","29","189917","0.0-9.0-0.10","hvjqaa","Wed Feb 17 2021 10:23:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","17","10","23","44","ol73","24","female","right","66","18","7","1","14","","","","","fixation","","","",""
"616.880000103265","img/image_stim_h.png","72","image-keyboard-response","30","190536","0.0-9.0-1.10","hvjqaa","Wed Feb 17 2021 10:23:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","17","10","23","44","ol73","24","female","right","66","18","7","1","14","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","31","191791","0.0-9.0-0.11","hvjqaa","Wed Feb 17 2021 10:23:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","17","10","23","44","ol73","24","female","right","66","18","7","1","14","","","","","fixation","","","",""
"547.5399999413639","img/image_stim_f.png","70","image-keyboard-response","32","192340","0.0-9.0-1.11","hvjqaa","Wed Feb 17 2021 10:23:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","17","10","23","44","ol73","24","female","right","66","18","7","1","14","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","33","193598","0.0-9.0-0.12","hvjqaa","Wed Feb 17 2021 10:23:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","17","10","23","44","ol73","24","female","right","66","18","7","1","14","","","","","fixation","","","",""
"584.5850000623614","img/image_stim_h.png","72","image-keyboard-response","34","194184","0.0-9.0-1.12","hvjqaa","Wed Feb 17 2021 10:23:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","17","10","23","44","ol73","24","female","right","66","18","7","1","14","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","35","196192","0.0-9.0-0.13","hvjqaa","Wed Feb 17 2021 10:23:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","17","10","23","44","ol73","24","female","right","66","18","7","1","14","","","","","fixation","","","",""
"577.189999865368","img/image_stim_h_stroop.png","70","image-keyboard-response","36","196771","0.0-9.0-1.13","hvjqaa","Wed Feb 17 2021 10:23:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","17","10","23","44","ol73","24","female","right","66","18","7","1","14","","","","","test","happy","fear","h","false"
