"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"4020","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","4022","0.0-0.0","3mfmmq","Thu Feb 10 2022 09:24:38 GMT+0100 (CET)","2022","2","10","9","24","38","pm99","23","male","right","57","24","42","2","14","","","","","","","","",""
"15767.000000000004","","","survey-text","1","19814","0.0-1.0","3mfmmq","Thu Feb 10 2022 09:24:38 GMT+0100 (CET)","2022","2","10","9","24","38","pm99","23","male","right","57","24","42","2","14","{""Q0"":""pm99""}","","","","","","","",""
"3638.9999999999964","","","survey-text","2","23460","0.0-2.0","3mfmmq","Thu Feb 10 2022 09:24:38 GMT+0100 (CET)","2022","2","10","9","24","38","pm99","23","male","right","57","24","42","2","14","{""Q0"":""23""}","","","","","","","",""
"3813","","","survey-multi-select","3","27276","0.0-3.0","3mfmmq","Thu Feb 10 2022 09:24:38 GMT+0100 (CET)","2022","2","10","9","24","38","pm99","23","male","right","57","24","42","2","14","{""Gender"":[""male""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"5889","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","33168","0.0-4.0","3mfmmq","Thu Feb 10 2022 09:24:38 GMT+0100 (CET)","2022","2","10","9","24","38","pm99","23","male","right","57","24","42","2","14","","","50","57","","","","",""
"5217","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","38386","0.0-5.0","3mfmmq","Thu Feb 10 2022 09:24:38 GMT+0100 (CET)","2022","2","10","9","24","38","pm99","23","male","right","57","24","42","2","14","","","50","24","","","","",""
"6254","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","44642","0.0-6.0","3mfmmq","Thu Feb 10 2022 09:24:38 GMT+0100 (CET)","2022","2","10","9","24","38","pm99","23","male","right","57","24","42","2","14","","","50","42","","","","",""
"81892","","","survey-multi-select","7","126549","0.0-7.0","3mfmmq","Thu Feb 10 2022 09:24:38 GMT+0100 (CET)","2022","2","10","9","24","38","pm99","23","male","right","57","24","42","2","14","{""Sleep"":[""2""],""Eat"":[""14""]}","[0,1]","","","","","","",""
"31663.999999999985","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","158215","0.0-8.0","3mfmmq","Thu Feb 10 2022 09:24:38 GMT+0100 (CET)","2022","2","10","9","24","38","pm99","23","male","right","57","24","42","2","14","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","160469","0.0-9.0-0.0","3mfmmq","Thu Feb 10 2022 09:24:38 GMT+0100 (CET)","2022","2","10","9","24","38","pm99","23","male","right","57","24","42","2","14","","","","","fixation","","","",""
"1152","img/image_stim_h.png","72","image-keyboard-response","10","161630","0.0-9.0-1.0","3mfmmq","Thu Feb 10 2022 09:24:38 GMT+0100 (CET)","2022","2","10","9","24","38","pm99","23","male","right","57","24","42","2","14","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","161887","0.0-9.0-0.1","3mfmmq","Thu Feb 10 2022 09:24:38 GMT+0100 (CET)","2022","2","10","9","24","38","pm99","23","male","right","57","24","42","2","14","","","","","fixation","","","",""
"574.9999999999709","img/image_stim_f.png","70","image-keyboard-response","12","162466","0.0-9.0-1.1","3mfmmq","Thu Feb 10 2022 09:24:38 GMT+0100 (CET)","2022","2","10","9","24","38","pm99","23","male","right","57","24","42","2","14","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","163970","0.0-9.0-0.2","3mfmmq","Thu Feb 10 2022 09:24:38 GMT+0100 (CET)","2022","2","10","9","24","38","pm99","23","male","right","57","24","42","2","14","","","","","fixation","","","",""
