"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"1051.6050000151154","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","78","html-keyboard-response","0","1053","0.0-0.0","lt28f2","Fri Feb 19 2021 06:33:29 GMT+0100 (Central European Standard Time)","2021","2","19","6","33","29","popper123","24","male","right","50","19","19","0","12","","","","","","","","",""
"7835.055000003194","","","survey-text","1","8892","0.0-1.0","lt28f2","Fri Feb 19 2021 06:33:29 GMT+0100 (Central European Standard Time)","2021","2","19","6","33","29","popper123","24","male","right","50","19","19","0","12","{""Q0"":""popper123""}","","","","","","","",""
"2288.880000007339","","","survey-text","2","11183","0.0-2.0","lt28f2","Fri Feb 19 2021 06:33:29 GMT+0100 (Central European Standard Time)","2021","2","19","6","33","29","popper123","24","male","right","50","19","19","0","12","{""Q0"":""24""}","","","","","","","",""
"3613.5899999935646","","","survey-multi-select","3","14800","0.0-3.0","lt28f2","Fri Feb 19 2021 06:33:29 GMT+0100 (Central European Standard Time)","2021","2","19","6","33","29","popper123","24","male","right","50","19","19","0","12","{""Gender"":[""male""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"2547.755000006873","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","17349","0.0-4.0","lt28f2","Fri Feb 19 2021 06:33:29 GMT+0100 (Central European Standard Time)","2021","2","19","6","33","29","popper123","24","male","right","50","19","19","0","12","","","50","50","","","","",""
"7274.850000016158","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","24625","0.0-5.0","lt28f2","Fri Feb 19 2021 06:33:29 GMT+0100 (Central European Standard Time)","2021","2","19","6","33","29","popper123","24","male","right","50","19","19","0","12","","","50","19","","","","",""
"7034.885000000941","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","31661","0.0-6.0","lt28f2","Fri Feb 19 2021 06:33:29 GMT+0100 (Central European Standard Time)","2021","2","19","6","33","29","popper123","24","male","right","50","19","19","0","12","","","50","19","","","","",""
"12376.64499998209","","","survey-multi-select","7","44054","0.0-7.0","lt28f2","Fri Feb 19 2021 06:33:29 GMT+0100 (Central European Standard Time)","2021","2","19","6","33","29","popper123","24","male","right","50","19","19","0","12","{""Sleep"":[""0""],""Eat"":[""12""]}","[0,1]","","","","","","",""
"2463.1400000071153","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","46518","0.0-8.0","lt28f2","Fri Feb 19 2021 06:33:29 GMT+0100 (Central European Standard Time)","2021","2","19","6","33","29","popper123","24","male","right","50","19","19","0","12","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","49275","0.0-9.0-0.0","lt28f2","Fri Feb 19 2021 06:33:29 GMT+0100 (Central European Standard Time)","2021","2","19","6","33","29","popper123","24","male","right","50","19","19","0","12","","","","","fixation","","","",""
"903.6900000064634","img/image_stim_f_stroop.png","70","image-keyboard-response","10","50181","0.0-9.0-1.0","lt28f2","Fri Feb 19 2021 06:33:29 GMT+0100 (Central European Standard Time)","2021","2","19","6","33","29","popper123","24","male","right","50","19","19","0","12","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","50686","0.0-9.0-0.1","lt28f2","Fri Feb 19 2021 06:33:29 GMT+0100 (Central European Standard Time)","2021","2","19","6","33","29","popper123","24","male","right","50","19","19","0","12","","","","","fixation","","","",""
"557.3999999905936","img/image_stim_f.png","70","image-keyboard-response","12","51245","0.0-9.0-1.1","lt28f2","Fri Feb 19 2021 06:33:29 GMT+0100 (Central European Standard Time)","2021","2","19","6","33","29","popper123","24","male","right","50","19","19","0","12","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","53252","0.0-9.0-0.2","lt28f2","Fri Feb 19 2021 06:33:29 GMT+0100 (Central European Standard Time)","2021","2","19","6","33","29","popper123","24","male","right","50","19","19","0","12","","","","","fixation","","","",""
"503.6100000143051","img/image_stim_h_stroop.png","72","image-keyboard-response","14","53757","0.0-9.0-1.2","lt28f2","Fri Feb 19 2021 06:33:29 GMT+0100 (Central European Standard Time)","2021","2","19","6","33","29","popper123","24","male","right","50","19","19","0","12","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","54012","0.0-9.0-0.3","lt28f2","Fri Feb 19 2021 06:33:29 GMT+0100 (Central European Standard Time)","2021","2","19","6","33","29","popper123","24","male","right","50","19","19","0","12","","","","","fixation","","","",""
"615.4850000166334","img/image_stim_h.png","72","image-keyboard-response","16","54629","0.0-9.0-1.3","lt28f2","Fri Feb 19 2021 06:33:29 GMT+0100 (Central European Standard Time)","2021","2","19","6","33","29","popper123","24","male","right","50","19","19","0","12","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","55634","0.0-9.0-0.4","lt28f2","Fri Feb 19 2021 06:33:29 GMT+0100 (Central European Standard Time)","2021","2","19","6","33","29","popper123","24","male","right","50","19","19","0","12","","","","","fixation","","","",""
"553.7849999964237","img/image_stim_h_stroop.png","72","image-keyboard-response","18","56189","0.0-9.0-1.4","lt28f2","Fri Feb 19 2021 06:33:29 GMT+0100 (Central European Standard Time)","2021","2","19","6","33","29","popper123","24","male","right","50","19","19","0","12","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","57441","0.0-9.0-0.5","lt28f2","Fri Feb 19 2021 06:33:29 GMT+0100 (Central European Standard Time)","2021","2","19","6","33","29","popper123","24","male","right","50","19","19","0","12","","","","","fixation","","","",""
"466.77500000805594","img/image_stim_h.png","72","image-keyboard-response","20","57909","0.0-9.0-1.5","lt28f2","Fri Feb 19 2021 06:33:29 GMT+0100 (Central European Standard Time)","2021","2","19","6","33","29","popper123","24","male","right","50","19","19","0","12","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","58415","0.0-9.0-0.6","lt28f2","Fri Feb 19 2021 06:33:29 GMT+0100 (Central European Standard Time)","2021","2","19","6","33","29","popper123","24","male","right","50","19","19","0","12","","","","","fixation","","","",""
"540.8999999926891","img/image_stim_f.png","70","image-keyboard-response","22","58957","0.0-9.0-1.6","lt28f2","Fri Feb 19 2021 06:33:29 GMT+0100 (Central European Standard Time)","2021","2","19","6","33","29","popper123","24","male","right","50","19","19","0","12","","","","","test","fear","fear","f","true"
