"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"2747.655000013765","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","2749","0.0-0.0","qq4vn8","Sun Feb 07 2021 12:42:20 GMT+0100 (Central European Standard Time)","2021","2","7","12","42","20","mw73","47","male","right","62","70","73","4","0","","","","","","","","",""
"6045.929999963846","","","survey-text","1","8797","0.0-1.0","qq4vn8","Sun Feb 07 2021 12:42:20 GMT+0100 (Central European Standard Time)","2021","2","7","12","42","20","mw73","47","male","right","62","70","73","4","0","{""Q0"":""mw73""}","","","","","","","",""
"4033.9449999737553","","","survey-text","2","12832","0.0-2.0","qq4vn8","Sun Feb 07 2021 12:42:20 GMT+0100 (Central European Standard Time)","2021","2","7","12","42","20","mw73","47","male","right","62","70","73","4","0","{""Q0"":""47""}","","","","","","","",""
"3984.5600000116974","","","survey-multi-select","3","16819","0.0-3.0","qq4vn8","Sun Feb 07 2021 12:42:20 GMT+0100 (Central European Standard Time)","2021","2","7","12","42","20","mw73","47","male","right","62","70","73","4","0","{""Gender"":[""male""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"7465.894999972079","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","24287","0.0-4.0","qq4vn8","Sun Feb 07 2021 12:42:20 GMT+0100 (Central European Standard Time)","2021","2","7","12","42","20","mw73","47","male","right","62","70","73","4","0","","","50","62","","","","",""
"8137.144999986049","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","32425","0.0-5.0","qq4vn8","Sun Feb 07 2021 12:42:20 GMT+0100 (Central European Standard Time)","2021","2","7","12","42","20","mw73","47","male","right","62","70","73","4","0","","","50","70","","","","",""
"9405.015000025742","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","41831","0.0-6.0","qq4vn8","Sun Feb 07 2021 12:42:20 GMT+0100 (Central European Standard Time)","2021","2","7","12","42","20","mw73","47","male","right","62","70","73","4","0","","","50","73","","","","",""
"9920.220000029076","","","survey-multi-select","7","51764","0.0-7.0","qq4vn8","Sun Feb 07 2021 12:42:20 GMT+0100 (Central European Standard Time)","2021","2","7","12","42","20","mw73","47","male","right","62","70","73","4","0","{""Sleep"":[""4""],""Eat"":[""0""]}","[0,1]","","","","","","",""
"5323.174999968614","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","57089","0.0-8.0","qq4vn8","Sun Feb 07 2021 12:42:20 GMT+0100 (Central European Standard Time)","2021","2","7","12","42","20","mw73","47","male","right","62","70","73","4","0","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","60591","0.0-9.0-0.0","qq4vn8","Sun Feb 07 2021 12:42:20 GMT+0100 (Central European Standard Time)","2021","2","7","12","42","20","mw73","47","male","right","62","70","73","4","0","","","","","fixation","","","",""
"1464.9299999582581","img/image_stim_h_stroop.png","32","image-keyboard-response","10","62057","0.0-9.0-1.0","qq4vn8","Sun Feb 07 2021 12:42:20 GMT+0100 (Central European Standard Time)","2021","2","7","12","42","20","mw73","47","male","right","62","70","73","4","0","","","","","test","happy","fear","h","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","63812","0.0-9.0-0.1","qq4vn8","Sun Feb 07 2021 12:42:20 GMT+0100 (Central European Standard Time)","2021","2","7","12","42","20","mw73","47","male","right","62","70","73","4","0","","","","","fixation","","","",""
"664.8299999651499","img/image_stim_h.png","32","image-keyboard-response","12","64477","0.0-9.0-1.1","qq4vn8","Sun Feb 07 2021 12:42:20 GMT+0100 (Central European Standard Time)","2021","2","7","12","42","20","mw73","47","male","right","62","70","73","4","0","","","","","test","happy","happy","h","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","66484","0.0-9.0-0.2","qq4vn8","Sun Feb 07 2021 12:42:20 GMT+0100 (Central European Standard Time)","2021","2","7","12","42","20","mw73","47","male","right","62","70","73","4","0","","","","","fixation","","","",""
"439.70500002615154","img/image_stim_f.png","32","image-keyboard-response","14","66924","0.0-9.0-1.2","qq4vn8","Sun Feb 07 2021 12:42:20 GMT+0100 (Central European Standard Time)","2021","2","7","12","42","20","mw73","47","male","right","62","70","73","4","0","","","","","test","fear","fear","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","67681","0.0-9.0-0.3","qq4vn8","Sun Feb 07 2021 12:42:20 GMT+0100 (Central European Standard Time)","2021","2","7","12","42","20","mw73","47","male","right","62","70","73","4","0","","","","","fixation","","","",""
"752.2549999994226","img/image_stim_f_stroop.png","32","image-keyboard-response","16","68434","0.0-9.0-1.3","qq4vn8","Sun Feb 07 2021 12:42:20 GMT+0100 (Central European Standard Time)","2021","2","7","12","42","20","mw73","47","male","right","62","70","73","4","0","","","","","test","fear","happy","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","70186","0.0-9.0-0.4","qq4vn8","Sun Feb 07 2021 12:42:20 GMT+0100 (Central European Standard Time)","2021","2","7","12","42","20","mw73","47","male","right","62","70","73","4","0","","","","","fixation","","","",""
"837.5850000302307","img/image_stim_f_stroop.png","70","image-keyboard-response","18","71025","0.0-9.0-1.4","qq4vn8","Sun Feb 07 2021 12:42:20 GMT+0100 (Central European Standard Time)","2021","2","7","12","42","20","mw73","47","male","right","62","70","73","4","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","71278","0.0-9.0-0.5","qq4vn8","Sun Feb 07 2021 12:42:20 GMT+0100 (Central European Standard Time)","2021","2","7","12","42","20","mw73","47","male","right","62","70","73","4","0","","","","","fixation","","","",""
"806.1700000544079","img/image_stim_h.png","72","image-keyboard-response","20","72086","0.0-9.0-1.5","qq4vn8","Sun Feb 07 2021 12:42:20 GMT+0100 (Central European Standard Time)","2021","2","7","12","42","20","mw73","47","male","right","62","70","73","4","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","73841","0.0-9.0-0.6","qq4vn8","Sun Feb 07 2021 12:42:20 GMT+0100 (Central European Standard Time)","2021","2","7","12","42","20","mw73","47","male","right","62","70","73","4","0","","","","","fixation","","","",""
"673.3249999815598","img/image_stim_f.png","70","image-keyboard-response","22","74516","0.0-9.0-1.6","qq4vn8","Sun Feb 07 2021 12:42:20 GMT+0100 (Central European Standard Time)","2021","2","7","12","42","20","mw73","47","male","right","62","70","73","4","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","75524","0.0-9.0-0.7","qq4vn8","Sun Feb 07 2021 12:42:20 GMT+0100 (Central European Standard Time)","2021","2","7","12","42","20","mw73","47","male","right","62","70","73","4","0","","","","","fixation","","","",""
"625.0550000113435","img/image_stim_h_stroop.png","72","image-keyboard-response","24","76150","0.0-9.0-1.7","qq4vn8","Sun Feb 07 2021 12:42:20 GMT+0100 (Central European Standard Time)","2021","2","7","12","42","20","mw73","47","male","right","62","70","73","4","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","77657","0.0-9.0-0.8","qq4vn8","Sun Feb 07 2021 12:42:20 GMT+0100 (Central European Standard Time)","2021","2","7","12","42","20","mw73","47","male","right","62","70","73","4","0","","","","","fixation","","","",""
"697.7900000056252","img/image_stim_f_stroop.png","70","image-keyboard-response","26","78356","0.0-9.0-1.8","qq4vn8","Sun Feb 07 2021 12:42:20 GMT+0100 (Central European Standard Time)","2021","2","7","12","42","20","mw73","47","male","right","62","70","73","4","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","79858","0.0-9.0-0.9","qq4vn8","Sun Feb 07 2021 12:42:20 GMT+0100 (Central European Standard Time)","2021","2","7","12","42","20","mw73","47","male","right","62","70","73","4","0","","","","","fixation","","","",""
"970.2249999972992","img/image_stim_h.png","72","image-keyboard-response","28","80829","0.0-9.0-1.9","qq4vn8","Sun Feb 07 2021 12:42:20 GMT+0100 (Central European Standard Time)","2021","2","7","12","42","20","mw73","47","male","right","62","70","73","4","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","29","81334","0.0-9.0-0.10","qq4vn8","Sun Feb 07 2021 12:42:20 GMT+0100 (Central European Standard Time)","2021","2","7","12","42","20","mw73","47","male","right","62","70","73","4","0","","","","","fixation","","","",""
"568.6749999877065","img/image_stim_h_stroop.png","72","image-keyboard-response","30","81904","0.0-9.0-1.10","qq4vn8","Sun Feb 07 2021 12:42:20 GMT+0100 (Central European Standard Time)","2021","2","7","12","42","20","mw73","47","male","right","62","70","73","4","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","31","82908","0.0-9.0-0.11","qq4vn8","Sun Feb 07 2021 12:42:20 GMT+0100 (Central European Standard Time)","2021","2","7","12","42","20","mw73","47","male","right","62","70","73","4","0","","","","","fixation","","","",""
"566.1300000501797","img/image_stim_f.png","70","image-keyboard-response","32","83476","0.0-9.0-1.11","qq4vn8","Sun Feb 07 2021 12:42:20 GMT+0100 (Central European Standard Time)","2021","2","7","12","42","20","mw73","47","male","right","62","70","73","4","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","33","83729","0.0-9.0-0.12","qq4vn8","Sun Feb 07 2021 12:42:20 GMT+0100 (Central European Standard Time)","2021","2","7","12","42","20","mw73","47","male","right","62","70","73","4","0","","","","","fixation","","","",""
"1950.7899999734946","img/image_stim_f.png","70","image-keyboard-response","34","85681","0.0-9.0-1.12","qq4vn8","Sun Feb 07 2021 12:42:20 GMT+0100 (Central European Standard Time)","2021","2","7","12","42","20","mw73","47","male","right","62","70","73","4","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","35","86435","0.0-9.0-0.13","qq4vn8","Sun Feb 07 2021 12:42:20 GMT+0100 (Central European Standard Time)","2021","2","7","12","42","20","mw73","47","male","right","62","70","73","4","0","","","","","fixation","","","",""
"984.4849999644794","img/image_stim_f_stroop.png","70","image-keyboard-response","36","87421","0.0-9.0-1.13","qq4vn8","Sun Feb 07 2021 12:42:20 GMT+0100 (Central European Standard Time)","2021","2","7","12","42","20","mw73","47","male","right","62","70","73","4","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","37","88678","0.0-9.0-0.14","qq4vn8","Sun Feb 07 2021 12:42:20 GMT+0100 (Central European Standard Time)","2021","2","7","12","42","20","mw73","47","male","right","62","70","73","4","0","","","","","fixation","","","",""
"593.2499999762513","img/image_stim_h.png","72","image-keyboard-response","38","89273","0.0-9.0-1.14","qq4vn8","Sun Feb 07 2021 12:42:20 GMT+0100 (Central European Standard Time)","2021","2","7","12","42","20","mw73","47","male","right","62","70","73","4","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","39","90778","0.0-9.0-0.15","qq4vn8","Sun Feb 07 2021 12:42:20 GMT+0100 (Central European Standard Time)","2021","2","7","12","42","20","mw73","47","male","right","62","70","73","4","0","","","","","fixation","","","",""
"758.6000000010245","img/image_stim_h_stroop.png","72","image-keyboard-response","40","91538","0.0-9.0-1.15","qq4vn8","Sun Feb 07 2021 12:42:20 GMT+0100 (Central European Standard Time)","2021","2","7","12","42","20","mw73","47","male","right","62","70","73","4","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","41","91791","0.0-9.0-0.16","qq4vn8","Sun Feb 07 2021 12:42:20 GMT+0100 (Central European Standard Time)","2021","2","7","12","42","20","mw73","47","male","right","62","70","73","4","0","","","","","fixation","","","",""
