"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"3607.0000000000005","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","3611","0.0-0.0","jw4pgl","Wed Feb 17 2021 13:56:54 GMT+0100 (CET)","2021","2","17","13","56","54","s123","22","female","right","50","36","0","7","7","","","","","","","","",""
"3215","","","survey-text","1","6854","0.0-1.0","jw4pgl","Wed Feb 17 2021 13:56:54 GMT+0100 (CET)","2021","2","17","13","56","54","s123","22","female","right","50","36","0","7","7","{""Q0"":""s123""}","","","","","","","",""
"7087","","","survey-text","2","13948","0.0-2.0","jw4pgl","Wed Feb 17 2021 13:56:54 GMT+0100 (CET)","2021","2","17","13","56","54","s123","22","female","right","50","36","0","7","7","{""Q0"":""22""}","","","","","","","",""
"10611","","","survey-multi-select","3","24564","0.0-3.0","jw4pgl","Wed Feb 17 2021 13:56:54 GMT+0100 (CET)","2021","2","17","13","56","54","s123","22","female","right","50","36","0","7","7","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"5447","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","30013","0.0-4.0","jw4pgl","Wed Feb 17 2021 13:56:54 GMT+0100 (CET)","2021","2","17","13","56","54","s123","22","female","right","50","36","0","7","7","","","50","50","","","","",""
"4237","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","34251","0.0-5.0","jw4pgl","Wed Feb 17 2021 13:56:54 GMT+0100 (CET)","2021","2","17","13","56","54","s123","22","female","right","50","36","0","7","7","","","50","36","","","","",""
"3464","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","37717","0.0-6.0","jw4pgl","Wed Feb 17 2021 13:56:54 GMT+0100 (CET)","2021","2","17","13","56","54","s123","22","female","right","50","36","0","7","7","","","50","0","","","","",""
"16551","","","survey-multi-select","7","54287","0.0-7.0","jw4pgl","Wed Feb 17 2021 13:56:54 GMT+0100 (CET)","2021","2","17","13","56","54","s123","22","female","right","50","36","0","7","7","{""Sleep"":[""7""],""Eat"":[""7""]}","[0,1]","","","","","","",""
"5682","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","59972","0.0-8.0","jw4pgl","Wed Feb 17 2021 13:56:54 GMT+0100 (CET)","2021","2","17","13","56","54","s123","22","female","right","50","36","0","7","7","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","62226","0.0-9.0-0.0","jw4pgl","Wed Feb 17 2021 13:56:54 GMT+0100 (CET)","2021","2","17","13","56","54","s123","22","female","right","50","36","0","7","7","","","","","fixation","","","",""
"1355","img/image_stim_f.png","70","image-keyboard-response","10","63585","0.0-9.0-1.0","jw4pgl","Wed Feb 17 2021 13:56:54 GMT+0100 (CET)","2021","2","17","13","56","54","s123","22","female","right","50","36","0","7","7","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","64591","0.0-9.0-0.1","jw4pgl","Wed Feb 17 2021 13:56:54 GMT+0100 (CET)","2021","2","17","13","56","54","s123","22","female","right","50","36","0","7","7","","","","","fixation","","","",""
"778.0000000000073","img/image_stim_h_stroop.png","72","image-keyboard-response","12","65372","0.0-9.0-1.1","jw4pgl","Wed Feb 17 2021 13:56:54 GMT+0100 (CET)","2021","2","17","13","56","54","s123","22","female","right","50","36","0","7","7","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","67375","0.0-9.0-0.2","jw4pgl","Wed Feb 17 2021 13:56:54 GMT+0100 (CET)","2021","2","17","13","56","54","s123","22","female","right","50","36","0","7","7","","","","","fixation","","","",""
"905","img/image_stim_f_stroop.png","70","image-keyboard-response","14","68283","0.0-9.0-1.2","jw4pgl","Wed Feb 17 2021 13:56:54 GMT+0100 (CET)","2021","2","17","13","56","54","s123","22","female","right","50","36","0","7","7","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","69537","0.0-9.0-0.3","jw4pgl","Wed Feb 17 2021 13:56:54 GMT+0100 (CET)","2021","2","17","13","56","54","s123","22","female","right","50","36","0","7","7","","","","","fixation","","","",""
"620.9999999999854","img/image_stim_h.png","72","image-keyboard-response","16","70161","0.0-9.0-1.3","jw4pgl","Wed Feb 17 2021 13:56:54 GMT+0100 (CET)","2021","2","17","13","56","54","s123","22","female","right","50","36","0","7","7","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","71415","0.0-9.0-0.4","jw4pgl","Wed Feb 17 2021 13:56:54 GMT+0100 (CET)","2021","2","17","13","56","54","s123","22","female","right","50","36","0","7","7","","","","","fixation","","","",""
"722","img/image_stim_f.png","70","image-keyboard-response","18","72139","0.0-9.0-1.4","jw4pgl","Wed Feb 17 2021 13:56:54 GMT+0100 (CET)","2021","2","17","13","56","54","s123","22","female","right","50","36","0","7","7","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","74143","0.0-9.0-0.5","jw4pgl","Wed Feb 17 2021 13:56:54 GMT+0100 (CET)","2021","2","17","13","56","54","s123","22","female","right","50","36","0","7","7","","","","","fixation","","","",""
"1047.9999999999854","img/image_stim_f_stroop.png","70","image-keyboard-response","20","75222","0.0-9.0-1.5","jw4pgl","Wed Feb 17 2021 13:56:54 GMT+0100 (CET)","2021","2","17","13","56","54","s123","22","female","right","50","36","0","7","7","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","76977","0.0-9.0-0.6","jw4pgl","Wed Feb 17 2021 13:56:54 GMT+0100 (CET)","2021","2","17","13","56","54","s123","22","female","right","50","36","0","7","7","","","","","fixation","","","",""
"737","img/image_stim_h.png","72","image-keyboard-response","22","77716","0.0-9.0-1.6","jw4pgl","Wed Feb 17 2021 13:56:54 GMT+0100 (CET)","2021","2","17","13","56","54","s123","22","female","right","50","36","0","7","7","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","78470","0.0-9.0-0.7","jw4pgl","Wed Feb 17 2021 13:56:54 GMT+0100 (CET)","2021","2","17","13","56","54","s123","22","female","right","50","36","0","7","7","","","","","fixation","","","",""
