"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"944","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","948","0.0-0.0","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","","","","","","",""
"2256.0000000000005","","","survey-text","1","3214","0.0-1.0","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","{""Q0"":""s123""}","","","","","","","",""
"1383","","","survey-text","2","4604","0.0-2.0","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","{""Q0"":""22""}","","","","","","","",""
"3343","","","survey-multi-select","3","7951","0.0-3.0","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"2925","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","10881","0.0-4.0","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","50","72","","","","",""
"4814","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","15698","0.0-5.0","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","50","60","","","","",""
"2666","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","18368","0.0-6.0","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","50","100","","","","",""
"12304.999999999996","","","survey-multi-select","7","30690","0.0-7.0","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","{""Sleep"":[""9""],""Eat"":[""2""]}","[0,1]","","","","","","",""
"1700.9999999999964","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","32393","0.0-8.0","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","35148","0.0-9.0-0.0","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","","","fixation","","","",""
"1241","img/image_stim_f_stroop.png","70","image-keyboard-response","10","36392","0.0-9.0-1.0","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","37647","0.0-9.0-0.1","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","","","fixation","","","",""
"810","img/image_stim_h_stroop.png","72","image-keyboard-response","12","38459","0.0-9.0-1.1","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","39713","0.0-9.0-0.2","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","","","fixation","","","",""
"573","img/image_stim_h.png","72","image-keyboard-response","14","40289","0.0-9.0-1.2","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","41293","0.0-9.0-0.3","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","","","fixation","","","",""
"558","img/image_stim_f.png","70","image-keyboard-response","16","41853","0.0-9.0-1.3","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","43357","0.0-9.0-0.4","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","","","fixation","","","",""
"544","img/image_stim_f.png","70","image-keyboard-response","18","43903","0.0-9.0-1.4","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","45157","0.0-9.0-0.5","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","","","fixation","","","",""
"445","img/image_stim_h.png","72","image-keyboard-response","20","45610","0.0-9.0-1.5","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","46114","0.0-9.0-0.6","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","","","fixation","","","",""
"588","img/image_stim_f_stroop.png","70","image-keyboard-response","22","46704","0.0-9.0-1.6","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","47208","0.0-9.0-0.7","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","","","fixation","","","",""
"511","img/image_stim_h_stroop.png","72","image-keyboard-response","24","47721","0.0-9.0-1.7","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","49476","0.0-9.0-0.8","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","","","fixation","","","",""
"829","img/image_stim_f_stroop.png","70","image-keyboard-response","26","50306","0.0-9.0-1.8","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","51311","0.0-9.0-0.9","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","","","fixation","","","",""
"530","img/image_stim_h_stroop.png","72","image-keyboard-response","28","51842","0.0-9.0-1.9","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","29","52347","0.0-9.0-0.10","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","","","fixation","","","",""
"507","img/image_stim_h.png","72","image-keyboard-response","30","52857","0.0-9.0-1.10","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","31","53860","0.0-9.0-0.11","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","","","fixation","","","",""
"511","img/image_stim_f.png","70","image-keyboard-response","32","54373","0.0-9.0-1.11","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","33","55379","0.0-9.0-0.12","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","","","fixation","","","",""
"512","img/image_stim_h_stroop.png","70","image-keyboard-response","34","55892","0.0-9.0-1.12","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","","","test","happy","fear","h","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","35","56896","0.0-9.0-0.13","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","","","fixation","","","",""
"695","img/image_stim_f.png","70","image-keyboard-response","36","57592","0.0-9.0-1.13","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","37","58847","0.0-9.0-0.14","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","","","fixation","","","",""
"432","img/image_stim_h.png","72","image-keyboard-response","38","59312","0.0-9.0-1.14","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","39","59817","0.0-9.0-0.15","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","","","fixation","","","",""
"585","img/image_stim_f_stroop.png","70","image-keyboard-response","40","60403","0.0-9.0-1.15","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","41","60908","0.0-9.0-0.16","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","","","fixation","","","",""
"526","img/image_stim_f_stroop.png","70","image-keyboard-response","42","61435","0.0-9.0-1.16","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","43","62690","0.0-9.0-0.17","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","","","fixation","","","",""
"520","img/image_stim_f.png","70","image-keyboard-response","44","63215","0.0-9.0-1.17","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","45","64969","0.0-9.0-0.18","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","","","fixation","","","",""
"604","img/image_stim_h.png","72","image-keyboard-response","46","65575","0.0-9.0-1.18","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","47","66829","0.0-9.0-0.19","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","","","fixation","","","",""
"504","img/image_stim_h_stroop.png","72","image-keyboard-response","48","67335","0.0-9.0-1.19","ns4e4c","Wed Feb 17 2021 16:09:57 GMT+0100 (CET)","2021","2","17","16","9","57","s123","22","female","right","72","60","100","9","2","","","","","test","happy","fear","h","true"
