"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"2841","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","2844","0.0-0.0","sz5glk","Thu Feb 18 2021 00:47:48 GMT+0100 (CET)","2021","2","18","0","47","48","s123","22","female","right","69","33","96","18","4","","","","","","","","",""
"2564","","","survey-text","1","5438","0.0-1.0","sz5glk","Thu Feb 18 2021 00:47:48 GMT+0100 (CET)","2021","2","18","0","47","48","s123","22","female","right","69","33","96","18","4","{""Q0"":""s123""}","","","","","","","",""
"1384","","","survey-text","2","6829","0.0-2.0","sz5glk","Thu Feb 18 2021 00:47:48 GMT+0100 (CET)","2021","2","18","0","47","48","s123","22","female","right","69","33","96","18","4","{""Q0"":""22""}","","","","","","","",""
"3741","","","survey-multi-select","3","10576","0.0-3.0","sz5glk","Thu Feb 18 2021 00:47:48 GMT+0100 (CET)","2021","2","18","0","47","48","s123","22","female","right","69","33","96","18","4","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"2932.000000000002","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","13511","0.0-4.0","sz5glk","Thu Feb 18 2021 00:47:48 GMT+0100 (CET)","2021","2","18","0","47","48","s123","22","female","right","69","33","96","18","4","","","50","69","","","","",""
"17814","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","31327","0.0-5.0","sz5glk","Thu Feb 18 2021 00:47:48 GMT+0100 (CET)","2021","2","18","0","47","48","s123","22","female","right","69","33","96","18","4","","","50","33","","","","",""
"9455","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","40787","0.0-6.0","sz5glk","Thu Feb 18 2021 00:47:48 GMT+0100 (CET)","2021","2","18","0","47","48","s123","22","female","right","69","33","96","18","4","","","50","96","","","","",""
"38331","","","survey-multi-select","7","79139","0.0-7.0","sz5glk","Thu Feb 18 2021 00:47:48 GMT+0100 (CET)","2021","2","18","0","47","48","s123","22","female","right","69","33","96","18","4","{""Sleep"":[""18""],""Eat"":[""4""]}","[0,1]","","","","","","",""
"4184","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","83326","0.0-8.0","sz5glk","Thu Feb 18 2021 00:47:48 GMT+0100 (CET)","2021","2","18","0","47","48","s123","22","female","right","69","33","96","18","4","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","86830","0.0-9.0-0.0","sz5glk","Thu Feb 18 2021 00:47:48 GMT+0100 (CET)","2021","2","18","0","47","48","s123","22","female","right","69","33","96","18","4","","","","","fixation","","","",""
