"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"698506","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","1643685","0.0-0.0","jx5dol","Thu Feb 18 2021 03:47:49 GMT+0900 (KST)","2021","2","18","3","47","49","sc12","21, 20","female","right","50","50","36","10","6","","","","","","","","",""
"3932","","","survey-text","1","1647632","0.0-1.0","jx5dol","Thu Feb 18 2021 03:47:49 GMT+0900 (KST)","2021","2","18","3","47","49","sc12","21, 20","female","right","50","50","36","10","6","{""Q0"":""sc12""}","","","","","","","",""
"9152","","","survey-text","2","1656788","0.0-2.0","jx5dol","Thu Feb 18 2021 03:47:49 GMT+0900 (KST)","2021","2","18","3","47","49","sc12","21, 20","female","right","50","50","36","10","6","{""Q0"":""21, 20""}","","","","","","","",""
"5213","","","survey-multi-select","3","1662002","0.0-3.0","jx5dol","Thu Feb 18 2021 03:47:49 GMT+0900 (KST)","2021","2","18","3","47","49","sc12","21, 20","female","right","50","50","36","10","6","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"2838.9999999998836","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","1664845","0.0-4.0","jx5dol","Thu Feb 18 2021 03:47:49 GMT+0900 (KST)","2021","2","18","3","47","49","sc12","21, 20","female","right","50","50","36","10","6","","","50","50","","","","",""
"8964","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","1673809","0.0-5.0","jx5dol","Thu Feb 18 2021 03:47:49 GMT+0900 (KST)","2021","2","18","3","47","49","sc12","21, 20","female","right","50","50","36","10","6","","","50","50","","","","",""
"9299","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","1683111","0.0-6.0","jx5dol","Thu Feb 18 2021 03:47:49 GMT+0900 (KST)","2021","2","18","3","47","49","sc12","21, 20","female","right","50","50","36","10","6","","","50","36","","","","",""
"26948.999999999884","","","survey-multi-select","7","1710071","0.0-7.0","jx5dol","Thu Feb 18 2021 03:47:49 GMT+0900 (KST)","2021","2","18","3","47","49","sc12","21, 20","female","right","50","50","36","10","6","{""Sleep"":[""10""],""Eat"":[""6""]}","[0,1]","","","","","","",""
"5987","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","1716059","0.0-8.0","jx5dol","Thu Feb 18 2021 03:47:49 GMT+0900 (KST)","2021","2","18","3","47","49","sc12","21, 20","female","right","50","50","36","10","6","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","1719813","0.0-9.0-0.0","jx5dol","Thu Feb 18 2021 03:47:49 GMT+0900 (KST)","2021","2","18","3","47","49","sc12","21, 20","female","right","50","50","36","10","6","","","","","fixation","","","",""
