"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"14357.414999976754","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","14360","0.0-0.0","qcg0uq","Thu Feb 11 2021 11:10:37 GMT+0100 (Central European Standard Time)","2021","2","11","11","10","37","sh19","22","male","right","69","100","89","10","1","","","","","","","","",""
"229185.4249999742","","","survey-text","1","243549","0.0-1.0","qcg0uq","Thu Feb 11 2021 11:10:37 GMT+0100 (Central European Standard Time)","2021","2","11","11","10","37","sh19","22","male","right","69","100","89","10","1","{""Q0"":""sh19""}","","","","","","","",""
"2712.615000025835","","","survey-text","2","246264","0.0-2.0","qcg0uq","Thu Feb 11 2021 11:10:37 GMT+0100 (Central European Standard Time)","2021","2","11","11","10","37","sh19","22","male","right","69","100","89","10","1","{""Q0"":""22""}","","","","","","","",""
"2657.3450000141747","","","survey-multi-select","3","248923","0.0-3.0","qcg0uq","Thu Feb 11 2021 11:10:37 GMT+0100 (Central European Standard Time)","2021","2","11","11","10","37","sh19","22","male","right","69","100","89","10","1","{""Gender"":[""male""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"6317.785000021104","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","255245","0.0-4.0","qcg0uq","Thu Feb 11 2021 11:10:37 GMT+0100 (Central European Standard Time)","2021","2","11","11","10","37","sh19","22","male","right","69","100","89","10","1","","","50","69","","","","",""
"7856.840000022203","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","263102","0.0-5.0","qcg0uq","Thu Feb 11 2021 11:10:37 GMT+0100 (Central European Standard Time)","2021","2","11","11","10","37","sh19","22","male","right","69","100","89","10","1","","","50","100","","","","",""
"6587.304999993648","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","269690","0.0-6.0","qcg0uq","Thu Feb 11 2021 11:10:37 GMT+0100 (Central European Standard Time)","2021","2","11","11","10","37","sh19","22","male","right","69","100","89","10","1","","","50","89","","","","",""
"20716.929999995045","","","survey-multi-select","7","290419","0.0-7.0","qcg0uq","Thu Feb 11 2021 11:10:37 GMT+0100 (Central European Standard Time)","2021","2","11","11","10","37","sh19","22","male","right","69","100","89","10","1","{""Sleep"":[""10""],""Eat"":[""1""]}","[0,1]","","","","","","",""
"28512.27500004461","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","318935","0.0-8.0","qcg0uq","Thu Feb 11 2021 11:10:37 GMT+0100 (Central European Standard Time)","2021","2","11","11","10","37","sh19","22","male","right","69","100","89","10","1","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","321694","0.0-9.0-0.0","qcg0uq","Thu Feb 11 2021 11:10:37 GMT+0100 (Central European Standard Time)","2021","2","11","11","10","37","sh19","22","male","right","69","100","89","10","1","","","","","fixation","","","",""
