"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"16053.079999997863","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","16055","0.0-0.0","p3cd7x","Tue Feb 16 2021 11:45:02 GMT+0100 (Central European Standard Time)","2021","2","16","11","45","2","sw22","22","female","right","37","39","100","4","0","","","","","","","","",""
"12453.294999999343","","","survey-text","1","28515","0.0-1.0","p3cd7x","Tue Feb 16 2021 11:45:02 GMT+0100 (Central European Standard Time)","2021","2","16","11","45","2","sw22","22","female","right","37","39","100","4","0","{""Q0"":""sw22""}","","","","","","","",""
"3457.2899999911897","","","survey-text","2","31974","0.0-2.0","p3cd7x","Tue Feb 16 2021 11:45:02 GMT+0100 (Central European Standard Time)","2021","2","16","11","45","2","sw22","22","female","right","37","39","100","4","0","{""Q0"":""22""}","","","","","","","",""
"3544.754999995348","","","survey-multi-select","3","35521","0.0-3.0","p3cd7x","Tue Feb 16 2021 11:45:02 GMT+0100 (Central European Standard Time)","2021","2","16","11","45","2","sw22","22","female","right","37","39","100","4","0","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"5240.409999998519","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","40767","0.0-4.0","p3cd7x","Tue Feb 16 2021 11:45:02 GMT+0100 (Central European Standard Time)","2021","2","16","11","45","2","sw22","22","female","right","37","39","100","4","0","","","50","37","","","","",""
"6262.49999999709","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","47031","0.0-5.0","p3cd7x","Tue Feb 16 2021 11:45:02 GMT+0100 (Central European Standard Time)","2021","2","16","11","45","2","sw22","22","female","right","37","39","100","4","0","","","50","39","","","","",""
"2720.999999990454","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","49754","0.0-6.0","p3cd7x","Tue Feb 16 2021 11:45:02 GMT+0100 (Central European Standard Time)","2021","2","16","11","45","2","sw22","22","female","right","37","39","100","4","0","","","50","100","","","","",""
"20258.205000005546","","","survey-multi-select","7","70030","0.0-7.0","p3cd7x","Tue Feb 16 2021 11:45:02 GMT+0100 (Central European Standard Time)","2021","2","16","11","45","2","sw22","22","female","right","37","39","100","4","0","{""Sleep"":[""4""],""Eat"":[""0""]}","[0,1]","","","","","","",""
"24500.545000002603","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","94535","0.0-8.0","p3cd7x","Tue Feb 16 2021 11:45:02 GMT+0100 (Central European Standard Time)","2021","2","16","11","45","2","sw22","22","female","right","37","39","100","4","0","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","98042","0.0-9.0-0.0","p3cd7x","Tue Feb 16 2021 11:45:02 GMT+0100 (Central European Standard Time)","2021","2","16","11","45","2","sw22","22","female","right","37","39","100","4","0","","","","","fixation","","","",""
"1575.540000005276","img/image_stim_h_stroop.png","72","image-keyboard-response","10","99629","0.0-9.0-1.0","p3cd7x","Tue Feb 16 2021 11:45:02 GMT+0100 (Central European Standard Time)","2021","2","16","11","45","2","sw22","22","female","right","37","39","100","4","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","100134","0.0-9.0-0.1","p3cd7x","Tue Feb 16 2021 11:45:02 GMT+0100 (Central European Standard Time)","2021","2","16","11","45","2","sw22","22","female","right","37","39","100","4","0","","","","","fixation","","","",""
"497.88000000989996","img/image_stim_h.png","72","image-keyboard-response","12","100634","0.0-9.0-1.1","p3cd7x","Tue Feb 16 2021 11:45:02 GMT+0100 (Central European Standard Time)","2021","2","16","11","45","2","sw22","22","female","right","37","39","100","4","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","102143","0.0-9.0-0.2","p3cd7x","Tue Feb 16 2021 11:45:02 GMT+0100 (Central European Standard Time)","2021","2","16","11","45","2","sw22","22","female","right","37","39","100","4","0","","","","","fixation","","","",""
"570.2100000053179","img/image_stim_f.png","70","image-keyboard-response","14","102716","0.0-9.0-1.2","p3cd7x","Tue Feb 16 2021 11:45:02 GMT+0100 (Central European Standard Time)","2021","2","16","11","45","2","sw22","22","female","right","37","39","100","4","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","103220","0.0-9.0-0.3","p3cd7x","Tue Feb 16 2021 11:45:02 GMT+0100 (Central European Standard Time)","2021","2","16","11","45","2","sw22","22","female","right","37","39","100","4","0","","","","","fixation","","","",""
"411.12499999871943","img/image_stim_f_stroop.png","70","image-keyboard-response","16","103634","0.0-9.0-1.3","p3cd7x","Tue Feb 16 2021 11:45:02 GMT+0100 (Central European Standard Time)","2021","2","16","11","45","2","sw22","22","female","right","37","39","100","4","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","105390","0.0-9.0-0.4","p3cd7x","Tue Feb 16 2021 11:45:02 GMT+0100 (Central European Standard Time)","2021","2","16","11","45","2","sw22","22","female","right","37","39","100","4","0","","","","","fixation","","","",""
"451.70499999949243","img/image_stim_h_stroop.png","72","image-keyboard-response","18","105844","0.0-9.0-1.4","p3cd7x","Tue Feb 16 2021 11:45:02 GMT+0100 (Central European Standard Time)","2021","2","16","11","45","2","sw22","22","female","right","37","39","100","4","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","107850","0.0-9.0-0.5","p3cd7x","Tue Feb 16 2021 11:45:02 GMT+0100 (Central European Standard Time)","2021","2","16","11","45","2","sw22","22","female","right","37","39","100","4","0","","","","","fixation","","","",""
"479.5450000092387","img/image_stim_h.png","72","image-keyboard-response","20","108333","0.0-9.0-1.5","p3cd7x","Tue Feb 16 2021 11:45:02 GMT+0100 (Central European Standard Time)","2021","2","16","11","45","2","sw22","22","female","right","37","39","100","4","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","109339","0.0-9.0-0.6","p3cd7x","Tue Feb 16 2021 11:45:02 GMT+0100 (Central European Standard Time)","2021","2","16","11","45","2","sw22","22","female","right","37","39","100","4","0","","","","","fixation","","","",""
"684.369999988121","img/image_stim_f_stroop.png","70","image-keyboard-response","22","110026","0.0-9.0-1.6","p3cd7x","Tue Feb 16 2021 11:45:02 GMT+0100 (Central European Standard Time)","2021","2","16","11","45","2","sw22","22","female","right","37","39","100","4","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","111783","0.0-9.0-0.7","p3cd7x","Tue Feb 16 2021 11:45:02 GMT+0100 (Central European Standard Time)","2021","2","16","11","45","2","sw22","22","female","right","37","39","100","4","0","","","","","fixation","","","",""
"504.54000000900123","img/image_stim_f.png","70","image-keyboard-response","24","112290","0.0-9.0-1.7","p3cd7x","Tue Feb 16 2021 11:45:02 GMT+0100 (Central European Standard Time)","2021","2","16","11","45","2","sw22","22","female","right","37","39","100","4","0","","","","","test","fear","fear","f","true"
