"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"44138","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","44145","0.0-0.0","5wtlaa","Wed Feb 10 2021 08:45:14 GMT+0100 (CET)","2021","2","10","8","45","14","tx12","20","female","right","50","27","0","0","13","","","","","","","","",""
"4442.999999999993","","","survey-text","1","48617","0.0-1.0","5wtlaa","Wed Feb 10 2021 08:45:14 GMT+0100 (CET)","2021","2","10","8","45","14","tx12","20","female","right","50","27","0","0","13","{""Q0"":""tx12""}","","","","","","","",""
"2843","","","survey-text","2","51464","0.0-2.0","5wtlaa","Wed Feb 10 2021 08:45:14 GMT+0100 (CET)","2021","2","10","8","45","14","tx12","20","female","right","50","27","0","0","13","{""Q0"":""20""}","","","","","","","",""
"4921","","","survey-multi-select","3","56388","0.0-3.0","5wtlaa","Wed Feb 10 2021 08:45:14 GMT+0100 (CET)","2021","2","10","8","45","14","tx12","20","female","right","50","27","0","0","13","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"9294","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","65687","0.0-4.0","5wtlaa","Wed Feb 10 2021 08:45:14 GMT+0100 (CET)","2021","2","10","8","45","14","tx12","20","female","right","50","27","0","0","13","","","50","50","","","","",""
"11980","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","77668","0.0-5.0","5wtlaa","Wed Feb 10 2021 08:45:14 GMT+0100 (CET)","2021","2","10","8","45","14","tx12","20","female","right","50","27","0","0","13","","","50","27","","","","",""
"2438","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","80108","0.0-6.0","5wtlaa","Wed Feb 10 2021 08:45:14 GMT+0100 (CET)","2021","2","10","8","45","14","tx12","20","female","right","50","27","0","0","13","","","50","0","","","","",""
"32780","","","survey-multi-select","7","112897","0.0-7.0","5wtlaa","Wed Feb 10 2021 08:45:14 GMT+0100 (CET)","2021","2","10","8","45","14","tx12","20","female","right","50","27","0","0","13","{""Sleep"":[""0""],""Eat"":[""13""]}","[0,1]","","","","","","",""
"34651.999999999985","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","147556","0.0-8.0","5wtlaa","Wed Feb 10 2021 08:45:14 GMT+0100 (CET)","2021","2","10","8","45","14","tx12","20","female","right","50","27","0","0","13","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","150558","0.0-9.0-0.0","5wtlaa","Wed Feb 10 2021 08:45:14 GMT+0100 (CET)","2021","2","10","8","45","14","tx12","20","female","right","50","27","0","0","13","","","","","fixation","","","",""
"1395","img/image_stim_h_stroop.png","72","image-keyboard-response","10","151958","0.0-9.0-1.0","5wtlaa","Wed Feb 10 2021 08:45:14 GMT+0100 (CET)","2021","2","10","8","45","14","tx12","20","female","right","50","27","0","0","13","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","152214","0.0-9.0-0.1","5wtlaa","Wed Feb 10 2021 08:45:14 GMT+0100 (CET)","2021","2","10","8","45","14","tx12","20","female","right","50","27","0","0","13","","","","","fixation","","","",""
"1078","img/image_stim_f_stroop.png","70","image-keyboard-response","12","153295","0.0-9.0-1.1","5wtlaa","Wed Feb 10 2021 08:45:14 GMT+0100 (CET)","2021","2","10","8","45","14","tx12","20","female","right","50","27","0","0","13","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","154547","0.0-9.0-0.2","5wtlaa","Wed Feb 10 2021 08:45:14 GMT+0100 (CET)","2021","2","10","8","45","14","tx12","20","female","right","50","27","0","0","13","","","","","fixation","","","",""
"826","img/image_stim_h.png","72","image-keyboard-response","14","155376","0.0-9.0-1.2","5wtlaa","Wed Feb 10 2021 08:45:14 GMT+0100 (CET)","2021","2","10","8","45","14","tx12","20","female","right","50","27","0","0","13","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","156128","0.0-9.0-0.3","5wtlaa","Wed Feb 10 2021 08:45:14 GMT+0100 (CET)","2021","2","10","8","45","14","tx12","20","female","right","50","27","0","0","13","","","","","fixation","","","",""
"745","img/image_stim_f.png","70","image-keyboard-response","16","156876","0.0-9.0-1.3","5wtlaa","Wed Feb 10 2021 08:45:14 GMT+0100 (CET)","2021","2","10","8","45","14","tx12","20","female","right","50","27","0","0","13","","","","","test","fear","fear","f","true"
