"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"31276.999999999996","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","31284","0.0-0.0","k8vv1y","Sat Feb 13 2021 11:18:42 GMT+0100 (CET)","2021","2","13","11","18","42","tx12","20","female","right","62","65","100","1","0","","","","","","","","",""
"6588","","","survey-text","1","37933","0.0-1.0","k8vv1y","Sat Feb 13 2021 11:18:42 GMT+0100 (CET)","2021","2","13","11","18","42","tx12","20","female","right","62","65","100","1","0","{""Q0"":""tx12""}","","","","","","","",""
"3207","","","survey-text","2","41149","0.0-2.0","k8vv1y","Sat Feb 13 2021 11:18:42 GMT+0100 (CET)","2021","2","13","11","18","42","tx12","20","female","right","62","65","100","1","0","{""Q0"":""20""}","","","","","","","",""
"4288","","","survey-multi-select","3","45443","0.0-3.0","k8vv1y","Sat Feb 13 2021 11:18:42 GMT+0100 (CET)","2021","2","13","11","18","42","tx12","20","female","right","62","65","100","1","0","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"4937.999999999993","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","50390","0.0-4.0","k8vv1y","Sat Feb 13 2021 11:18:42 GMT+0100 (CET)","2021","2","13","11","18","42","tx12","20","female","right","62","65","100","1","0","","","50","62","","","","",""
"9041","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","59432","0.0-5.0","k8vv1y","Sat Feb 13 2021 11:18:42 GMT+0100 (CET)","2021","2","13","11","18","42","tx12","20","female","right","62","65","100","1","0","","","50","65","","","","",""
"2605","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","62039","0.0-6.0","k8vv1y","Sat Feb 13 2021 11:18:42 GMT+0100 (CET)","2021","2","13","11","18","42","tx12","20","female","right","62","65","100","1","0","","","50","100","","","","",""
"11139","","","survey-multi-select","7","73198","0.0-7.0","k8vv1y","Sat Feb 13 2021 11:18:42 GMT+0100 (CET)","2021","2","13","11","18","42","tx12","20","female","right","62","65","100","1","0","{""Sleep"":[""1""],""Eat"":[""0""]}","[0,1]","","","","","","",""
"6636","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","79845","0.0-8.0","k8vv1y","Sat Feb 13 2021 11:18:42 GMT+0100 (CET)","2021","2","13","11","18","42","tx12","20","female","right","62","65","100","1","0","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","82099","0.0-9.0-0.0","k8vv1y","Sat Feb 13 2021 11:18:42 GMT+0100 (CET)","2021","2","13","11","18","42","tx12","20","female","right","62","65","100","1","0","","","","","fixation","","","",""
