"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"4779","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","4782","0.0-0.0","ms7rgz","Wed Feb 10 2021 17:53:48 GMT+0100 (CET)","2021","2","10","17","53","48","tx12","20","female","right","75","36","46","10","2","","","","","","","","",""
"5342","","","survey-text","1","10149","0.0-1.0","ms7rgz","Wed Feb 10 2021 17:53:48 GMT+0100 (CET)","2021","2","10","17","53","48","tx12","20","female","right","75","36","46","10","2","{""Q0"":""tx12""}","","","","","","","",""
"2437.000000000002","","","survey-text","2","12593","0.0-2.0","ms7rgz","Wed Feb 10 2021 17:53:48 GMT+0100 (CET)","2021","2","10","17","53","48","tx12","20","female","right","75","36","46","10","2","{""Q0"":""20""}","","","","","","","",""
"4865","","","survey-multi-select","3","17469","0.0-3.0","ms7rgz","Wed Feb 10 2021 17:53:48 GMT+0100 (CET)","2021","2","10","17","53","48","tx12","20","female","right","75","36","46","10","2","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"11878","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","29356","0.0-4.0","ms7rgz","Wed Feb 10 2021 17:53:48 GMT+0100 (CET)","2021","2","10","17","53","48","tx12","20","female","right","75","36","46","10","2","","","50","75","","","","",""
"7874.999999999996","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","37232","0.0-5.0","ms7rgz","Wed Feb 10 2021 17:53:48 GMT+0100 (CET)","2021","2","10","17","53","48","tx12","20","female","right","75","36","46","10","2","","","50","36","","","","",""
"10144.000000000007","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","47379","0.0-6.0","ms7rgz","Wed Feb 10 2021 17:53:48 GMT+0100 (CET)","2021","2","10","17","53","48","tx12","20","female","right","75","36","46","10","2","","","50","46","","","","",""
"50973","","","survey-multi-select","7","98377","0.0-7.0","ms7rgz","Wed Feb 10 2021 17:53:48 GMT+0100 (CET)","2021","2","10","17","53","48","tx12","20","female","right","75","36","46","10","2","{""Sleep"":[""10""],""Eat"":[""2""]}","[0,1]","","","","","","",""
"12565.000000000015","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","110951","0.0-8.0","ms7rgz","Wed Feb 10 2021 17:53:48 GMT+0100 (CET)","2021","2","10","17","53","48","tx12","20","female","right","75","36","46","10","2","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","114205","0.0-9.0-0.0","ms7rgz","Wed Feb 10 2021 17:53:48 GMT+0100 (CET)","2021","2","10","17","53","48","tx12","20","female","right","75","36","46","10","2","","","","","fixation","","","",""
"913","img/image_stim_h.png","72","image-keyboard-response","10","115130","0.0-9.0-1.0","ms7rgz","Wed Feb 10 2021 17:53:48 GMT+0100 (CET)","2021","2","10","17","53","48","tx12","20","female","right","75","36","46","10","2","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","116640","0.0-9.0-0.1","ms7rgz","Wed Feb 10 2021 17:53:48 GMT+0100 (CET)","2021","2","10","17","53","48","tx12","20","female","right","75","36","46","10","2","","","","","fixation","","","",""
"667","img/image_stim_f.png","70","image-keyboard-response","12","117313","0.0-9.0-1.1","ms7rgz","Wed Feb 10 2021 17:53:48 GMT+0100 (CET)","2021","2","10","17","53","48","tx12","20","female","right","75","36","46","10","2","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","118818","0.0-9.0-0.2","ms7rgz","Wed Feb 10 2021 17:53:48 GMT+0100 (CET)","2021","2","10","17","53","48","tx12","20","female","right","75","36","46","10","2","","","","","fixation","","","",""
"1289","img/image_stim_h_stroop.png","70","image-keyboard-response","14","120113","0.0-9.0-1.2","ms7rgz","Wed Feb 10 2021 17:53:48 GMT+0100 (CET)","2021","2","10","17","53","48","tx12","20","female","right","75","36","46","10","2","","","","","test","happy","fear","h","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","121868","0.0-9.0-0.3","ms7rgz","Wed Feb 10 2021 17:53:48 GMT+0100 (CET)","2021","2","10","17","53","48","tx12","20","female","right","75","36","46","10","2","","","","","fixation","","","",""
"1210","img/image_stim_f_stroop.png","70","image-keyboard-response","16","123083","0.0-9.0-1.3","ms7rgz","Wed Feb 10 2021 17:53:48 GMT+0100 (CET)","2021","2","10","17","53","48","tx12","20","female","right","75","36","46","10","2","","","","","test","fear","happy","f","true"
