"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"2728","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","2732","0.0-0.0","t4uz4n","Sat Feb 13 2021 02:00:38 GMT+0100 (CET)","2021","2","13","2","0","38","tx12","20","female","right","50","0","50","19","4","","","","","","","","",""
"17026","","","survey-text","1","19787","0.0-1.0","t4uz4n","Sat Feb 13 2021 02:00:38 GMT+0100 (CET)","2021","2","13","2","0","38","tx12","20","female","right","50","0","50","19","4","{""Q0"":""tx12""}","","","","","","","",""
"2232","","","survey-text","2","22022","0.0-2.0","t4uz4n","Sat Feb 13 2021 02:00:38 GMT+0100 (CET)","2021","2","13","2","0","38","tx12","20","female","right","50","0","50","19","4","{""Q0"":""20""}","","","","","","","",""
"3510.9999999999964","","","survey-multi-select","3","25537","0.0-3.0","t4uz4n","Sat Feb 13 2021 02:00:38 GMT+0100 (CET)","2021","2","13","2","0","38","tx12","20","female","right","50","0","50","19","4","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"3902","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","29444","0.0-4.0","t4uz4n","Sat Feb 13 2021 02:00:38 GMT+0100 (CET)","2021","2","13","2","0","38","tx12","20","female","right","50","0","50","19","4","","","50","50","","","","",""
"2939","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","32385","0.0-5.0","t4uz4n","Sat Feb 13 2021 02:00:38 GMT+0100 (CET)","2021","2","13","2","0","38","tx12","20","female","right","50","0","50","19","4","","","50","0","","","","",""
"3324","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","35711","0.0-6.0","t4uz4n","Sat Feb 13 2021 02:00:38 GMT+0100 (CET)","2021","2","13","2","0","38","tx12","20","female","right","50","0","50","19","4","","","50","50","","","","",""
"120391","","","survey-multi-select","7","156122","0.0-7.0","t4uz4n","Sat Feb 13 2021 02:00:38 GMT+0100 (CET)","2021","2","13","2","0","38","tx12","20","female","right","50","0","50","19","4","{""Sleep"":[""19""],""Eat"":[""4""]}","[0,1]","","","","","","",""
"6843","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","162974","0.0-8.0","t4uz4n","Sat Feb 13 2021 02:00:38 GMT+0100 (CET)","2021","2","13","2","0","38","tx12","20","female","right","50","0","50","19","4","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","165477","0.0-9.0-0.0","t4uz4n","Sat Feb 13 2021 02:00:38 GMT+0100 (CET)","2021","2","13","2","0","38","tx12","20","female","right","50","0","50","19","4","","","","","fixation","","","",""
