"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"37777.17500000017","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","72","html-keyboard-response","0","37781","0.0-0.0","4506xq","Tue Feb 16 2021 19:04:09 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","19","4","9","uc11","21","male","right","67","74","97","11","0","","","","","","","","",""
"5039.324999999735","","","survey-text","1","42835","0.0-1.0","4506xq","Tue Feb 16 2021 19:04:09 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","19","4","9","uc11","21","male","right","67","74","97","11","0","{""Q0"":""uc11""}","","","","","","","",""
"2749.1799999997966","","","survey-text","2","45587","0.0-2.0","4506xq","Tue Feb 16 2021 19:04:09 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","19","4","9","uc11","21","male","right","67","74","97","11","0","{""Q0"":""21""}","","","","","","","",""
"4327.615000000151","","","survey-multi-select","3","49917","0.0-3.0","4506xq","Tue Feb 16 2021 19:04:09 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","19","4","9","uc11","21","male","right","67","74","97","11","0","{""Gender"":[""male""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"31740.01000000044","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","81659","0.0-4.0","4506xq","Tue Feb 16 2021 19:04:09 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","19","4","9","uc11","21","male","right","67","74","97","11","0","","","50","67","","","","",""
"20740.284999999858","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","102401","0.0-5.0","4506xq","Tue Feb 16 2021 19:04:09 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","19","4","9","uc11","21","male","right","67","74","97","11","0","","","50","74","","","","",""
"7190.549999999348","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","109592","0.0-6.0","4506xq","Tue Feb 16 2021 19:04:09 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","19","4","9","uc11","21","male","right","67","74","97","11","0","","","50","97","","","","",""
"138690.17499999973","","","survey-multi-select","7","248295","0.0-7.0","4506xq","Tue Feb 16 2021 19:04:09 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","19","4","9","uc11","21","male","right","67","74","97","11","0","{""Sleep"":[""11""],""Eat"":[""0""]}","[0,1]","","","","","","",""
"3726.785000000731","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","72","html-keyboard-response","8","252024","0.0-8.0","4506xq","Tue Feb 16 2021 19:04:09 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","19","4","9","uc11","21","male","right","67","74","97","11","0","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","255028","0.0-9.0-0.0","4506xq","Tue Feb 16 2021 19:04:09 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","19","4","9","uc11","21","male","right","67","74","97","11","0","","","","","fixation","","","",""
"590.8849999996019","img/image_stim_f_stroop.png","70","image-keyboard-response","10","255650","0.0-9.0-1.0","4506xq","Tue Feb 16 2021 19:04:09 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","19","4","9","uc11","21","male","right","67","74","97","11","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","256910","0.0-9.0-0.1","4506xq","Tue Feb 16 2021 19:04:09 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","19","4","9","uc11","21","male","right","67","74","97","11","0","","","","","fixation","","","",""
"382.3750000001164","img/image_stim_f.png","70","image-keyboard-response","12","257295","0.0-9.0-1.1","4506xq","Tue Feb 16 2021 19:04:09 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","19","4","9","uc11","21","male","right","67","74","97","11","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","258801","0.0-9.0-0.2","4506xq","Tue Feb 16 2021 19:04:09 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","19","4","9","uc11","21","male","right","67","74","97","11","0","","","","","fixation","","","",""
"395.3250000004191","img/image_stim_h_stroop.png","72","image-keyboard-response","14","259199","0.0-9.0-1.2","4506xq","Tue Feb 16 2021 19:04:09 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","19","4","9","uc11","21","male","right","67","74","97","11","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","261206","0.0-9.0-0.3","4506xq","Tue Feb 16 2021 19:04:09 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","19","4","9","uc11","21","male","right","67","74","97","11","0","","","","","fixation","","","",""
"441.3100000001723","img/image_stim_h.png","72","image-keyboard-response","16","261650","0.0-9.0-1.3","4506xq","Tue Feb 16 2021 19:04:09 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","19","4","9","uc11","21","male","right","67","74","97","11","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","263407","0.0-9.0-0.4","4506xq","Tue Feb 16 2021 19:04:09 GMT+0100 (Centraleuropæisk normaltid)","2021","2","16","19","4","9","uc11","21","male","right","67","74","97","11","0","","","","","fixation","","","",""
