"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"6620.855000015581","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","6623","0.0-0.0","q0bl2n","Sat Feb 13 2021 02:01:02 GMT+0100 (Centraleuropæisk normaltid)","2021","2","13","2","1","2","uc11","21","male","right","50","17","96","18","4","","","","","","","","",""
"5741.455000010319","","","survey-text","1","12371","0.0-1.0","q0bl2n","Sat Feb 13 2021 02:01:02 GMT+0100 (Centraleuropæisk normaltid)","2021","2","13","2","1","2","uc11","21","male","right","50","17","96","18","4","{""Q0"":""uc11""}","","","","","","","",""
"3507.400000002235","","","survey-text","2","15880","0.0-2.0","q0bl2n","Sat Feb 13 2021 02:01:02 GMT+0100 (Centraleuropæisk normaltid)","2021","2","13","2","1","2","uc11","21","male","right","50","17","96","18","4","{""Q0"":""21""}","","","","","","","",""
"7402.895000006538","","","survey-multi-select","3","23286","0.0-3.0","q0bl2n","Sat Feb 13 2021 02:01:02 GMT+0100 (Centraleuropæisk normaltid)","2021","2","13","2","1","2","uc11","21","male","right","50","17","96","18","4","{""Gender"":[""male""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"23458.17500000703","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","46746","0.0-4.0","q0bl2n","Sat Feb 13 2021 02:01:02 GMT+0100 (Centraleuropæisk normaltid)","2021","2","13","2","1","2","uc11","21","male","right","50","17","96","18","4","","","50","50","","","","",""
"28792.110000009416","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","75540","0.0-5.0","q0bl2n","Sat Feb 13 2021 02:01:02 GMT+0100 (Centraleuropæisk normaltid)","2021","2","13","2","1","2","uc11","21","male","right","50","17","96","18","4","","","50","17","","","","",""
"17370.934999984456","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","92912","0.0-6.0","q0bl2n","Sat Feb 13 2021 02:01:02 GMT+0100 (Centraleuropæisk normaltid)","2021","2","13","2","1","2","uc11","21","male","right","50","17","96","18","4","","","50","96","","","","",""
"187913.40499999933","","","survey-multi-select","7","280839","0.0-7.0","q0bl2n","Sat Feb 13 2021 02:01:02 GMT+0100 (Centraleuropæisk normaltid)","2021","2","13","2","1","2","uc11","21","male","right","50","17","96","18","4","{""Sleep"":[""18""],""Eat"":[""4""]}","[0,1]","","","","","","",""
"16436.06499998714","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","297277","0.0-8.0","q0bl2n","Sat Feb 13 2021 02:01:02 GMT+0100 (Centraleuropæisk normaltid)","2021","2","13","2","1","2","uc11","21","male","right","50","17","96","18","4","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","300032","0.0-9.0-0.0","q0bl2n","Sat Feb 13 2021 02:01:02 GMT+0100 (Centraleuropæisk normaltid)","2021","2","13","2","1","2","uc11","21","male","right","50","17","96","18","4","","","","","fixation","","","",""
