"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"1136.6050000069663","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","1140","0.0-0.0","eqxdw5","Wed Feb 17 2021 16:56:52 GMT+0100 (Central European Standard Time)","2021","2","17","16","56","52","um12","19","female","right","63","77","1","5","5","","","","","","","","",""
"1864.8850000026869","","","survey-text","1","3019","0.0-1.0","eqxdw5","Wed Feb 17 2021 16:56:52 GMT+0100 (Central European Standard Time)","2021","2","17","16","56","52","um12","19","female","right","63","77","1","5","5","{""Q0"":""um12""}","","","","","","","",""
"1387.879999994766","","","survey-text","2","4417","0.0-2.0","eqxdw5","Wed Feb 17 2021 16:56:52 GMT+0100 (Central European Standard Time)","2021","2","17","16","56","52","um12","19","female","right","63","77","1","5","5","{""Q0"":""19""}","","","","","","","",""
"3481.774999992922","","","survey-multi-select","3","7912","0.0-3.0","eqxdw5","Wed Feb 17 2021 16:56:52 GMT+0100 (Central European Standard Time)","2021","2","17","16","56","52","um12","19","female","right","63","77","1","5","5","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"6423.845000012079","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","14347","0.0-4.0","eqxdw5","Wed Feb 17 2021 16:56:52 GMT+0100 (Central European Standard Time)","2021","2","17","16","56","52","um12","19","female","right","63","77","1","5","5","","","50","63","","","","",""
"3317.7149999974063","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","17667","0.0-5.0","eqxdw5","Wed Feb 17 2021 16:56:52 GMT+0100 (Central European Standard Time)","2021","2","17","16","56","52","um12","19","female","right","63","77","1","5","5","","","50","77","","","","",""
"4610.699999990175","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","22280","0.0-6.0","eqxdw5","Wed Feb 17 2021 16:56:52 GMT+0100 (Central European Standard Time)","2021","2","17","16","56","52","um12","19","female","right","63","77","1","5","5","","","50","1","","","","",""
"13093.72999999323","","","survey-multi-select","7","35403","0.0-7.0","eqxdw5","Wed Feb 17 2021 16:56:52 GMT+0100 (Central European Standard Time)","2021","2","17","16","56","52","um12","19","female","right","63","77","1","5","5","{""Sleep"":[""5""],""Eat"":[""5""]}","[0,1]","","","","","","",""
"3361.8050000077346","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","38772","0.0-8.0","eqxdw5","Wed Feb 17 2021 16:56:52 GMT+0100 (Central European Standard Time)","2021","2","17","16","56","52","um12","19","female","right","63","77","1","5","5","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","42283","0.0-9.0-0.0","eqxdw5","Wed Feb 17 2021 16:56:52 GMT+0100 (Central European Standard Time)","2021","2","17","16","56","52","um12","19","female","right","63","77","1","5","5","","","","","fixation","","","",""
"2150.3999999986263","img/image_stim_f_stroop.png","70","image-keyboard-response","10","44448","0.0-9.0-1.0","eqxdw5","Wed Feb 17 2021 16:56:52 GMT+0100 (Central European Standard Time)","2021","2","17","16","56","52","um12","19","female","right","63","77","1","5","5","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","44703","0.0-9.0-0.1","eqxdw5","Wed Feb 17 2021 16:56:52 GMT+0100 (Central European Standard Time)","2021","2","17","16","56","52","um12","19","female","right","63","77","1","5","5","","","","","fixation","","","",""
"667.6100000040606","img/image_stim_h.png","72","image-keyboard-response","12","45372","0.0-9.0-1.1","eqxdw5","Wed Feb 17 2021 16:56:52 GMT+0100 (Central European Standard Time)","2021","2","17","16","56","52","um12","19","female","right","63","77","1","5","5","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","46379","0.0-9.0-0.2","eqxdw5","Wed Feb 17 2021 16:56:52 GMT+0100 (Central European Standard Time)","2021","2","17","16","56","52","um12","19","female","right","63","77","1","5","5","","","","","fixation","","","",""
"590.6250000116415","img/image_stim_f.png","70","image-keyboard-response","14","46972","0.0-9.0-1.2","eqxdw5","Wed Feb 17 2021 16:56:52 GMT+0100 (Central European Standard Time)","2021","2","17","16","56","52","um12","19","female","right","63","77","1","5","5","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","48229","0.0-9.0-0.3","eqxdw5","Wed Feb 17 2021 16:56:52 GMT+0100 (Central European Standard Time)","2021","2","17","16","56","52","um12","19","female","right","63","77","1","5","5","","","","","fixation","","","",""
"452.79999999911524","img/image_stim_h_stroop.png","72","image-keyboard-response","16","48684","0.0-9.0-1.3","eqxdw5","Wed Feb 17 2021 16:56:52 GMT+0100 (Central European Standard Time)","2021","2","17","16","56","52","um12","19","female","right","63","77","1","5","5","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","49939","0.0-9.0-0.4","eqxdw5","Wed Feb 17 2021 16:56:52 GMT+0100 (Central European Standard Time)","2021","2","17","16","56","52","um12","19","female","right","63","77","1","5","5","","","","","fixation","","","",""
"435.69499999284744","img/image_stim_h.png","72","image-keyboard-response","18","50376","0.0-9.0-1.4","eqxdw5","Wed Feb 17 2021 16:56:52 GMT+0100 (Central European Standard Time)","2021","2","17","16","56","52","um12","19","female","right","63","77","1","5","5","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","52133","0.0-9.0-0.5","eqxdw5","Wed Feb 17 2021 16:56:52 GMT+0100 (Central European Standard Time)","2021","2","17","16","56","52","um12","19","female","right","63","77","1","5","5","","","","","fixation","","","",""
"469.70499999588355","img/image_stim_f_stroop.png","70","image-keyboard-response","20","52605","0.0-9.0-1.5","eqxdw5","Wed Feb 17 2021 16:56:52 GMT+0100 (Central European Standard Time)","2021","2","17","16","56","52","um12","19","female","right","63","77","1","5","5","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","54113","0.0-9.0-0.6","eqxdw5","Wed Feb 17 2021 16:56:52 GMT+0100 (Central European Standard Time)","2021","2","17","16","56","52","um12","19","female","right","63","77","1","5","5","","","","","fixation","","","",""
"441.43500000063796","img/image_stim_f.png","70","image-keyboard-response","22","54556","0.0-9.0-1.6","eqxdw5","Wed Feb 17 2021 16:56:52 GMT+0100 (Central European Standard Time)","2021","2","17","16","56","52","um12","19","female","right","63","77","1","5","5","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","55064","0.0-9.0-0.7","eqxdw5","Wed Feb 17 2021 16:56:52 GMT+0100 (Central European Standard Time)","2021","2","17","16","56","52","um12","19","female","right","63","77","1","5","5","","","","","fixation","","","",""
"463.0849999957718","img/image_stim_h_stroop.png","72","image-keyboard-response","24","55529","0.0-9.0-1.7","eqxdw5","Wed Feb 17 2021 16:56:52 GMT+0100 (Central European Standard Time)","2021","2","17","16","56","52","um12","19","female","right","63","77","1","5","5","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","57283","0.0-9.0-0.8","eqxdw5","Wed Feb 17 2021 16:56:52 GMT+0100 (Central European Standard Time)","2021","2","17","16","56","52","um12","19","female","right","63","77","1","5","5","","","","","fixation","","","",""
"451.39000000199303","img/image_stim_f_stroop.png","70","image-keyboard-response","26","57736","0.0-9.0-1.8","eqxdw5","Wed Feb 17 2021 16:56:52 GMT+0100 (Central European Standard Time)","2021","2","17","16","56","52","um12","19","female","right","63","77","1","5","5","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","59744","0.0-9.0-0.9","eqxdw5","Wed Feb 17 2021 16:56:52 GMT+0100 (Central European Standard Time)","2021","2","17","16","56","52","um12","19","female","right","63","77","1","5","5","","","","","fixation","","","",""
"380.32500000554137","img/image_stim_f.png","70","image-keyboard-response","28","60126","0.0-9.0-1.9","eqxdw5","Wed Feb 17 2021 16:56:52 GMT+0100 (Central European Standard Time)","2021","2","17","16","56","52","um12","19","female","right","63","77","1","5","5","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","29","60383","0.0-9.0-0.10","eqxdw5","Wed Feb 17 2021 16:56:52 GMT+0100 (Central European Standard Time)","2021","2","17","16","56","52","um12","19","female","right","63","77","1","5","5","","","","","fixation","","","",""
"601.4450000075158","img/image_stim_h.png","72","image-keyboard-response","30","60986","0.0-9.0-1.10","eqxdw5","Wed Feb 17 2021 16:56:52 GMT+0100 (Central European Standard Time)","2021","2","17","16","56","52","um12","19","female","right","63","77","1","5","5","","","","","test","happy","happy","h","true"
