"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"1184.7950000010314","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","1189","0.0-0.0","g7stef","Mon Feb 15 2021 12:24:55 GMT+0100 (Central European Standard Time)","2021","2","15","12","24","55","um12","19 ","female","right","36","5","31","5","5","","","","","","","","",""
"5809.13000000146","","","survey-text","1","7010","0.0-1.0","g7stef","Mon Feb 15 2021 12:24:55 GMT+0100 (Central European Standard Time)","2021","2","15","12","24","55","um12","19 ","female","right","36","5","31","5","5","{""Q0"":""um12""}","","","","","","","",""
"2987.9999999975553","","","survey-text","2","10006","0.0-2.0","g7stef","Mon Feb 15 2021 12:24:55 GMT+0100 (Central European Standard Time)","2021","2","15","12","24","55","um12","19 ","female","right","36","5","31","5","5","{""Q0"":""19 ""}","","","","","","","",""
"4053.825000002689","","","survey-multi-select","3","14067","0.0-3.0","g7stef","Mon Feb 15 2021 12:24:55 GMT+0100 (Central European Standard Time)","2021","2","15","12","24","55","um12","19 ","female","right","36","5","31","5","5","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"4951.434999995399","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","19031","0.0-4.0","g7stef","Mon Feb 15 2021 12:24:55 GMT+0100 (Central European Standard Time)","2021","2","15","12","24","55","um12","19 ","female","right","36","5","31","5","5","","","50","36","","","","",""
"3175.694999998086","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","22209","0.0-5.0","g7stef","Mon Feb 15 2021 12:24:55 GMT+0100 (Central European Standard Time)","2021","2","15","12","24","55","um12","19 ","female","right","36","5","31","5","5","","","50","5","","","","",""
"3716.4150000025984","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","25928","0.0-6.0","g7stef","Mon Feb 15 2021 12:24:55 GMT+0100 (Central European Standard Time)","2021","2","15","12","24","55","um12","19 ","female","right","36","5","31","5","5","","","50","31","","","","",""
"26373.674999995274","","","survey-multi-select","7","52338","0.0-7.0","g7stef","Mon Feb 15 2021 12:24:55 GMT+0100 (Central European Standard Time)","2021","2","15","12","24","55","um12","19 ","female","right","36","5","31","5","5","{""Sleep"":[""5""],""Eat"":[""5""]}","[0,1]","","","","","","",""
"6923.965000001772","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","59272","0.0-8.0","g7stef","Mon Feb 15 2021 12:24:55 GMT+0100 (Central European Standard Time)","2021","2","15","12","24","55","um12","19 ","female","right","36","5","31","5","5","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","62285","0.0-9.0-0.0","g7stef","Mon Feb 15 2021 12:24:55 GMT+0100 (Central European Standard Time)","2021","2","15","12","24","55","um12","19 ","female","right","36","5","31","5","5","","","","","fixation","","","",""
"1249.6899999969173","img/image_stim_f.png","70","image-keyboard-response","10","63549","0.0-9.0-1.0","g7stef","Mon Feb 15 2021 12:24:55 GMT+0100 (Central European Standard Time)","2021","2","15","12","24","55","um12","19 ","female","right","36","5","31","5","5","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","63808","0.0-9.0-0.1","g7stef","Mon Feb 15 2021 12:24:55 GMT+0100 (Central European Standard Time)","2021","2","15","12","24","55","um12","19 ","female","right","36","5","31","5","5","","","","","fixation","","","",""
"1401.334999995015","img/image_stim_h.png","72","image-keyboard-response","12","65212","0.0-9.0-1.1","g7stef","Mon Feb 15 2021 12:24:55 GMT+0100 (Central European Standard Time)","2021","2","15","12","24","55","um12","19 ","female","right","36","5","31","5","5","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","65717","0.0-9.0-0.2","g7stef","Mon Feb 15 2021 12:24:55 GMT+0100 (Central European Standard Time)","2021","2","15","12","24","55","um12","19 ","female","right","36","5","31","5","5","","","","","fixation","","","",""
"1551.9449999992503","img/image_stim_h_stroop.png","72","image-keyboard-response","14","67271","0.0-9.0-1.2","g7stef","Mon Feb 15 2021 12:24:55 GMT+0100 (Central European Standard Time)","2021","2","15","12","24","55","um12","19 ","female","right","36","5","31","5","5","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","68529","0.0-9.0-0.3","g7stef","Mon Feb 15 2021 12:24:55 GMT+0100 (Central European Standard Time)","2021","2","15","12","24","55","um12","19 ","female","right","36","5","31","5","5","","","","","fixation","","","",""
