"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"1110.080000013113","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","1113","0.0-0.0","mhlueq","Tue Feb 16 2021 13:53:55 GMT+0100 (Central European Standard Time)","2021","2","16","13","53","55","um12","19","female","right","58","55","100","2","0","","","","","","","","",""
"2401.945000005071","","","survey-text","1","3521","0.0-1.0","mhlueq","Tue Feb 16 2021 13:53:55 GMT+0100 (Central European Standard Time)","2021","2","16","13","53","55","um12","19","female","right","58","55","100","2","0","{""Q0"":""um12""}","","","","","","","",""
"1422.9850000119768","","","survey-text","2","4953","0.0-2.0","mhlueq","Tue Feb 16 2021 13:53:55 GMT+0100 (Central European Standard Time)","2021","2","16","13","53","55","um12","19","female","right","58","55","100","2","0","{""Q0"":""19""}","","","","","","","",""
"3578.305000002729","","","survey-multi-select","3","8537","0.0-3.0","mhlueq","Tue Feb 16 2021 13:53:55 GMT+0100 (Central European Standard Time)","2021","2","16","13","53","55","um12","19","female","right","58","55","100","2","0","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"2465.215000003809","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","11013","0.0-4.0","mhlueq","Tue Feb 16 2021 13:53:55 GMT+0100 (Central European Standard Time)","2021","2","16","13","53","55","um12","19","female","right","58","55","100","2","0","","","50","58","","","","",""
"4683.180000007269","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","15699","0.0-5.0","mhlueq","Tue Feb 16 2021 13:53:55 GMT+0100 (Central European Standard Time)","2021","2","16","13","53","55","um12","19","female","right","58","55","100","2","0","","","50","55","","","","",""
"3167.9650000005495","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","18869","0.0-6.0","mhlueq","Tue Feb 16 2021 13:53:55 GMT+0100 (Central European Standard Time)","2021","2","16","13","53","55","um12","19","female","right","58","55","100","2","0","","","50","100","","","","",""
"6559.4400000118185","","","survey-multi-select","7","25453","0.0-7.0","mhlueq","Tue Feb 16 2021 13:53:55 GMT+0100 (Central European Standard Time)","2021","2","16","13","53","55","um12","19","female","right","58","55","100","2","0","{""Sleep"":[""2""],""Eat"":[""0""]}","[0,1]","","","","","","",""
"2231.069999994361","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","27693","0.0-8.0","mhlueq","Tue Feb 16 2021 13:53:55 GMT+0100 (Central European Standard Time)","2021","2","16","13","53","55","um12","19","female","right","58","55","100","2","0","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","30207","0.0-9.0-0.0","mhlueq","Tue Feb 16 2021 13:53:55 GMT+0100 (Central European Standard Time)","2021","2","16","13","53","55","um12","19","female","right","58","55","100","2","0","","","","","fixation","","","",""
"1264.5099999936065","img/image_stim_f_stroop.png","70","image-keyboard-response","10","31474","0.0-9.0-1.0","mhlueq","Tue Feb 16 2021 13:53:55 GMT+0100 (Central European Standard Time)","2021","2","16","13","53","55","um12","19","female","right","58","55","100","2","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","33483","0.0-9.0-0.1","mhlueq","Tue Feb 16 2021 13:53:55 GMT+0100 (Central European Standard Time)","2021","2","16","13","53","55","um12","19","female","right","58","55","100","2","0","","","","","fixation","","","",""
"476.61000001244247","img/image_stim_h_stroop.png","72","image-keyboard-response","12","33961","0.0-9.0-1.1","mhlueq","Tue Feb 16 2021 13:53:55 GMT+0100 (Central European Standard Time)","2021","2","16","13","53","55","um12","19","female","right","58","55","100","2","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","35470","0.0-9.0-0.2","mhlueq","Tue Feb 16 2021 13:53:55 GMT+0100 (Central European Standard Time)","2021","2","16","13","53","55","um12","19","female","right","58","55","100","2","0","","","","","fixation","","","",""
