"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"6503.070000006119","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","6506","0.0-0.0","y1gn97","Mon Feb 08 2021 15:32:13 GMT+0100 (Central European Standard Time)","2021","2","8","15","32","13","um12","19","female","right","55","24","70","9","1","","","","","","","","",""
"4194.7349999973085","","","survey-text","1","10709","0.0-1.0","y1gn97","Mon Feb 08 2021 15:32:13 GMT+0100 (Central European Standard Time)","2021","2","8","15","32","13","um12","19","female","right","55","24","70","9","1","{""Q0"":""um12""}","","","","","","","",""
"3757.710000005318","","","survey-text","2","14473","0.0-2.0","y1gn97","Mon Feb 08 2021 15:32:13 GMT+0100 (Central European Standard Time)","2021","2","8","15","32","13","um12","19","female","right","55","24","70","9","1","{""Q0"":""19""}","","","","","","","",""
"5528.385000012349","","","survey-multi-select","3","20010","0.0-3.0","y1gn97","Mon Feb 08 2021 15:32:13 GMT+0100 (Central European Standard Time)","2021","2","8","15","32","13","um12","19","female","right","55","24","70","9","1","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"11094.810000009602","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","31115","0.0-4.0","y1gn97","Mon Feb 08 2021 15:32:13 GMT+0100 (Central European Standard Time)","2021","2","8","15","32","13","um12","19","female","right","55","24","70","9","1","","","50","55","","","","",""
"6338.76999997301","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","37457","0.0-5.0","y1gn97","Mon Feb 08 2021 15:32:13 GMT+0100 (Central European Standard Time)","2021","2","8","15","32","13","um12","19","female","right","55","24","70","9","1","","","50","24","","","","",""
"12711.370000004536","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","50171","0.0-6.0","y1gn97","Mon Feb 08 2021 15:32:13 GMT+0100 (Central European Standard Time)","2021","2","8","15","32","13","um12","19","female","right","55","24","70","9","1","","","50","70","","","","",""
"140771.05999999912","","","survey-multi-select","7","190987","0.0-7.0","y1gn97","Mon Feb 08 2021 15:32:13 GMT+0100 (Central European Standard Time)","2021","2","8","15","32","13","um12","19","female","right","55","24","70","9","1","{""Sleep"":[""9""],""Eat"":[""1""]}","[0,1]","","","","","","",""
"54806.39000001247","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","245824","0.0-8.0","y1gn97","Mon Feb 08 2021 15:32:13 GMT+0100 (Central European Standard Time)","2021","2","8","15","32","13","um12","19","female","right","55","24","70","9","1","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","248088","0.0-9.0-0.0","y1gn97","Mon Feb 08 2021 15:32:13 GMT+0100 (Central European Standard Time)","2021","2","8","15","32","13","um12","19","female","right","55","24","70","9","1","","","","","fixation","","","",""
