"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"6521.200000047684","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","6522","0.0-0.0","u21a7l","Tue Feb 08 2022 07:53:58 GMT+0100 (Centraleuropæisk normaltid)","2022","2","8","7","53","58","vl00","21","female","right","36","6","38","0","12","","","","","","","","",""
"2971.2999999523163","","","survey-text","1","9497","0.0-1.0","u21a7l","Tue Feb 08 2022 07:53:58 GMT+0100 (Centraleuropæisk normaltid)","2022","2","8","7","53","58","vl00","21","female","right","36","6","38","0","12","{""Q0"":""vl00""}","","","","","","","",""
"2121.7999999523163","","","survey-text","2","11622","0.0-2.0","u21a7l","Tue Feb 08 2022 07:53:58 GMT+0100 (Centraleuropæisk normaltid)","2022","2","8","7","53","58","vl00","21","female","right","36","6","38","0","12","{""Q0"":""21""}","","","","","","","",""
"3939.9000000953674","","","survey-multi-select","3","15565","0.0-3.0","u21a7l","Tue Feb 08 2022 07:53:58 GMT+0100 (Centraleuropæisk normaltid)","2022","2","8","7","53","58","vl00","21","female","right","36","6","38","0","12","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"3865.399999856949","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","19432","0.0-4.0","u21a7l","Tue Feb 08 2022 07:53:58 GMT+0100 (Centraleuropæisk normaltid)","2022","2","8","7","53","58","vl00","21","female","right","36","6","38","0","12","","","50","36","","","","",""
"3309.2999999523163","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","22742","0.0-5.0","u21a7l","Tue Feb 08 2022 07:53:58 GMT+0100 (Centraleuropæisk normaltid)","2022","2","8","7","53","58","vl00","21","female","right","36","6","38","0","12","","","50","6","","","","",""
"3347.5999999046326","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","26091","0.0-6.0","u21a7l","Tue Feb 08 2022 07:53:58 GMT+0100 (Centraleuropæisk normaltid)","2022","2","8","7","53","58","vl00","21","female","right","36","6","38","0","12","","","50","38","","","","",""
"16896.099999904633","","","survey-multi-select","7","43018","0.0-7.0","u21a7l","Tue Feb 08 2022 07:53:58 GMT+0100 (Centraleuropæisk normaltid)","2022","2","8","7","53","58","vl00","21","female","right","36","6","38","0","12","{""Sleep"":[""0""],""Eat"":[""12""]}","[0,1]","","","","","","",""
"14602.100000143051","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","57623","0.0-8.0","u21a7l","Tue Feb 08 2022 07:53:58 GMT+0100 (Centraleuropæisk normaltid)","2022","2","8","7","53","58","vl00","21","female","right","36","6","38","0","12","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","60877","0.0-9.0-0.0","u21a7l","Tue Feb 08 2022 07:53:58 GMT+0100 (Centraleuropæisk normaltid)","2022","2","8","7","53","58","vl00","21","female","right","36","6","38","0","12","","","","","fixation","","","",""
"656.3999998569489","img/image_stim_h_stroop.png","72","image-keyboard-response","10","61542","0.0-9.0-1.0","u21a7l","Tue Feb 08 2022 07:53:58 GMT+0100 (Centraleuropæisk normaltid)","2022","2","8","7","53","58","vl00","21","female","right","36","6","38","0","12","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","63313","0.0-9.0-0.1","u21a7l","Tue Feb 08 2022 07:53:58 GMT+0100 (Centraleuropæisk normaltid)","2022","2","8","7","53","58","vl00","21","female","right","36","6","38","0","12","","","","","fixation","","","",""
"506.2999999523163","img/image_stim_f.png","70","image-keyboard-response","12","63820","0.0-9.0-1.1","u21a7l","Tue Feb 08 2022 07:53:58 GMT+0100 (Centraleuropæisk normaltid)","2022","2","8","7","53","58","vl00","21","female","right","36","6","38","0","12","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","64827","0.0-9.0-0.2","u21a7l","Tue Feb 08 2022 07:53:58 GMT+0100 (Centraleuropæisk normaltid)","2022","2","8","7","53","58","vl00","21","female","right","36","6","38","0","12","","","","","fixation","","","",""
"791.3000001907349","img/image_stim_f_stroop.png","72","image-keyboard-response","14","65621","0.0-9.0-1.2","u21a7l","Tue Feb 08 2022 07:53:58 GMT+0100 (Centraleuropæisk normaltid)","2022","2","8","7","53","58","vl00","21","female","right","36","6","38","0","12","","","","","test","fear","happy","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","67627","0.0-9.0-0.3","u21a7l","Tue Feb 08 2022 07:53:58 GMT+0100 (Centraleuropæisk normaltid)","2022","2","8","7","53","58","vl00","21","female","right","36","6","38","0","12","","","","","fixation","","","",""
"766.7000000476837","img/image_stim_h.png","72","image-keyboard-response","16","68396","0.0-9.0-1.3","u21a7l","Tue Feb 08 2022 07:53:58 GMT+0100 (Centraleuropæisk normaltid)","2022","2","8","7","53","58","vl00","21","female","right","36","6","38","0","12","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","69899","0.0-9.0-0.4","u21a7l","Tue Feb 08 2022 07:53:58 GMT+0100 (Centraleuropæisk normaltid)","2022","2","8","7","53","58","vl00","21","female","right","36","6","38","0","12","","","","","fixation","","","",""
"579","img/image_stim_h.png","72","image-keyboard-response","18","70481","0.0-9.0-1.4","u21a7l","Tue Feb 08 2022 07:53:58 GMT+0100 (Centraleuropæisk normaltid)","2022","2","8","7","53","58","vl00","21","female","right","36","6","38","0","12","","","","","test","happy","happy","h","true"
